Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2000-03-31,400,400,400,400,27000,ABJC,github,2026-05-26T00:45:07Z
2000-04-03,375,375,375,375,2500,ABJC,github,2026-05-26T00:45:07Z
2000-04-05,375,375,375,375,3220,ABJC,github,2026-05-26T00:45:07Z
2000-04-07,375,375,375,375,18560,ABJC,github,2026-05-26T00:45:07Z
2000-04-10,375,375,375,375,4140,ABJC,github,2026-05-26T00:45:07Z
2000-04-12,375,375,375,375,2080,ABJC,github,2026-05-26T00:45:07Z
2000-04-14,375,375,375,375,5400,ABJC,github,2026-05-26T00:45:07Z
2000-04-17,375,375,375,375,320,ABJC,github,2026-05-26T00:45:07Z
2000-04-19,375,375,375,375,3300,ABJC,github,2026-05-26T00:45:07Z
2000-04-21,375,375,375,375,980,ABJC,github,2026-05-26T00:45:07Z
2000-04-26,358,358,358,358,1400,ABJC,github,2026-05-26T00:45:07Z
2000-05-03,375,375,375,375,5800,ABJC,github,2026-05-26T00:45:07Z
2000-05-05,375,375,375,375,800,ABJC,github,2026-05-26T00:45:07Z
2000-05-08,375,375,375,375,800,ABJC,github,2026-05-26T00:45:07Z
2000-05-10,375,375,375,375,200,ABJC,github,2026-05-26T00:45:07Z
2000-05-12,370,370,370,370,1000,ABJC,github,2026-05-26T00:45:07Z
2000-05-15,370,370,370,370,500,ABJC,github,2026-05-26T00:45:07Z
2000-05-17,370,370,370,370,139340,ABJC,github,2026-05-26T00:45:07Z
2000-05-22,370,370,370,370,300,ABJC,github,2026-05-26T00:45:07Z
2000-05-24,370,370,370,370,980,ABJC,github,2026-05-26T00:45:07Z
2000-05-26,370,370,370,370,200,ABJC,github,2026-05-26T00:45:07Z
2000-05-31,370,370,370,370,120,ABJC,github,2026-05-26T00:45:07Z
2000-06-02,370,370,370,370,320,ABJC,github,2026-05-26T00:45:07Z
2000-06-07,370,370,370,370,300,ABJC,github,2026-05-26T00:45:07Z
2000-06-09,370,370,370,370,360,ABJC,github,2026-05-26T00:45:07Z
2000-06-21,325,325,325,325,1740,ABJC,github,2026-05-26T00:45:07Z
2000-06-30,325,325,325,325,420,ABJC,github,2026-05-26T00:45:07Z
2000-07-07,325,325,325,325,340,ABJC,github,2026-05-26T00:45:07Z
2000-07-10,325,325,325,325,360,ABJC,github,2026-05-26T00:45:07Z
2000-07-12,310,310,310,310,2800,ABJC,github,2026-05-26T00:45:07Z
2000-07-21,300,300,300,300,280,ABJC,github,2026-05-26T00:45:07Z
2000-07-26,300,300,300,300,4040,ABJC,github,2026-05-26T00:45:07Z
2000-07-28,300,300,300,300,3200,ABJC,github,2026-05-26T00:45:07Z
2000-08-11,299,299,299,299,860,ABJC,github,2026-05-26T00:45:07Z
2000-08-14,299,299,299,299,1220,ABJC,github,2026-05-26T00:45:07Z
2000-08-16,300,300,300,300,160,ABJC,github,2026-05-26T00:45:07Z
2000-08-23,280,280,280,280,2180,ABJC,github,2026-05-26T00:45:07Z
2000-09-06,280,280,280,280,600,ABJC,github,2026-05-26T00:45:07Z
2000-09-08,280,280,280,280,1400,ABJC,github,2026-05-26T00:45:07Z
2000-09-15,280,280,280,280,400,ABJC,github,2026-05-26T00:45:07Z
2000-09-20,280,280,280,280,160,ABJC,github,2026-05-26T00:45:07Z
2000-09-22,280,280,280,280,80,ABJC,github,2026-05-26T00:45:07Z
2000-09-29,280,280,280,280,100,ABJC,github,2026-05-26T00:45:07Z
2000-10-02,280,280,280,280,120,ABJC,github,2026-05-26T00:45:07Z
2000-10-04,280,280,280,280,620,ABJC,github,2026-05-26T00:45:07Z
2000-10-06,280,280,280,280,820,ABJC,github,2026-05-26T00:45:07Z
2000-10-09,280,280,280,280,1020,ABJC,github,2026-05-26T00:45:07Z
2000-10-11,280,280,280,280,260,ABJC,github,2026-05-26T00:45:07Z
2000-10-13,280,280,280,280,480,ABJC,github,2026-05-26T00:45:07Z
2000-10-18,280,280,280,280,120,ABJC,github,2026-05-26T00:45:07Z
2000-10-20,275,275,275,275,1100,ABJC,github,2026-05-26T00:45:07Z
2000-11-03,275,275,275,275,700,ABJC,github,2026-05-26T00:45:07Z
2000-11-06,275,275,275,275,740,ABJC,github,2026-05-26T00:45:07Z
2000-11-13,275,275,275,275,160,ABJC,github,2026-05-26T00:45:07Z
2000-11-16,275,275,275,275,260,ABJC,github,2026-05-26T00:45:07Z
2000-11-17,275,275,275,275,200,ABJC,github,2026-05-26T00:45:07Z
2000-11-22,275,275,275,275,100,ABJC,github,2026-05-26T00:45:07Z
2000-11-24,275,275,275,275,400,ABJC,github,2026-05-26T00:45:07Z
2000-11-27,275,275,275,275,660,ABJC,github,2026-05-26T00:45:07Z
2000-12-01,275,275,275,275,20,ABJC,github,2026-05-26T00:45:07Z
2000-12-06,296,296,296,296,54740,ABJC,github,2026-05-26T00:45:07Z
2000-12-15,296,296,296,296,620,ABJC,github,2026-05-26T00:45:07Z
2000-12-18,275,275,275,275,220,ABJC,github,2026-05-26T00:45:07Z
2000-12-20,275,275,275,275,100,ABJC,github,2026-05-26T00:45:07Z
2000-12-22,270,270,270,270,1660,ABJC,github,2026-05-26T00:45:07Z
2000-12-26,270,270,270,270,200,ABJC,github,2026-05-26T00:45:07Z
2001-01-05,270,270,270,270,460,ABJC,github,2026-05-26T00:45:07Z
2001-01-10,270,270,270,270,120,ABJC,github,2026-05-26T00:45:07Z
2001-01-17,271,271,271,271,680,ABJC,github,2026-05-26T00:45:07Z
2001-01-19,271,271,271,271,1280,ABJC,github,2026-05-26T00:45:07Z
2001-01-24,271,271,271,271,60,ABJC,github,2026-05-26T00:45:07Z
2001-01-26,270,270,270,270,900,ABJC,github,2026-05-26T00:45:07Z
2001-01-29,270,270,270,270,840,ABJC,github,2026-05-26T00:45:07Z
2001-01-31,265,265,265,265,960,ABJC,github,2026-05-26T00:45:07Z
2001-02-05,265,265,265,265,2000,ABJC,github,2026-05-26T00:45:07Z
2001-02-07,255,255,255,255,400,ABJC,github,2026-05-26T00:45:07Z
2001-02-09,255,255,255,255,200,ABJC,github,2026-05-26T00:45:07Z
2001-02-14,250,250,250,250,460,ABJC,github,2026-05-26T00:45:07Z
