Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-13,28800,28800,28300,28650,112,BICC,live,2026-07-13 17:20:28.401501
2026-07-10,28360,29000,28355,28800,960,BICC,live,2026-07-10 17:04:06.740399
2026-07-09,28250,28995,28250,28350,255,BICC,live,2026-07-09 17:24:35.803657
2026-07-08,28250,28350,28200,28250,393,BICC,live,2026-07-08 16:46:11.663732
2026-07-07,28110,28370,28110,28200,374,BICC,live,2026-07-07 17:24:11.537733
2026-07-06,28150,29380,28000,28110,562,BICC,live,2026-07-06 17:48:54.143536
2026-07-03,29250,29400,29250,29380,312,BICC,live,2026-07-03 16:42:24.659318
2026-07-02,29490,29490,27285,29250,1255,BICC,live,2026-07-02 16:58:41.893805
2026-07-01,29000,29490,29000,29490,363,BICC,live,2026-07-01 17:21:41.402074
2026-06-30,29000,29450,29000,29000,344,BICC,live,2026-06-30 17:10:24.816061
2026-06-29,29000,29000,28800,29000,1529,BICC,live,2026-06-29 17:46:00.111552
2026-06-26,28950,29000,28950,29000,368,BICC,live,2026-06-26 17:05:13.863294
2026-06-24,28460,28650,27755,27760,833,BICC,live,2026-06-24 17:12:19.586599
2026-06-23,28490,28500,28460,28460,356,BICC,live,2026-06-23 17:21:12.714352
2026-06-22,28420,28500,28420,28500,309,BICC,live,2026-06-22 18:52:01.298299
2026-06-19,28400,28440,28400,28420,386,BICC,live,2026-06-19 17:24:44.580729
2026-06-18,28210,28450,28250,28445,189,BICC,live,2026-06-18 18:10:35.785885
2026-06-17,27800,28200,27750,28200,439,BICC,live,2026-06-17 17:51:59.736736
2026-06-16,28495,28495,27500,27750,840,BICC,live,2026-06-16 18:56:58.768276
2026-06-15,28500,28500,28295,28295,465,BICC,live,2026-06-15 19:07:26.559323
2026-06-12,28500,28500,28450,28495,170,BICC,live,2026-06-12 17:40:43.501385
2026-06-11,28320,28500,28320,28450,276,BICC,live,2026-06-11 18:25:24.277256
2026-06-10,28900,28900,28320,28500,1301,BICC,live,2026-06-10 18:08:19.720417
2026-06-09,28900,28965,28700,28900,860,BICC,live,2026-06-09 17:28:10.044198
2026-06-08,28970,29000,28500,28965,448,BICC,live,2026-06-08 18:06:56.668913
2026-06-05,29000,29000,28970,28970,717,BICC,live,2026-06-07 00:12:12.746167
2026-06-04,28975,29000,28800,28970,626,BICC,live,2026-06-04 17:49:38.280382
2026-06-03,0,29100,28975,28975,693,BICC,live,2026-06-03 18:54:19.138343
2026-06-02,0,29240,28300,29000,253,BICC,live,2026-06-02 18:50:14.131952
2026-06-01,0,29275,28250,28300,2243,BICC,live,2026-06-01 19:57:58.506658
2026-05-29,0,28300,27895,28250,288,BICC,live,2026-05-29 18:41:14.946127
2026-05-28,27500,27895,27895,27895,253,BICC,live,2026-05-28 20:32:24.227007
2026-05-26,27000,27000,27000,27000,594,BICC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,27000,27100,26975,27000,594,BICC,github,2026-05-26T00:45:14Z
2026-05-21,27000,27000,26905,27000,291,BICC,github,2026-05-26T00:45:14Z
2026-05-20,26450,27000,26450,27000,241,BICC,github,2026-05-26T00:45:14Z
2026-05-19,26400,26450,26400,26450,319,BICC,github,2026-05-26T00:45:14Z
2026-05-18,26450,26450,26400,26450,953,BICC,github,2026-05-26T00:45:14Z
2026-05-15,26400,26450,26305,26450,922,BICC,github,2026-05-26T00:45:14Z
2026-05-13,26300,26400,26250,26400,1209,BICC,github,2026-05-26T00:45:14Z
2026-05-12,26200,26450,26200,26300,561,BICC,github,2026-05-26T00:45:14Z
2026-05-11,26095,26200,26000,26200,562,BICC,github,2026-05-26T00:45:14Z
2026-05-08,25300,26000,25200,26000,1041,BICC,github,2026-05-26T00:45:14Z
2026-05-07,24750,25200,24500,25200,383,BICC,github,2026-05-26T00:45:14Z
2026-05-06,24980,25000,24445,24995,445,BICC,github,2026-05-26T00:45:14Z
2026-05-05,24850,25000,24000,24445,2291,BICC,github,2026-05-26T00:45:14Z
2026-05-04,25000,25500,24850,25000,1716,BICC,github,2026-05-26T00:45:14Z
2026-04-30,24850,24950,24850,24850,411,BICC,github,2026-05-26T00:45:14Z
2026-04-29,24500,24850,24500,24850,69,BICC,github,2026-05-26T00:45:14Z
2026-04-28,24400,24800,23505,24800,442,BICC,github,2026-05-26T00:45:14Z
2026-04-27,23765,24500,23760,24400,336,BICC,github,2026-05-26T00:45:14Z
2026-04-24,23755,24500,23755,23760,243,BICC,github,2026-05-26T00:45:14Z
2026-04-23,23750,24500,23705,23755,133,BICC,github,2026-05-26T00:45:14Z
2026-04-22,24850,24850,23705,23705,400,BICC,github,2026-05-26T00:45:14Z
2026-04-21,25000,25000,24850,24850,197,BICC,github,2026-05-26T00:45:14Z
2026-04-20,25100,25100,23705,25000,649,BICC,github,2026-05-26T00:45:14Z
2026-04-17,23500,24500,23500,23705,251,BICC,github,2026-05-26T00:45:14Z
2026-04-16,23500,23990,23250,23500,1721,BICC,github,2026-05-26T00:45:14Z
2026-04-15,23100,23350,23010,23250,554,BICC,github,2026-05-26T00:45:14Z
2026-04-14,22600,23700,22500,23010,959,BICC,github,2026-05-26T00:45:14Z
2026-04-13,23600,23900,21750,22500,1872,BICC,github,2026-05-26T00:45:14Z
2026-04-10,23500,24000,23500,23500,324,BICC,github,2026-05-26T00:45:14Z
2026-04-09,24000,24000,23005,23500,909,BICC,github,2026-05-26T00:45:14Z
2026-04-08,23750,24000,23605,24000,282,BICC,github,2026-05-26T00:45:14Z
2026-04-07,24000,24450,23600,23605,2641,BICC,github,2026-05-26T00:45:14Z
2026-04-03,24750,24750,24000,24000,2349,BICC,github,2026-05-26T00:45:14Z
2026-04-02,24025,24600,24025,24600,381,BICC,github,2026-05-26T00:45:14Z
2026-04-01,25400,25400,24015,24250,1177,BICC,github,2026-05-26T00:45:14Z
2026-03-31,25200,25475,25000,25400,363,BICC,github,2026-05-26T00:45:14Z
2026-03-30,25600,25600,24500,25475,2125,BICC,github,2026-05-26T00:45:14Z
2026-03-27,26000,27950,25250,25600,3544,BICC,github,2026-05-26T00:45:14Z
2026-03-26,24900,26000,24900,26000,1523,BICC,github,2026-05-26T00:45:14Z
2026-03-25,24400,26230,24400,24900,2460,BICC,github,2026-05-26T00:45:14Z
2026-03-24,24000,25835,24400,24400,817,BICC,github,2026-05-26T00:45:14Z
2026-03-23,26000,26000,25045,24745,1558,BICC,github,2026-05-26T00:45:14Z
2026-03-19,26000,27950,25500,25555,2038,BICC,github,2026-05-26T00:45:14Z
2026-03-18,26000,26300,25900,26000,408,BICC,github,2026-05-26T00:45:14Z
2026-03-17,26055,26800,26055,25900,594,BICC,github,2026-05-26T00:45:14Z
2026-03-13,26950,26950,26055,26055,1419,BICC,github,2026-05-26T00:45:14Z
2026-03-12,27000,27000,26000,26950,2639,BICC,github,2026-05-26T00:45:14Z
2026-03-11,27630,27630,24900,26055,1178,BICC,github,2026-05-26T00:45:14Z
2026-03-10,25350,27005,25350,25705,700,BICC,github,2026-05-26T00:45:14Z
2026-03-09,25000,25500,24910,25350,617,BICC,github,2026-05-26T00:45:14Z
2026-03-06,24900,24995,24870,24910,3665,BICC,github,2026-05-26T00:45:14Z
2026-03-05,24745,24900,24760,24900,1275,BICC,github,2026-05-26T00:45:14Z
2026-03-04,25100,25000,24520,24800,1648,BICC,github,2026-05-26T00:45:14Z
2026-03-03,24505,24990,24500,24520,218,BICC,github,2026-05-26T00:45:14Z
2026-03-02,25445,25245,24500,24500,1416,BICC,github,2026-05-26T00:45:14Z
2026-02-27,25500,25650,24900,24900,1289,BICC,github,2026-05-26T00:45:14Z
2026-02-26,24625,26470,24000,25500,2849,BICC,github,2026-05-26T00:45:14Z
2026-02-25,24995,25200,24000,24625,1351,BICC,github,2026-05-26T00:45:14Z
2026-02-24,23995,25365,23995,24000,3503,BICC,github,2026-05-26T00:45:14Z
