Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-26,1990,1990,1965,1965,1662,BNBC,live,2026-06-26 17:05:13.901648
2026-06-24,1990,1990,1965,1965,1504,BNBC,live,2026-06-24 17:12:19.626544
2026-06-23,1990,1995,1980,1990,4227,BNBC,live,2026-06-23 17:21:12.743843
2026-06-22,2100,2105,1990,1990,4752,BNBC,live,2026-06-22 18:52:01.338365
2026-06-19,2050,2165,2015,2100,6491,BNBC,live,2026-06-19 17:24:44.618746
2026-06-18,1990,2015,1960,2015,12000,BNBC,live,2026-06-18 18:10:35.827865
2026-06-17,1950,1990,1900,1960,2621,BNBC,live,2026-06-17 17:51:59.768155
2026-06-16,1880,1990,1880,1900,6418,BNBC,live,2026-06-16 18:56:58.807059
2026-06-15,1880,1880,1850,1880,5230,BNBC,live,2026-06-15 19:07:26.606471
2026-06-12,1880,1970,1840,1880,2933,BNBC,live,2026-06-12 17:40:43.542398
2026-06-11,1750,1880,1750,1880,2584,BNBC,live,2026-06-11 18:25:24.319517
2026-06-10,1680,1750,1630,1750,4468,BNBC,live,2026-06-10 18:08:19.760383
2026-06-09,1700,1700,1575,1630,1289,BNBC,live,2026-06-09 17:28:10.084185
2026-06-08,1650,1680,1570,1675,739,BNBC,live,2026-06-08 18:06:56.707805
2026-06-05,1640,1700,1600,1650,4875,BNBC,live,2026-06-07 00:12:12.777706
2026-06-04,0,1700,1600,1650,558,BNBC,live,2026-06-04 17:49:38.320400
2026-06-03,0,1705,1580,1700,5421,BNBC,live,2026-06-03 18:54:19.181468
2026-06-02,0,1740,1700,1700,4868,BNBC,live,2026-06-02 18:50:14.168273
2026-06-01,0,1700,1585,1700,5633,BNBC,live,2026-06-01 19:57:58.546996
2026-05-29,0,1600,1585,1585,815,BNBC,live,2026-05-29 18:41:14.985569
2026-05-28,1495,1585,1585,1585,1714,BNBC,live,2026-05-28 20:32:24.249573
2026-05-26,1550,1550,1550,1500,1423,BNBC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,1550,1550,1500,1500,1423,BNBC,github,2026-05-26T00:45:06Z
2026-05-21,1550,1550,1525,1525,669,BNBC,github,2026-05-26T00:45:06Z
2026-05-20,1500,1550,1495,1550,1219,BNBC,github,2026-05-26T00:45:06Z
2026-05-19,1575,1605,1500,1500,1073,BNBC,github,2026-05-26T00:45:06Z
2026-05-18,1580,1600,1545,1545,1312,BNBC,github,2026-05-26T00:45:06Z
2026-05-15,1600,1595,1545,1545,3859,BNBC,github,2026-05-26T00:45:06Z
2026-05-13,1500,1550,1495,1590,3439,BNBC,github,2026-05-26T00:45:06Z
2026-05-12,1415,1495,1395,1495,7896,BNBC,github,2026-05-26T00:45:06Z
2026-05-11,1345,1395,1300,1395,895,BNBC,github,2026-05-26T00:45:06Z
2026-05-08,1300,1335,1265,1300,8921,BNBC,github,2026-05-26T00:45:06Z
2026-05-07,1350,1350,1290,1335,1454,BNBC,github,2026-05-26T00:45:06Z
2026-05-06,1345,1350,1280,1350,2376,BNBC,github,2026-05-26T00:45:06Z
2026-05-05,1345,1450,1345,1345,1981,BNBC,github,2026-05-26T00:45:06Z
2026-05-04,1450,1565,1450,1450,1092,BNBC,github,2026-05-26T00:45:06Z
2026-04-30,1565,1565,1560,1565,216,BNBC,github,2026-05-26T00:45:06Z
2026-04-29,1560,1585,1560,1565,355,BNBC,github,2026-05-26T00:45:06Z
2026-04-28,1585,1590,1560,1585,2298,BNBC,github,2026-05-26T00:45:06Z
2026-04-27,1600,1610,1565,1590,349,BNBC,github,2026-05-26T00:45:06Z
2026-04-24,1500,1600,1500,1600,1304,BNBC,github,2026-05-26T00:45:06Z
2026-04-23,1630,1630,1555,1600,1291,BNBC,github,2026-05-26T00:45:06Z
2026-04-22,1640,1645,1565,1630,1415,BNBC,github,2026-05-26T00:45:06Z
2026-04-21,1560,1610,1505,1565,2329,BNBC,github,2026-05-26T00:45:06Z
2026-04-20,1565,1565,1505,1560,235,BNBC,github,2026-05-26T00:45:06Z
2026-04-17,1565,1565,1505,1505,422,BNBC,github,2026-05-26T00:45:06Z
2026-04-16,1570,1600,1560,1565,839,BNBC,github,2026-05-26T00:45:06Z
2026-04-15,1565,1580,1550,1570,1111,BNBC,github,2026-05-26T00:45:06Z
2026-04-14,1550,1570,1550,1565,564,BNBC,github,2026-05-26T00:45:06Z
2026-04-13,1580,1580,1550,1550,837,BNBC,github,2026-05-26T00:45:06Z
2026-04-10,1585,1585,1550,1580,945,BNBC,github,2026-05-26T00:45:06Z
2026-04-09,1580,1585,1575,1580,1381,BNBC,github,2026-05-26T00:45:06Z
