Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-23,8700,8700,8650,8695,4046,BOAB,live,2026-07-23 16:40:52.317498
2026-07-22,8600,8700,8580,8700,601,BOAB,live,2026-07-22 16:38:37.113977
2026-07-21,8600,8750,8580,8580,2589,BOAB,live,2026-07-21 16:37:28.544990
2026-07-20,8700,8700,8600,8600,3817,BOAB,live,2026-07-20 16:40:36.245163
2026-07-17,8705,8765,8700,8700,2874,BOAB,live,2026-07-17 16:22:19.473049
2026-07-16,8765,8795,8700,8780,3674,BOAB,live,2026-07-16 16:25:47.434281
2026-07-15,8840,8850,8750,8765,4019,BOAB,live,2026-07-15 16:40:40.364983
2026-07-14,8850,8850,8800,8840,3437,BOAB,live,2026-07-14 16:22:43.009730
2026-07-13,8750,8800,8700,8800,1932,BOAB,live,2026-07-13 17:20:28.447806
2026-07-10,8800,8840,8615,8750,5416,BOAB,live,2026-07-10 17:04:06.826118
2026-07-09,8850,8870,8505,8800,11158,BOAB,live,2026-07-09 17:24:35.876658
2026-07-08,9050,9050,8750,8870,9420,BOAB,live,2026-07-08 16:46:11.738274
2026-07-07,9095,9100,8800,9050,4544,BOAB,live,2026-07-07 17:24:11.610827
2026-07-06,9100,9100,9020,9100,1413,BOAB,live,2026-07-06 17:48:54.221148
2026-07-03,9200,9200,8605,9100,8139,BOAB,live,2026-07-03 16:42:24.731025
2026-07-02,9025,9250,8605,9200,2837,BOAB,live,2026-07-02 16:58:41.967491
2026-07-01,9100,9025,8350,9025,19914,BOAB,live,2026-07-01 17:21:41.473907
2026-06-30,9025,9300,9000,9025,2801,BOAB,live,2026-06-30 17:10:24.887369
2026-06-29,9025,9100,9025,9100,1085,BOAB,live,2026-06-29 17:46:00.186442
2026-06-26,8900,9025,8950,9025,9221,BOAB,live,2026-06-26 17:05:13.935279
2026-06-24,8920,8950,8895,8950,5231,BOAB,live,2026-06-24 17:12:19.660733
2026-06-23,8950,8950,8855,8920,6583,BOAB,live,2026-06-23 17:21:12.768962
2026-06-22,8855,8950,8850,8950,3452,BOAB,live,2026-06-22 18:52:01.374029
2026-06-19,8945,8960,8850,8850,5974,BOAB,live,2026-06-19 17:24:44.651660
2026-06-18,8900,8945,8850,8945,3290,BOAB,live,2026-06-18 18:10:35.864234
2026-06-17,8700,8900,8650,8900,16978,BOAB,live,2026-06-17 17:51:59.795296
2026-06-16,8780,8750,8700,8700,6970,BOAB,live,2026-06-16 18:56:58.841685
2026-06-15,8780,8795,8750,8750,1392,BOAB,live,2026-06-15 19:07:26.649673
2026-06-12,8780,8780,8750,8780,7122,BOAB,live,2026-06-12 17:40:43.586245
2026-06-11,8600,8750,8600,8750,2159,BOAB,live,2026-06-11 18:25:24.355891
2026-06-10,8745,8750,8600,8600,2705,BOAB,live,2026-06-10 18:08:19.794198
2026-06-09,8700,8745,8555,8745,11185,BOAB,live,2026-06-09 17:28:10.118984
2026-06-08,8795,8795,8650,8700,4279,BOAB,live,2026-06-08 18:06:56.746345
2026-06-05,8795,8795,8730,8780,1054,BOAB,live,2026-06-07 00:12:12.805245
2026-06-04,8795,8800,8715,8795,1902,BOAB,live,2026-06-04 17:49:38.354550
2026-06-03,0,8800,8700,8795,4495,BOAB,live,2026-06-03 18:54:19.219850
2026-06-02,8800,8850,8705,8710,5274,BOAB,live,2026-06-02 18:50:14.200552
2026-06-01,0,8930,8795,8800,3519,BOAB,live,2026-06-01 19:57:58.580428
2026-05-29,0,8935,8835,8900,2975,BOAB,live,2026-05-29 18:41:15.018179
2026-05-28,8900,8930,8930,8930,9573,BOAB,live,2026-05-28 20:32:24.268402
2026-05-26,9000,9000,9000,8950,2638,BOAB,brvm_live,2026-05-26T00:45:21Z
2026-05-22,9000,9420,8895,8950,2638,BOAB,github,2026-05-26T00:45:12Z
2026-05-21,9410,9415,9400,9420,5259,BOAB,github,2026-05-26T00:45:12Z
2026-05-20,9420,9420,9400,9405,2386,BOAB,github,2026-05-26T00:45:12Z
2026-05-19,9400,9400,9365,9400,4953,BOAB,github,2026-05-26T00:45:12Z
2026-05-18,9400,9400,9320,9400,4370,BOAB,github,2026-05-26T00:45:12Z
2026-05-15,9415,9420,9320,9400,2830,BOAB,github,2026-05-26T00:45:12Z
2026-05-13,9420,9420,9405,9410,2844,BOAB,github,2026-05-26T00:45:12Z
2026-05-12,9405,9445,9405,9420,11117,BOAB,github,2026-05-26T00:45:12Z
2026-05-11,9400,9500,9205,9405,17215,BOAB,github,2026-05-26T00:45:12Z
2026-05-08,9300,9400,9250,9400,7963,BOAB,github,2026-05-26T00:45:12Z
2026-05-07,9395,9400,9250,9300,12617,BOAB,github,2026-05-26T00:45:12Z
2026-05-06,9250,9345,9010,9340,6096,BOAB,github,2026-05-26T00:45:12Z
2026-05-05,8955,9250,8955,9250,7317,BOAB,github,2026-05-26T00:45:12Z
2026-05-04,8850,9300,8850,8955,3898,BOAB,github,2026-05-26T00:45:12Z
2026-04-30,9000,9000,8800,8850,2258,BOAB,github,2026-05-26T00:45:12Z
2026-04-29,8605,9000,8555,8905,4169,BOAB,github,2026-05-26T00:45:12Z
2026-04-28,8500,8600,8475,8600,1975,BOAB,github,2026-05-26T00:45:12Z
2026-04-27,8210,8430,8100,8500,10665,BOAB,github,2026-05-26T00:45:12Z
2026-04-24,8200,8250,8130,8210,1677,BOAB,github,2026-05-26T00:45:12Z
2026-04-23,8250,8500,8000,8130,6935,BOAB,github,2026-05-26T00:45:12Z
