Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-02,5945,5945,5850,5940,4715,BOABF,live,2026-07-02 15:10:24.984275
2026-07-01,5850,5940,5700,5900,30402,BOABF,live,2026-07-01 17:21:41.522469
2026-06-30,5695,5850,5700,5850,6849,BOABF,live,2026-06-30 17:10:24.935229
2026-06-29,5695,5700,5695,5700,9520,BOABF,live,2026-06-29 17:46:00.235377
2026-06-26,5600,5700,5600,5695,10840,BOABF,live,2026-06-26 17:05:13.983839
2026-06-24,5590,5600,5565,5600,1881,BOABF,live,2026-06-24 17:12:19.711133
2026-06-23,5595,5595,5550,5565,2498,BOABF,live,2026-06-23 17:21:12.806309
2026-06-22,5600,5600,5555,5595,7292,BOABF,live,2026-06-22 18:52:01.428698
2026-06-19,5395,5600,5395,5555,6348,BOABF,live,2026-06-19 17:24:44.702719
2026-06-18,5355,5400,5380,5395,2204,BOABF,live,2026-06-18 18:10:35.917454
2026-06-17,5300,5400,5255,5380,3649,BOABF,live,2026-06-17 17:51:59.834445
2026-06-16,5450,5450,5295,5300,5240,BOABF,live,2026-06-16 18:56:58.890730
2026-06-15,5590,5590,5310,5400,6075,BOABF,live,2026-06-15 19:07:26.698824
2026-06-12,5550,5595,5500,5585,8937,BOABF,live,2026-06-12 17:40:43.638653
2026-06-11,5550,5550,5500,5550,3449,BOABF,live,2026-06-11 18:25:24.408412
2026-06-10,5595,5600,5500,5550,4943,BOABF,live,2026-06-10 18:08:19.844307
2026-06-09,5550,5600,5550,5595,5173,BOABF,live,2026-06-09 17:28:10.168811
2026-06-08,5590,5590,5525,5550,3124,BOABF,live,2026-06-08 18:06:56.795569
2026-06-05,5580,5590,5580,5590,3452,BOABF,live,2026-06-07 00:12:12.844113
2026-06-04,5550,5590,5545,5590,1350,BOABF,live,2026-06-04 17:49:38.404348
2026-06-03,0,5590,5175,5580,21910,BOABF,live,2026-06-03 18:54:19.274227
2026-06-02,5600,5600,5550,5590,5313,BOABF,live,2026-06-02 18:50:14.248001
2026-06-01,0,5600,5555,5585,3269,BOABF,live,2026-06-01 19:57:58.629034
2026-05-29,0,5600,5560,5600,1147,BOABF,live,2026-05-29 18:41:15.067506
2026-05-28,5500,5600,5600,5600,2004,BOABF,live,2026-05-28 20:32:24.294251
2026-05-26,5415,5415,5415,5440,11708,BOABF,brvm_live,2026-05-26T00:45:21Z
2026-05-22,5415,5440,5400,5440,11708,BOABF,github,2026-05-26T00:45:12Z
2026-05-21,5415,5415,5400,5415,4997,BOABF,github,2026-05-26T00:45:12Z
2026-05-20,5405,5415,5400,5415,2248,BOABF,github,2026-05-26T00:45:12Z
2026-05-19,5400,5420,5400,5400,3227,BOABF,github,2026-05-26T00:45:12Z
2026-05-18,5400,5410,5400,5400,1662,BOABF,github,2026-05-26T00:45:12Z
2026-05-15,5410,5410,5400,5400,1708,BOABF,github,2026-05-26T00:45:12Z
2026-05-13,5400,5410,5400,5405,2437,BOABF,github,2026-05-26T00:45:12Z
2026-05-12,5400,5410,5400,5410,5219,BOABF,github,2026-05-26T00:45:12Z
2026-05-11,5400,5435,5400,5410,3605,BOABF,github,2026-05-26T00:45:12Z
2026-05-08,5405,5435,5400,5400,1414,BOABF,github,2026-05-26T00:45:12Z
2026-05-07,5400,5445,5400,5400,4613,BOABF,github,2026-05-26T00:45:12Z
2026-05-06,5400,5410,5400,5405,4911,BOABF,github,2026-05-26T00:45:12Z
2026-05-05,5410,5460,5460,5410,3505,BOABF,github,2026-05-26T00:45:12Z
2026-05-04,5400,5650,5400,5460,28603,BOABF,github,2026-05-26T00:45:12Z
2026-04-30,5500,5650,5500,5650,1822,BOABF,github,2026-05-26T00:45:12Z
2026-04-29,5400,5680,5400,5500,9804,BOABF,github,2026-05-26T00:45:12Z
2026-04-28,5450,5470,5400,5450,6825,BOABF,github,2026-05-26T00:45:12Z
2026-04-27,5400,5450,5390,5450,20173,BOABF,github,2026-05-26T00:45:12Z
2026-04-24,5400,5450,5400,5400,5585,BOABF,github,2026-05-26T00:45:12Z
2026-04-23,5420,5420,5300,5400,12474,BOABF,github,2026-05-26T00:45:12Z
2026-04-22,5200,5630,5150,5420,16869,BOABF,github,2026-05-26T00:45:12Z
2026-04-21,5645,5645,5500,5630,8642,BOABF,github,2026-05-26T00:45:12Z
2026-04-20,5600,5630,5530,5645,8009,BOABF,github,2026-05-26T00:45:12Z
2026-04-17,5650,5650,5630,5630,3817,BOABF,github,2026-05-26T00:45:12Z
2026-04-16,5630,5630,5600,5630,8558,BOABF,github,2026-05-26T00:45:12Z
2026-04-15,5635,5645,5540,5630,2763,BOABF,github,2026-05-26T00:45:12Z
2026-04-14,5675,5680,5585,5645,3266,BOABF,github,2026-05-26T00:45:12Z
2026-04-13,5680,5685,5675,5680,4150,BOABF,github,2026-05-26T00:45:12Z
2026-04-10,5680,5685,5650,5680,2812,BOABF,github,2026-05-26T00:45:12Z
2026-04-09,5675,5685,5675,5685,2807,BOABF,github,2026-05-26T00:45:12Z
2026-04-08,5650,5680,5600,5675,4833,BOABF,github,2026-05-26T00:45:12Z
2026-04-07,5550,5655,5590,5650,6018,BOABF,github,2026-05-26T00:45:12Z
2026-04-03,5600,5600,5550,5590,1145,BOABF,github,2026-05-26T00:45:12Z
2026-04-02,5510,5600,5550,5600,3100,BOABF,github,2026-05-26T00:45:12Z
2026-04-01,5570,5570,5510,5550,2988,BOABF,github,2026-05-26T00:45:12Z
2026-03-31,5545,5575,5500,5540,5524,BOABF,github,2026-05-26T00:45:12Z
2026-03-30,5540,5550,5510,5550,3199,BOABF,github,2026-05-26T00:45:12Z
2026-03-27,5450,5550,5445,5510,11273,BOABF,github,2026-05-26T00:45:12Z
2026-03-26,5445,5450,5430,5445,2246,BOABF,github,2026-05-26T00:45:12Z
2026-03-25,5425,5445,5395,5445,7832,BOABF,github,2026-05-26T00:45:12Z
2026-03-24,5405,5450,5395,5415,3122,BOABF,github,2026-05-26T00:45:12Z
2026-03-23,5395,5400,5350,5400,4920,BOABF,github,2026-05-26T00:45:12Z
2026-03-19,5420,5420,5300,5395,3377,BOABF,github,2026-05-26T00:45:12Z
2026-03-18,5380,5420,5300,5420,3233,BOABF,github,2026-05-26T00:45:12Z
