Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-03,9350,9325,9100,9200,6435,BOAC,live,2026-07-03 16:42:24.812755
2026-07-02,9395,9400,9000,9300,25493,BOAC,live,2026-07-02 16:58:42.052092
2026-07-01,9500,9500,9000,9395,22017,BOAC,live,2026-07-01 17:21:41.555500
2026-06-30,9100,9500,9250,9450,19595,BOAC,live,2026-06-30 17:10:24.968405
2026-06-29,9100,9400,9050,9395,37061,BOAC,live,2026-06-29 17:46:00.269897
2026-06-26,9200,9250,9000,9100,22017,BOAC,live,2026-06-26 17:05:14.017657
2026-06-24,9250,9250,9095,9100,4823,BOAC,live,2026-06-24 17:12:19.759886
2026-06-23,9200,9250,8980,9250,15167,BOAC,live,2026-06-23 17:21:12.847950
2026-06-22,9350,9380,9000,9200,41181,BOAC,live,2026-06-22 18:52:01.464919
2026-06-19,9500,9490,9055,9350,5157,BOAC,live,2026-06-19 17:24:44.736489
2026-06-18,9090,9200,8985,9055,8989,BOAC,live,2026-06-18 18:10:35.967528
2026-06-17,9000,9100,8970,9090,9473,BOAC,live,2026-06-17 17:51:59.861363
2026-06-16,8950,9000,8915,8970,7589,BOAC,live,2026-06-16 18:56:58.924176
2026-06-15,8950,9000,8910,8915,3258,BOAC,live,2026-06-15 19:07:26.732172
2026-06-12,8900,9000,8845,8950,10358,BOAC,live,2026-06-12 17:40:43.672986
2026-06-11,8810,9000,8805,8900,7708,BOAC,live,2026-06-11 18:25:24.449635
2026-06-10,9000,9000,8805,8805,13171,BOAC,live,2026-06-10 18:08:19.878654
2026-06-09,8900,8900,8880,8890,12844,BOAC,live,2026-06-09 17:28:10.204386
2026-06-08,8880,8900,8880,8900,7247,BOAC,live,2026-06-08 18:06:56.834136
2026-06-05,8840,8895,8825,8880,9964,BOAC,live,2026-06-07 00:12:12.871380
2026-06-04,8895,8900,8760,8840,9814,BOAC,live,2026-06-04 17:49:38.459771
2026-06-03,0,8900,8800,8895,7894,BOAC,live,2026-06-03 18:54:19.317209
2026-06-02,8840,8880,8755,8800,19062,BOAC,live,2026-06-02 18:50:14.279966
2026-06-01,0,9000,8845,8995,18231,BOAC,live,2026-06-01 19:57:58.661649
2026-05-29,0,8880,8845,8845,19047,BOAC,live,2026-05-29 18:41:15.100289
2026-05-28,8840,8845,8845,8845,9075,BOAC,live,2026-05-28 20:32:24.312147
2026-05-26,8850,8850,8850,8870,4515,BOAC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,8850,8880,8800,8870,4515,BOAC,github,2026-05-26T00:45:12Z
2026-05-21,8850,8895,8800,8880,5467,BOAC,github,2026-05-26T00:45:12Z
2026-05-20,8800,9000,8780,8800,8942,BOAC,github,2026-05-26T00:45:12Z
2026-05-19,8655,8800,8655,8795,3685,BOAC,github,2026-05-26T00:45:12Z
2026-05-18,8630,8710,8625,8655,11322,BOAC,github,2026-05-26T00:45:12Z
2026-05-15,8650,8650,8580,8630,14244,BOAC,github,2026-05-26T00:45:12Z
2026-05-13,8585,8600,8555,8600,11731,BOAC,github,2026-05-26T00:45:12Z
2026-05-12,8655,8655,8550,8585,7396,BOAC,github,2026-05-26T00:45:12Z
2026-05-11,8700,8705,8550,8650,9311,BOAC,github,2026-05-26T00:45:12Z
2026-05-08,8650,8705,8600,8705,8623,BOAC,github,2026-05-26T00:45:12Z
2026-05-07,8780,8785,8615,8650,7105,BOAC,github,2026-05-26T00:45:12Z
2026-05-06,8850,8850,8300,8785,12058,BOAC,github,2026-05-26T00:45:12Z
2026-05-05,8900,9435,8850,8850,23204,BOAC,github,2026-05-26T00:45:12Z
2026-05-04,9190,9485,9100,9435,9437,BOAC,github,2026-05-26T00:45:12Z
2026-04-30,9195,9195,9100,9190,7759,BOAC,github,2026-05-26T00:45:12Z
2026-04-29,8995,9195,8965,9195,12549,BOAC,github,2026-05-26T00:45:12Z
