Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-07,4950,5100,4930,5100,26476,BOAM,live,2026-07-07 15:10:33.878248
2026-07-06,4960,4970,4920,4930,9650,BOAM,live,2026-07-06 17:48:54.346012
2026-07-03,4965,4970,4960,4970,3413,BOAM,live,2026-07-03 16:42:24.846829
2026-07-02,4970,4995,4950,4965,4008,BOAM,live,2026-07-02 16:58:42.086500
2026-07-01,5000,5000,4970,4970,4022,BOAM,live,2026-07-01 17:21:41.589237
2026-06-30,5000,5000,4960,4980,15079,BOAM,live,2026-06-30 17:10:25.002134
2026-06-29,5000,5095,4855,5000,8047,BOAM,live,2026-06-29 17:46:00.303506
2026-06-26,5135,5135,4855,4855,21107,BOAM,live,2026-06-26 17:05:14.052299
2026-06-24,4755,4755,4425,4755,8164,BOAM,live,2026-06-24 17:12:19.827009
2026-06-23,4425,4450,4425,4425,4247,BOAM,live,2026-06-23 17:21:12.894909
2026-06-22,4550,4550,4450,4450,8879,BOAM,live,2026-06-22 18:52:01.519358
2026-06-19,4500,4590,4500,4555,3310,BOAM,live,2026-06-19 17:24:44.769912
2026-06-18,4450,4600,4445,4505,6559,BOAM,live,2026-06-18 18:10:36.038090
2026-06-17,4435,4450,4435,4450,10860,BOAM,live,2026-06-17 17:51:59.888812
2026-06-16,4505,4505,4405,4435,8367,BOAM,live,2026-06-16 18:56:58.958360
2026-06-15,4630,4630,4405,4505,12011,BOAM,live,2026-06-15 19:07:26.765907
2026-06-12,4630,4640,4600,4630,4744,BOAM,live,2026-06-12 17:40:43.707908
2026-06-11,4635,4640,4605,4630,3888,BOAM,live,2026-06-11 18:25:24.486100
2026-06-10,4655,4660,4620,4635,5810,BOAM,live,2026-06-10 18:08:19.912898
2026-06-09,4655,4665,4630,4630,2993,BOAM,live,2026-06-09 17:28:10.238980
2026-06-08,4665,4675,4640,4665,6058,BOAM,live,2026-06-08 18:06:56.909992
2026-06-05,4685,4690,4670,4675,5664,BOAM,live,2026-06-07 00:12:12.898106
2026-06-04,4875,4890,4655,4690,8068,BOAM,live,2026-06-04 17:49:38.497461
2026-06-03,0,4990,4700,4890,3590,BOAM,live,2026-06-03 18:54:19.362343
2026-06-02,5000,5000,4960,4980,5787,BOAM,live,2026-06-02 18:50:14.312004
2026-06-01,0,5300,5200,5245,7144,BOAM,live,2026-06-01 19:57:58.694943
2026-05-29,0,5295,5090,5200,7833,BOAM,live,2026-05-29 18:41:15.135969
2026-05-28,5000,5090,5090,5090,3765,BOAM,live,2026-05-28 20:32:24.330209
2026-05-26,4960,4960,4960,4990,3684,BOAM,brvm_live,2026-05-26T00:45:21Z
2026-05-22,4960,5000,4940,4990,3684,BOAM,github,2026-05-26T00:45:13Z
2026-05-21,4915,4950,4900,4940,2209,BOAM,github,2026-05-26T00:45:13Z
2026-05-20,4850,4900,4850,4900,5088,BOAM,github,2026-05-26T00:45:13Z
2026-05-19,4690,4900,4690,4900,4871,BOAM,github,2026-05-26T00:45:13Z
2026-05-18,4690,4750,4685,4690,7503,BOAM,github,2026-05-26T00:45:13Z
2026-05-15,4685,4700,4675,4690,9992,BOAM,github,2026-05-26T00:45:13Z
2026-05-13,4680,4695,4670,4675,3021,BOAM,github,2026-05-26T00:45:13Z
2026-05-12,4695,4700,4680,4680,4155,BOAM,github,2026-05-26T00:45:13Z
2026-05-11,4700,4700,4680,4685,4465,BOAM,github,2026-05-26T00:45:13Z
2026-05-08,4690,4700,4680,4700,3183,BOAM,github,2026-05-26T00:45:13Z
2026-05-07,4680,4690,4680,4690,1139,BOAM,github,2026-05-26T00:45:13Z
2026-05-06,4690,4700,4670,4680,4529,BOAM,github,2026-05-26T00:45:13Z
2026-05-05,4690,4700,4700,4700,4930,BOAM,github,2026-05-26T00:45:13Z
2026-05-04,4670,4700,4670,4700,14009,BOAM,github,2026-05-26T00:45:13Z
2026-04-30,4675,4675,4670,4670,3114,BOAM,github,2026-05-26T00:45:13Z
2026-04-29,4670,4675,4670,4670,2671,BOAM,github,2026-05-26T00:45:13Z
2026-04-28,4670,4680,4670,4670,8964,BOAM,github,2026-05-26T00:45:13Z
2026-04-27,4670,4680,4670,4670,10322,BOAM,github,2026-05-26T00:45:13Z
2026-04-24,4685,4685,4660,4670,9068,BOAM,github,2026-05-26T00:45:13Z
2026-04-23,4700,4700,4675,4685,2774,BOAM,github,2026-05-26T00:45:13Z
2026-04-22,4690,4700,4605,4675,2892,BOAM,github,2026-05-26T00:45:13Z
2026-04-21,4700,4750,4590,4695,6853,BOAM,github,2026-05-26T00:45:13Z
2026-04-20,4700,4750,4600,4700,4060,BOAM,github,2026-05-26T00:45:13Z
2026-04-17,4650,4700,4600,4700,3562,BOAM,github,2026-05-26T00:45:13Z
2026-04-16,4590,4645,4585,4650,9730,BOAM,github,2026-05-26T00:45:13Z
2026-04-15,4595,4600,4590,4590,4106,BOAM,github,2026-05-26T00:45:13Z
2026-04-14,4580,4600,4580,4590,7197,BOAM,github,2026-05-26T00:45:13Z
2026-04-13,4630,4640,4580,4580,4235,BOAM,github,2026-05-26T00:45:13Z
2026-04-10,4640,4645,4600,4630,1144,BOAM,github,2026-05-26T00:45:13Z
2026-04-09,4595,4650,4595,4645,1392,BOAM,github,2026-05-26T00:45:13Z
2026-04-08,4600,4680,4500,4650,4432,BOAM,github,2026-05-26T00:45:13Z
2026-04-07,4685,4685,4595,4595,5991,BOAM,github,2026-05-26T00:45:13Z
2026-04-03,4695,4695,4600,4685,418,BOAM,github,2026-05-26T00:45:13Z
2026-04-02,4600,4695,4600,4600,4117,BOAM,github,2026-05-26T00:45:13Z
2026-04-01,4695,4695,4650,4680,3775,BOAM,github,2026-05-26T00:45:13Z
2026-03-31,4600,4695,4595,4680,9490,BOAM,github,2026-05-26T00:45:13Z
2026-03-30,4695,4735,4550,4595,6634,BOAM,github,2026-05-26T00:45:13Z
2026-03-27,4700,4765,4695,4695,10090,BOAM,github,2026-05-26T00:45:13Z
