Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-15,4760,5110,4760,5110,14419,BOAN,live,2026-07-15 15:10:24.966980
2026-07-14,4750,4800,4725,4755,12057,BOAN,live,2026-07-14 16:22:43.161385
2026-07-13,4695,4750,4650,4710,5976,BOAN,live,2026-07-13 17:20:28.539125
2026-07-10,4500,4795,4495,4790,11023,BOAN,live,2026-07-10 17:04:06.975120
2026-07-09,4385,4500,4320,4500,7001,BOAN,live,2026-07-09 17:24:36.022113
2026-07-08,4150,4350,4120,4340,10454,BOAN,live,2026-07-08 16:46:11.883439
2026-07-07,4250,4250,4045,4120,57617,BOAN,live,2026-07-07 17:24:11.758351
2026-07-06,4200,4300,4100,4250,10520,BOAN,live,2026-07-06 17:48:54.374298
2026-07-03,4205,4250,4140,4240,18123,BOAN,live,2026-07-03 16:42:24.872722
2026-07-02,4190,4250,4110,4200,10864,BOAN,live,2026-07-02 16:58:42.114286
2026-07-01,4200,4200,4120,4190,5161,BOAN,live,2026-07-01 17:21:41.615307
2026-06-30,4115,4200,4115,4195,7661,BOAN,live,2026-06-30 17:10:25.027947
2026-06-29,4115,4200,4115,4185,7983,BOAN,live,2026-06-29 17:46:00.331711
2026-06-26,4045,4115,4045,4115,4944,BOAN,live,2026-06-26 17:05:14.079997
2026-06-24,3990,4200,3985,4180,7334,BOAN,live,2026-06-24 17:12:19.866816
2026-06-23,3850,3995,3795,3985,26431,BOAN,live,2026-06-23 17:21:12.915049
2026-06-22,3760,3880,3750,3850,3728,BOAN,live,2026-06-22 18:52:01.550281
2026-06-19,3710,3765,3710,3760,9156,BOAN,live,2026-06-19 17:24:44.795893
2026-06-18,3705,3765,3705,3705,5930,BOAN,live,2026-06-18 18:10:36.068044
2026-06-17,3750,3760,3700,3760,13176,BOAN,live,2026-06-17 17:51:59.911607
2026-06-16,3715,3760,3700,3705,7893,BOAN,live,2026-06-16 18:56:58.984702
2026-06-15,3705,3760,3700,3705,5867,BOAN,live,2026-06-15 19:07:26.795738
2026-06-12,3700,3765,3700,3700,6030,BOAN,live,2026-06-12 17:40:43.735220
2026-06-11,3735,3765,3700,3700,7083,BOAN,live,2026-06-11 18:25:24.516482
2026-06-10,3765,3765,3700,3735,22523,BOAN,live,2026-06-10 18:08:19.940140
2026-06-09,3705,3765,3700,3740,2941,BOAN,live,2026-06-09 17:28:10.266308
2026-06-08,3705,3765,3700,3700,27802,BOAN,live,2026-06-08 18:06:56.963109
2026-06-05,3740,3830,3700,3705,24317,BOAN,live,2026-06-07 00:12:12.918689
2026-06-04,3755,3800,3740,3740,13144,BOAN,live,2026-06-04 17:49:38.526299
2026-06-03,0,3745,3695,3740,18073,BOAN,live,2026-06-03 18:54:19.394294
2026-06-02,3700,3740,3695,3695,4551,BOAN,live,2026-06-02 18:50:14.337326
2026-06-01,0,3740,3690,3700,6604,BOAN,live,2026-06-01 19:57:58.720540
2026-05-29,0,3735,3700,3730,4089,BOAN,live,2026-05-29 18:41:15.162233
2026-05-28,3730,3730,3730,3730,3568,BOAN,live,2026-05-28 20:32:24.343789
2026-05-26,3700,3700,3700,3730,6204,BOAN,brvm_live,2026-05-26T00:45:21Z
2026-05-22,3700,3740,3680,3730,6204,BOAN,github,2026-05-26T00:45:13Z
2026-05-21,3690,3700,3685,3700,11543,BOAN,github,2026-05-26T00:45:13Z
2026-05-20,3480,3695,3470,3690,29157,BOAN,github,2026-05-26T00:45:13Z
2026-05-19,3490,3490,3460,3470,4031,BOAN,github,2026-05-26T00:45:13Z
2026-05-18,3450,3490,3440,3490,6300,BOAN,github,2026-05-26T00:45:13Z
2026-05-15,3445,3445,3395,3445,9702,BOAN,github,2026-05-26T00:45:13Z
2026-05-13,3445,3445,3400,3395,7385,BOAN,github,2026-05-26T00:45:13Z
2026-05-12,3445,3450,3425,3440,5724,BOAN,github,2026-05-26T00:45:13Z
2026-05-11,3480,3485,3445,3450,10497,BOAN,github,2026-05-26T00:45:13Z
2026-05-08,3500,3550,3485,3485,10423,BOAN,github,2026-05-26T00:45:13Z
2026-05-07,3550,3550,3485,3500,9120,BOAN,github,2026-05-26T00:45:13Z
2026-05-06,3505,3600,3500,3500,5287,BOAN,github,2026-05-26T00:45:13Z
2026-05-05,3625,3630,3630,3500,5746,BOAN,github,2026-05-26T00:45:13Z
2026-05-04,3660,3660,3500,3630,9029,BOAN,github,2026-05-26T00:45:13Z
2026-04-30,3600,3695,3545,3660,8197,BOAN,github,2026-05-26T00:45:13Z
2026-04-29,3500,3555,3450,3545,2571,BOAN,github,2026-05-26T00:45:13Z
2026-04-28,3300,3500,3315,3500,8854,BOAN,github,2026-05-26T00:45:13Z
2026-04-27,3600,3615,3310,3415,3271,BOAN,github,2026-05-26T00:45:13Z
2026-04-24,3750,3760,3590,3615,6513,BOAN,github,2026-05-26T00:45:13Z
