Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-20,7695,7700,7500,7550,4016,BOAS,live,2026-07-20 15:10:21.503344
2026-07-17,7500,7780,7500,7700,4057,BOAS,live,2026-07-17 16:22:19.661884
2026-07-16,7325,7500,7320,7400,19109,BOAS,live,2026-07-16 16:25:47.618833
2026-07-15,7315,7320,7290,7320,18796,BOAS,live,2026-07-15 16:40:40.480948
2026-07-14,7310,7320,7250,7315,15479,BOAS,live,2026-07-14 16:22:43.202096
2026-07-13,7300,7320,7290,7300,49637,BOAS,live,2026-07-13 17:20:28.564005
2026-07-10,7300,7300,7290,7300,18585,BOAS,live,2026-07-10 17:04:07.015516
2026-07-09,7290,7300,7285,7300,13097,BOAS,live,2026-07-09 17:24:36.062027
2026-07-08,7300,7300,7260,7290,9012,BOAS,live,2026-07-08 16:46:11.927931
2026-07-07,7300,7300,7250,7260,7095,BOAS,live,2026-07-07 17:24:11.797834
2026-07-06,7200,7350,7300,7300,8926,BOAS,live,2026-07-06 17:48:54.415170
2026-07-03,7300,7350,7295,7350,10809,BOAS,live,2026-07-03 16:42:24.911212
2026-07-02,7440,7440,7305,7305,7563,BOAS,live,2026-07-02 16:58:42.154102
2026-07-01,7440,7440,7350,7440,5262,BOAS,live,2026-07-01 17:21:41.653342
2026-06-30,7300,7440,7350,7440,2766,BOAS,live,2026-06-30 17:10:25.066872
2026-06-29,7300,7350,7300,7350,6224,BOAS,live,2026-06-29 17:46:00.371060
2026-06-26,7345,7345,7295,7295,5419,BOAS,live,2026-06-26 17:05:14.119427
2026-06-24,7345,7345,7285,7300,11789,BOAS,live,2026-06-24 17:12:19.907100
2026-06-23,7395,7440,7300,7305,11842,BOAS,live,2026-06-23 17:21:12.944797
2026-06-22,7445,7445,7375,7395,5871,BOAS,live,2026-06-22 18:52:01.595471
2026-06-19,7400,7445,7400,7445,8517,BOAS,live,2026-06-19 17:24:44.835453
2026-06-18,7400,7440,7360,7400,17075,BOAS,live,2026-06-18 18:10:36.110982
2026-06-17,7285,7400,7280,7350,37276,BOAS,live,2026-06-17 17:51:59.943034
2026-06-16,7285,7325,7275,7285,4543,BOAS,live,2026-06-16 18:56:59.023457
2026-06-15,7325,7325,7285,7285,6490,BOAS,live,2026-06-15 19:07:26.836720
