Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-22,3950,3950,3850,3850,602,CABC,live,2026-07-22 16:38:37.335141
2026-07-21,3695,3955,3695,3950,810,CABC,live,2026-07-21 16:37:28.758266
2026-07-20,3650,3695,3650,3695,1148,CABC,live,2026-07-20 16:40:36.440820
2026-07-17,3700,3700,3625,3650,2482,CABC,live,2026-07-17 16:22:19.691677
2026-07-16,3660,3710,3605,3625,3103,CABC,live,2026-07-16 16:25:47.647968
2026-07-15,3800,3800,3700,3710,4152,CABC,live,2026-07-15 16:40:40.499210
2026-07-14,3910,3945,3800,3800,9348,CABC,live,2026-07-14 16:22:43.232311
2026-07-13,3955,4000,3900,3910,1676,CABC,live,2026-07-13 17:20:28.582680
2026-07-10,4015,4015,3905,3955,764,CABC,live,2026-07-10 17:04:07.045397
2026-07-09,4050,4155,4000,4000,2647,CABC,live,2026-07-09 17:24:36.091654
2026-07-08,4155,4200,4000,4000,2929,CABC,live,2026-07-08 16:46:11.958169
2026-07-07,4490,4490,4155,4155,3760,CABC,live,2026-07-07 17:24:11.826956
2026-07-06,4500,4495,4190,4490,1227,CABC,live,2026-07-06 17:48:54.445854
2026-07-03,4500,4500,4495,4495,879,CABC,live,2026-07-03 16:42:24.939906
2026-07-02,4190,4500,4190,4500,733,CABC,live,2026-07-02 16:58:42.183596
2026-07-01,4600,4500,4190,4190,2155,CABC,live,2026-07-01 17:21:41.682043
2026-06-30,3900,4500,4190,4500,1445,CABC,live,2026-06-30 17:10:25.095612
2026-06-29,3900,4190,3900,4190,3626,CABC,live,2026-06-29 17:46:00.400502
2026-06-26,3900,4100,3900,3900,4441,CABC,live,2026-06-26 17:05:14.148692
2026-06-24,4000,4015,3805,4000,1119,CABC,live,2026-06-24 17:12:19.936605
2026-06-23,4015,4020,3750,4015,522,CABC,live,2026-06-23 17:21:12.966746
2026-06-22,4000,4025,3810,4020,1354,CABC,live,2026-06-22 18:52:01.627543
2026-06-19,3900,4000,3815,4000,3060,CABC,live,2026-06-19 17:24:44.864529
2026-06-18,4015,4025,3900,3900,1938,CABC,live,2026-06-18 18:10:36.143054
2026-06-17,4025,4025,4010,4015,596,CABC,live,2026-06-17 17:51:59.966569
2026-06-16,4100,4100,4005,4025,1167,CABC,live,2026-06-16 18:56:59.066225
2026-06-15,4005,4005,3990,4005,717,CABC,live,2026-06-15 19:07:26.866178
2026-06-12,4005,4100,4000,4000,1078,CABC,live,2026-06-12 17:40:43.808045
2026-06-11,3975,4100,3975,4000,1923,CABC,live,2026-06-11 18:25:24.590283
2026-06-10,4100,4100,3975,3975,1441,CABC,live,2026-06-10 18:08:20.020307
2026-06-09,4100,4100,3975,4000,1531,CABC,live,2026-06-09 17:28:10.336983
