Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-02,1505,1545,1485,1530,1931,CFAC,live,2026-06-02 15:10:28.619121
2026-06-01,0,1550,1485,1505,3042,CFAC,live,2026-06-01 19:57:58.891827
2026-05-29,0,1515,1460,1510,1483,CFAC,live,2026-05-29 18:41:15.306598
2026-05-28,1485,1485,1485,1485,3438,CFAC,live,2026-05-28 20:32:24.410345
2026-05-26,1485,1485,1485,1485,3776,CFAC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,1485,1485,1460,1485,3776,CFAC,github,2026-05-26T00:45:06Z
2026-05-21,1480,1495,1455,1485,2089,CFAC,github,2026-05-26T00:45:06Z
2026-05-20,1495,1500,1455,1480,1858,CFAC,github,2026-05-26T00:45:06Z
2026-05-19,1500,1500,1490,1500,1615,CFAC,github,2026-05-26T00:45:06Z
2026-05-18,1575,1580,1440,1500,2975,CFAC,github,2026-05-26T00:45:06Z
2026-05-15,1480,1580,1480,1555,3145,CFAC,github,2026-05-26T00:45:06Z
2026-05-13,1380,1400,1380,1480,5983,CFAC,github,2026-05-26T00:45:06Z
2026-05-12,1380,1385,1360,1380,1999,CFAC,github,2026-05-26T00:45:06Z
2026-05-11,1385,1385,1360,1380,1550,CFAC,github,2026-05-26T00:45:06Z
2026-05-08,1400,1420,1380,1385,2459,CFAC,github,2026-05-26T00:45:06Z
2026-05-07,1380,1405,1360,1400,3848,CFAC,github,2026-05-26T00:45:06Z
2026-05-06,1325,1420,1325,1400,3910,CFAC,github,2026-05-26T00:45:06Z
2026-05-05,1400,1430,1325,1325,10165,CFAC,github,2026-05-26T00:45:06Z
2026-05-04,1430,1430,1380,1430,4899,CFAC,github,2026-05-26T00:45:06Z
2026-04-30,1425,1530,1425,1430,1026,CFAC,github,2026-05-26T00:45:06Z
2026-04-29,1575,1580,1530,1530,1725,CFAC,github,2026-05-26T00:45:06Z
2026-04-28,1600,1600,1475,1580,4479,CFAC,github,2026-05-26T00:45:06Z
2026-04-27,1600,1600,1500,1590,2218,CFAC,github,2026-05-26T00:45:06Z
2026-04-24,1530,1595,1525,1595,1888,CFAC,github,2026-05-26T00:45:06Z
2026-04-23,1600,1600,1525,1550,3364,CFAC,github,2026-05-26T00:45:06Z
2026-04-22,1650,1645,1590,1600,1489,CFAC,github,2026-05-26T00:45:06Z
2026-04-21,1550,1595,1550,1590,1160,CFAC,github,2026-05-26T00:45:06Z
2026-04-20,1545,1550,1545,1550,5813,CFAC,github,2026-05-26T00:45:06Z
2026-04-17,1550,1550,1545,1545,3325,CFAC,github,2026-05-26T00:45:06Z
2026-04-16,1500,1550,1500,1550,2386,CFAC,github,2026-05-26T00:45:06Z
2026-04-15,1600,1600,1480,1500,4917,CFAC,github,2026-05-26T00:45:06Z
2026-04-14,1640,1640,1600,1600,1814,CFAC,github,2026-05-26T00:45:06Z
2026-04-13,1640,1640,1630,1630,1571,CFAC,github,2026-05-26T00:45:06Z
2026-04-10,1695,1695,1640,1640,491,CFAC,github,2026-05-26T00:45:06Z
2026-04-09,1700,1705,1620,1695,4907,CFAC,github,2026-05-26T00:45:06Z
2026-04-08,1635,1700,1630,1700,6545,CFAC,github,2026-05-26T00:45:06Z
2026-04-07,1610,1640,1600,1635,7104,CFAC,github,2026-05-26T00:45:06Z
2026-04-03,1605,1620,1605,1620,1032,CFAC,github,2026-05-26T00:45:06Z
2026-04-02,1615,1620,1600,1605,1090,CFAC,github,2026-05-26T00:45:06Z
2026-04-01,1640,1640,1620,1620,1249,CFAC,github,2026-05-26T00:45:06Z
2026-03-31,1600,1645,1600,1620,1727,CFAC,github,2026-05-26T00:45:06Z
2026-03-30,1625,1645,1600,1610,5855,CFAC,github,2026-05-26T00:45:06Z
2026-03-27,1630,1640,1615,1630,2239,CFAC,github,2026-05-26T00:45:06Z
2026-03-26,1630,1660,1630,1640,1685,CFAC,github,2026-05-26T00:45:06Z
2026-03-25,1670,1675,1630,1630,2007,CFAC,github,2026-05-26T00:45:06Z
2026-03-24,1620,1750,1620,1675,2272,CFAC,github,2026-05-26T00:45:06Z
2026-03-23,1795,1795,1740,1750,3368,CFAC,github,2026-05-26T00:45:06Z
2026-03-19,1760,1810,1700,1795,7594,CFAC,github,2026-05-26T00:45:06Z
2026-03-18,1745,1770,1740,1760,3644,CFAC,github,2026-05-26T00:45:06Z
2026-03-17,1650,1700,1600,1745,9897,CFAC,github,2026-05-26T00:45:06Z
2026-03-13,1650,1695,1605,1650,2678,CFAC,github,2026-05-26T00:45:06Z
2026-03-12,1765,1775,1695,1695,7224,CFAC,github,2026-05-26T00:45:06Z
2026-03-11,1775,1800,1700,1775,2003,CFAC,github,2026-05-26T00:45:06Z
2026-03-10,1730,1785,1700,1775,15446,CFAC,github,2026-05-26T00:45:06Z
2026-03-09,1750,1750,1695,1700,8559,CFAC,github,2026-05-26T00:45:06Z
2026-03-06,1800,1800,1700,1750,6586,CFAC,github,2026-05-26T00:45:06Z
2026-03-05,1790,1800,1730,1800,5758,CFAC,github,2026-05-26T00:45:06Z
2026-03-04,1780,1795,1760,1785,12352,CFAC,github,2026-05-26T00:45:06Z
2026-03-03,1720,1785,1700,1780,6741,CFAC,github,2026-05-26T00:45:06Z
2026-03-02,1785,1790,1700,1700,4769,CFAC,github,2026-05-26T00:45:06Z
2026-02-27,1755,1795,1700,1790,21570,CFAC,github,2026-05-26T00:45:06Z
2026-02-26,1755,1790,1750,1790,6785,CFAC,github,2026-05-26T00:45:06Z
2026-02-25,1700,1800,1695,1750,7539,CFAC,github,2026-05-26T00:45:06Z
2026-02-24,1680,1695,1675,1695,12862,CFAC,github,2026-05-26T00:45:06Z
2026-02-23,1560,1680,1600,1675,16133,CFAC,github,2026-05-26T00:45:06Z
2026-02-20,1690,1700,1590,1630,4163,CFAC,github,2026-05-26T00:45:06Z
2026-02-19,1595,1700,1590,1590,22828,CFAC,github,2026-05-26T00:45:06Z
2026-02-18,1590,1600,1565,1595,10269,CFAC,github,2026-05-26T00:45:06Z
2026-02-17,1560,1600,1560,1565,4854,CFAC,github,2026-05-26T00:45:06Z
2026-02-16,1570,1570,1500,1560,16913,CFAC,github,2026-05-26T00:45:06Z
2026-02-13,1590,1595,1555,1570,5273,CFAC,github,2026-05-26T00:45:06Z
2026-02-12,1605,1625,1595,1595,4201,CFAC,github,2026-05-26T00:45:06Z
