Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-15,4995,5000,4900,4995,4417,CIEC,live,2026-06-15 15:10:28.734132
2026-06-12,5000,5050,4975,4995,6701,CIEC,live,2026-06-12 17:40:43.946609
2026-06-11,4870,5010,4850,5000,7852,CIEC,live,2026-06-11 18:25:24.688347
2026-06-10,5050,5050,4850,4950,8510,CIEC,live,2026-06-10 18:08:20.152598
2026-06-09,5005,5150,4960,5050,12402,CIEC,live,2026-06-09 17:28:10.429447
2026-06-08,5300,5320,4945,5095,16722,CIEC,live,2026-06-08 18:06:57.149057
2026-06-05,5000,5320,4950,5320,6263,CIEC,live,2026-06-07 00:12:13.044877
2026-06-04,0,5000,4750,4950,14034,CIEC,live,2026-06-04 17:49:38.713628
2026-06-03,0,4850,4515,4800,10070,CIEC,live,2026-06-03 18:54:19.578890
2026-06-02,4255,4515,4255,4515,9555,CIEC,live,2026-06-02 18:50:14.490310
2026-06-01,0,4200,4140,4200,5588,CIEC,live,2026-06-01 19:57:58.922913
2026-05-29,0,4150,4055,4150,7849,CIEC,live,2026-05-29 18:41:15.337866
2026-05-28,4000,4055,4055,4055,20238,CIEC,live,2026-05-28 20:32:24.427782
2026-05-26,4040,4040,4040,4040,28967,CIEC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,4040,4040,3760,4040,28967,CIEC,github,2026-05-26T00:45:17Z
2026-05-21,3650,3760,3500,3760,11638,CIEC,github,2026-05-26T00:45:17Z
2026-05-20,3370,3500,3355,3500,3627,CIEC,github,2026-05-26T00:45:17Z
2026-05-19,3330,3400,3330,3355,3344,CIEC,github,2026-05-26T00:45:17Z
2026-05-18,3295,3330,3275,3330,10180,CIEC,github,2026-05-26T00:45:17Z
2026-05-15,3305,3305,3290,3290,4480,CIEC,github,2026-05-26T00:45:17Z
2026-05-13,3300,3305,3285,3300,4285,CIEC,github,2026-05-26T00:45:17Z
2026-05-12,3295,3320,3200,3295,4424,CIEC,github,2026-05-26T00:45:17Z
2026-05-11,3330,3330,3110,3200,2648,CIEC,github,2026-05-26T00:45:17Z
2026-05-08,3345,3345,3300,3330,6545,CIEC,github,2026-05-26T00:45:17Z
2026-05-07,3200,3350,3010,3345,2258,CIEC,github,2026-05-26T00:45:17Z
2026-05-06,3100,3200,2950,3200,24862,CIEC,github,2026-05-26T00:45:17Z
2026-05-05,3100,3185,3185,3010,13197,CIEC,github,2026-05-26T00:45:17Z
2026-05-04,3185,3490,3185,3185,24243,CIEC,github,2026-05-26T00:45:17Z
2026-04-30,3325,3350,3250,3250,2349,CIEC,github,2026-05-26T00:45:17Z
2026-04-29,3210,3300,3180,3250,4228,CIEC,github,2026-05-26T00:45:17Z
2026-04-28,3210,3210,3000,3180,4326,CIEC,github,2026-05-26T00:45:17Z
2026-04-27,3200,3200,2995,3000,2792,CIEC,github,2026-05-26T00:45:17Z
2026-04-24,3165,3200,2995,3000,7978,CIEC,github,2026-05-26T00:45:17Z
2026-04-23,3100,3165,3055,3165,1955,CIEC,github,2026-05-26T00:45:17Z
2026-04-22,3055,3100,2995,3100,4151,CIEC,github,2026-05-26T00:45:17Z
2026-04-21,3130,3140,3050,3055,2779,CIEC,github,2026-05-26T00:45:17Z
2026-04-20,3140,3140,3100,3050,2117,CIEC,github,2026-05-26T00:45:17Z
2026-04-17,3105,3125,3100,3100,2843,CIEC,github,2026-05-26T00:45:17Z
2026-04-16,3140,3140,3135,3100,775,CIEC,github,2026-05-26T00:45:17Z
2026-04-15,3135,3140,3010,3140,1757,CIEC,github,2026-05-26T00:45:17Z
2026-04-14,3105,3150,3000,3135,4873,CIEC,github,2026-05-26T00:45:17Z
2026-04-13,3195,3195,3100,3150,3550,CIEC,github,2026-05-26T00:45:17Z
2026-04-10,3200,3245,3165,3195,1468,CIEC,github,2026-05-26T00:45:17Z
2026-04-09,3330,3350,3200,3245,4132,CIEC,github,2026-05-26T00:45:17Z
2026-04-08,3350,3350,3350,3350,1565,CIEC,github,2026-05-26T00:45:17Z
2026-04-07,3395,3400,3300,3350,2469,CIEC,github,2026-05-26T00:45:17Z
2026-04-03,3400,3400,3320,3400,637,CIEC,github,2026-05-26T00:45:17Z
2026-04-02,3395,3400,3340,3400,1403,CIEC,github,2026-05-26T00:45:17Z
2026-04-01,3400,3400,3350,3400,1219,CIEC,github,2026-05-26T00:45:17Z
2026-03-31,3300,3495,3290,3400,4494,CIEC,github,2026-05-26T00:45:17Z
2026-03-30,3300,3345,3200,3300,5865,CIEC,github,2026-05-26T00:45:17Z
2026-03-27,3290,3300,3175,3290,816,CIEC,github,2026-05-26T00:45:17Z
2026-03-26,3200,3300,3165,3290,2715,CIEC,github,2026-05-26T00:45:17Z
2026-03-25,3345,3355,3200,3200,4398,CIEC,github,2026-05-26T00:45:17Z
2026-03-24,3340,3350,3340,3345,10021,CIEC,github,2026-05-26T00:45:17Z
2026-03-23,3300,3340,3300,3340,35503,CIEC,github,2026-05-26T00:45:17Z
2026-03-19,3295,3300,3200,3300,5328,CIEC,github,2026-05-26T00:45:17Z
2026-03-18,3300,3300,3150,3200,2661,CIEC,github,2026-05-26T00:45:17Z
2026-03-17,3300,3300,3150,3300,5236,CIEC,github,2026-05-26T00:45:17Z
2026-03-13,3250,3340,3150,3300,6196,CIEC,github,2026-05-26T00:45:17Z
2026-03-12,3250,3340,3250,3340,14161,CIEC,github,2026-05-26T00:45:17Z
2026-03-11,3300,3325,3250,3250,12005,CIEC,github,2026-05-26T00:45:17Z
2026-03-10,3300,3325,3195,3300,4167,CIEC,github,2026-05-26T00:45:17Z
2026-03-09,3330,3340,3195,3325,7241,CIEC,github,2026-05-26T00:45:17Z
2026-03-06,3370,3370,3300,3340,7250,CIEC,github,2026-05-26T00:45:17Z
2026-03-05,3390,3390,3315,3370,4958,CIEC,github,2026-05-26T00:45:17Z
2026-03-04,3415,3415,3330,3390,5771,CIEC,github,2026-05-26T00:45:17Z
2026-03-03,3430,3490,3400,3415,9923,CIEC,github,2026-05-26T00:45:17Z
2026-03-02,3195,3430,3195,3430,5326,CIEC,github,2026-05-26T00:45:17Z
2026-02-27,3100,3200,3100,3195,3097,CIEC,github,2026-05-26T00:45:17Z
2026-02-26,2950,3100,2945,3100,5973,CIEC,github,2026-05-26T00:45:17Z
2026-02-25,2840,2950,2940,2950,28696,CIEC,github,2026-05-26T00:45:17Z
2026-02-24,2950,2950,2905,2940,5519,CIEC,github,2026-05-26T00:45:17Z
2026-02-23,2940,2950,2925,2950,8102,CIEC,github,2026-05-26T00:45:17Z
2026-02-20,2855,2950,2845,2940,5829,CIEC,github,2026-05-26T00:45:17Z
2026-02-19,2800,2950,2800,2845,7563,CIEC,github,2026-05-26T00:45:17Z
2026-02-18,2775,2800,2770,2800,3055,CIEC,github,2026-05-26T00:45:17Z
2026-02-17,2700,2775,2700,2770,2857,CIEC,github,2026-05-26T00:45:17Z
2026-02-16,2690,2700,2670,2700,4375,CIEC,github,2026-05-26T00:45:17Z
2026-02-13,2650,2700,2650,2690,5765,CIEC,github,2026-05-26T00:45:17Z
2026-02-12,2700,2705,2650,2650,35488,CIEC,github,2026-05-26T00:45:17Z
2026-02-11,2690,2700,2650,2700,8144,CIEC,github,2026-05-26T00:45:17Z
2026-02-10,2700,2700,2650,2690,10256,CIEC,github,2026-05-26T00:45:17Z
2026-02-09,2690,2705,2690,2690,7698,CIEC,github,2026-05-26T00:45:17Z
2026-02-06,2710,2720,2650,2690,15471,CIEC,github,2026-05-26T00:45:17Z
2026-02-05,2700,2715,2640,2650,3171,CIEC,github,2026-05-26T00:45:17Z
2026-02-04,2685,2700,2615,2640,9539,CIEC,github,2026-05-26T00:45:17Z
2026-02-03,2670,2690,2670,2690,3830,CIEC,github,2026-05-26T00:45:17Z
2026-02-02,2685,2690,2675,2675,3861,CIEC,github,2026-05-26T00:45:17Z
2026-01-30,2690,2690,2650,2685,2548,CIEC,github,2026-05-26T00:45:17Z
2026-01-29,2695,2705,2600,2650,5777,CIEC,github,2026-05-26T00:45:17Z
2026-01-28,2650,2700,2650,2695,3666,CIEC,github,2026-05-26T00:45:17Z
2026-01-27,2695,2700,2625,2650,3623,CIEC,github,2026-05-26T00:45:17Z
2026-01-26,2700,2705,2625,2700,7670,CIEC,github,2026-05-26T00:45:17Z
2026-01-23,2720,2720,2695,2705,5857,CIEC,github,2026-05-26T00:45:17Z
2026-01-22,2705,2750,2695,2720,5074,CIEC,github,2026-05-26T00:45:17Z
2026-01-21,2665,2760,2660,2700,6068,CIEC,github,2026-05-26T00:45:17Z
2026-01-20,2640,2670,2625,2660,2477,CIEC,github,2026-05-26T00:45:17Z
2026-01-19,2590,2635,2520,2625,3239,CIEC,github,2026-05-26T00:45:17Z
2026-01-16,2590,2600,2555,2590,9684,CIEC,github,2026-05-26T00:45:17Z
