Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-15,16045,16370,15800,15900,6512,ECOC,live,2026-07-15 15:10:25.185499
2026-07-14,16700,16700,16300,16370,954,ECOC,live,2026-07-14 16:22:43.377215
2026-07-13,16790,16790,16500,16700,2116,ECOC,live,2026-07-13 17:20:28.671908
2026-07-10,16700,16800,16700,16795,465,ECOC,live,2026-07-10 17:04:07.195349
2026-07-09,16990,17000,16640,16700,639,ECOC,live,2026-07-09 17:24:36.232540
2026-07-08,16695,17000,16640,17000,1701,ECOC,live,2026-07-08 16:46:12.103480
2026-07-07,17200,17200,15500,16640,102038,ECOC,live,2026-07-07 17:24:11.970033
2026-07-06,17300,17300,16500,16500,5176,ECOC,live,2026-07-06 17:48:54.593343
2026-07-03,16900,17350,16500,17270,1411,ECOC,live,2026-07-03 16:42:25.077166
2026-07-02,17200,17200,16250,16500,1537,ECOC,live,2026-07-02 16:58:42.329593
2026-07-01,17180,17185,16250,16250,3155,ECOC,live,2026-07-01 17:21:41.823987
2026-06-30,16800,17190,16600,16600,1217,ECOC,live,2026-06-30 17:10:25.233986
2026-06-29,16800,17200,16800,17190,1006,ECOC,live,2026-06-29 17:46:00.542508
2026-06-26,16800,17275,16800,17150,341,ECOC,live,2026-06-26 17:05:14.288734
2026-06-24,16600,17395,16400,16500,6518,ECOC,live,2026-06-24 17:12:20.081738
2026-06-23,17380,17450,16500,16500,11571,ECOC,live,2026-06-23 17:21:13.073905
2026-06-22,16800,17385,16795,17000,5651,ECOC,live,2026-06-22 18:52:01.800530
2026-06-19,16500,16795,16410,16745,404,ECOC,live,2026-06-19 17:24:45.003258
2026-06-18,16500,16795,16450,16500,3884,ECOC,live,2026-06-18 18:10:36.302913
2026-06-17,16500,16500,16400,16400,2443,ECOC,live,2026-06-17 17:52:00.080798
2026-06-16,16780,16800,16400,16500,6616,ECOC,live,2026-06-16 18:56:59.224058
2026-06-15,16800,16800,16770,16770,3712,ECOC,live,2026-06-15 19:07:27.006390
2026-06-12,16800,16800,16795,16795,438,ECOC,live,2026-06-12 17:40:43.997331
2026-06-11,16800,16990,16700,16800,1069,ECOC,live,2026-06-11 18:25:24.740898
2026-06-10,16800,17010,16700,16700,977,ECOC,live,2026-06-10 18:08:20.202848
2026-06-09,16400,17000,16340,16800,6278,ECOC,live,2026-06-09 17:28:10.483947
2026-06-08,16500,16500,16350,16400,971,ECOC,live,2026-06-08 18:06:57.198423
2026-06-05,16345,16400,16340,16400,3403,ECOC,live,2026-06-07 00:12:13.084411
2026-06-04,16345,16345,16335,16345,1924,ECOC,live,2026-06-04 17:49:38.804285
2026-06-03,0,16345,16305,16345,3676,ECOC,live,2026-06-03 18:54:19.669338
2026-06-02,16250,16400,16250,16345,2962,ECOC,live,2026-06-02 18:50:14.537651
