Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-24,2000,2080,1950,1955,12530,FTSC,live,2026-06-24 17:12:20.151042
2026-06-23,2155,2160,2080,2080,18815,FTSC,live,2026-06-23 17:21:13.125327
2026-06-22,2150,2160,2100,2150,3573,FTSC,live,2026-06-22 18:52:01.878581
2026-06-19,2100,2170,2100,2160,3957,FTSC,live,2026-06-19 17:24:45.070180
2026-06-18,2175,2180,2100,2100,13292,FTSC,live,2026-06-18 18:10:36.376951
2026-06-17,2200,2195,2155,2175,5592,FTSC,live,2026-06-17 17:52:00.136661
2026-06-16,2220,2215,2185,2190,5118,FTSC,live,2026-06-16 18:56:59.292637
2026-06-15,2220,2230,2200,2215,5040,FTSC,live,2026-06-15 19:07:27.115720
2026-06-12,2200,2235,2200,2230,5948,FTSC,live,2026-06-12 17:40:44.067615
2026-06-11,2275,2290,2155,2220,8198,FTSC,live,2026-06-11 18:25:24.839117
2026-06-10,2285,2290,2275,2290,2636,FTSC,live,2026-06-10 18:08:20.273182
2026-06-09,2295,2295,2275,2275,1872,FTSC,live,2026-06-09 17:28:10.559269
2026-06-08,2250,2430,2265,2295,5119,FTSC,live,2026-06-08 18:06:57.267292
2026-06-05,2410,2440,2410,2430,2709,FTSC,live,2026-06-07 00:12:13.139048
2026-06-04,2420,2420,2410,2410,4403,FTSC,live,2026-06-04 17:49:38.930078
2026-06-03,0,2420,2335,2415,3758,FTSC,live,2026-06-03 18:54:19.746771
2026-06-02,0,2400,2325,2335,5095,FTSC,live,2026-06-02 18:50:14.601131
2026-06-01,0,2400,2335,2340,4061,FTSC,live,2026-06-01 19:57:59.041500
2026-05-29,0,2345,2255,2340,2004,FTSC,live,2026-05-29 18:41:15.453007
2026-05-28,2300,2255,2255,2255,1056,FTSC,live,2026-05-28 20:32:24.490671
2026-05-26,2300,2300,2300,2280,579,FTSC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,2300,2300,2280,2280,579,FTSC,github,2026-05-26T00:45:11Z
2026-05-21,2300,2300,2275,2300,1090,FTSC,github,2026-05-26T00:45:11Z
2026-05-20,2300,2300,2250,2300,1327,FTSC,github,2026-05-26T00:45:11Z
2026-05-19,2350,2360,2250,2250,1776,FTSC,github,2026-05-26T00:45:11Z
2026-05-18,2295,2400,2085,2360,8299,FTSC,github,2026-05-26T00:45:11Z
2026-05-15,2250,2300,2205,2250,2808,FTSC,github,2026-05-26T00:45:11Z
2026-05-13,2240,2250,2205,2250,2187,FTSC,github,2026-05-26T00:45:11Z
2026-05-12,2200,2240,2200,2240,1798,FTSC,github,2026-05-26T00:45:11Z
2026-05-11,2240,2240,2200,2200,3063,FTSC,github,2026-05-26T00:45:11Z
2026-05-08,2200,2250,2200,2220,952,FTSC,github,2026-05-26T00:45:11Z
2026-05-07,2200,2200,2190,2200,939,FTSC,github,2026-05-26T00:45:11Z
2026-05-06,2220,2250,2195,2200,1352,FTSC,github,2026-05-26T00:45:11Z
2026-05-05,2195,2195,2195,2220,1196,FTSC,github,2026-05-26T00:45:11Z
2026-05-04,2195,2225,2115,2195,1589,FTSC,github,2026-05-26T00:45:11Z
2026-04-30,2200,2200,2115,2195,1308,FTSC,github,2026-05-26T00:45:11Z
2026-04-29,2245,2245,2200,2200,887,FTSC,github,2026-05-26T00:45:11Z
2026-04-28,2245,2250,2235,2240,883,FTSC,github,2026-05-26T00:45:11Z
2026-04-27,2105,2250,2105,2250,2020,FTSC,github,2026-05-26T00:45:11Z
2026-04-24,2265,2280,2105,2105,3186,FTSC,github,2026-05-26T00:45:11Z
2026-04-23,2270,2270,2180,2265,1568,FTSC,github,2026-05-26T00:45:11Z
2026-04-22,2220,2280,2210,2220,2875,FTSC,github,2026-05-26T00:45:11Z
2026-04-21,2195,2305,2170,2220,1532,FTSC,github,2026-05-26T00:45:11Z
2026-04-20,2100,2200,2105,2195,1376,FTSC,github,2026-05-26T00:45:11Z
2026-04-17,2180,2200,2100,2200,2628,FTSC,github,2026-05-26T00:45:11Z
2026-04-16,2220,2305,2220,2180,1797,FTSC,github,2026-05-26T00:45:11Z
2026-04-15,2220,2260,2200,2260,8359,FTSC,github,2026-05-26T00:45:11Z
2026-04-14,2285,2300,2200,2220,5137,FTSC,github,2026-05-26T00:45:11Z
2026-04-13,2305,2305,2285,2295,1511,FTSC,github,2026-05-26T00:45:11Z
2026-04-10,2305,2305,2290,2305,3205,FTSC,github,2026-05-26T00:45:11Z
2026-04-09,2375,2375,2305,2305,4069,FTSC,github,2026-05-26T00:45:11Z
2026-04-08,2305,2385,2305,2375,1903,FTSC,github,2026-05-26T00:45:11Z
2026-04-07,2355,2385,2305,2305,1585,FTSC,github,2026-05-26T00:45:11Z
2026-04-03,2300,2400,2300,2350,1859,FTSC,github,2026-05-26T00:45:11Z
2026-04-02,2310,2315,2300,2300,810,FTSC,github,2026-05-26T00:45:11Z
2026-04-01,2350,2350,2300,2300,2657,FTSC,github,2026-05-26T00:45:11Z
2026-03-31,2350,2350,2305,2345,206,FTSC,github,2026-05-26T00:45:11Z
2026-03-30,2350,2410,2305,2305,2407,FTSC,github,2026-05-26T00:45:11Z
2026-03-27,2355,2480,2355,2410,6664,FTSC,github,2026-05-26T00:45:11Z
2026-03-26,2400,2400,2345,2355,1824,FTSC,github,2026-05-26T00:45:11Z
2026-03-25,2295,2345,2295,2345,758,FTSC,github,2026-05-26T00:45:11Z
2026-03-24,2300,2300,2275,2295,2936,FTSC,github,2026-05-26T00:45:11Z
2026-03-23,2350,2320,2300,2290,1349,FTSC,github,2026-05-26T00:45:11Z
2026-03-19,2320,2400,2315,2320,1263,FTSC,github,2026-05-26T00:45:11Z
2026-03-18,2275,2335,2275,2315,1769,FTSC,github,2026-05-26T00:45:11Z
2026-03-17,2390,2390,2280,2290,1576,FTSC,github,2026-05-26T00:45:11Z
2026-03-13,2420,2420,2350,2390,1568,FTSC,github,2026-05-26T00:45:11Z
2026-03-12,2400,2460,2420,2420,2388,FTSC,github,2026-05-26T00:45:11Z
2026-03-11,2450,2450,2405,2425,3920,FTSC,github,2026-05-26T00:45:11Z
2026-03-10,2420,2420,2395,2410,2262,FTSC,github,2026-05-26T00:45:11Z
2026-03-09,2480,2480,2405,2420,2700,FTSC,github,2026-05-26T00:45:11Z
2026-03-06,2465,2480,2405,2480,4152,FTSC,github,2026-05-26T00:45:11Z
2026-03-05,2450,2480,2405,2465,5785,FTSC,github,2026-05-26T00:45:11Z
2026-03-04,2430,2450,2305,2405,3275,FTSC,github,2026-05-26T00:45:11Z
