Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-17,3915,4190,3900,3985,2264,LNBB,live,2026-06-17 15:10:37.478338
2026-06-16,3850,3900,3815,3900,14755,LNBB,live,2026-06-16 18:56:59.338852
2026-06-15,3820,3850,3815,3850,3759,LNBB,live,2026-06-15 19:07:27.161261
2026-06-12,3845,3845,3835,3835,1344,LNBB,live,2026-06-12 17:40:44.135107
2026-06-11,3820,3835,3820,3835,3440,LNBB,live,2026-06-11 18:25:24.916544
2026-06-10,3835,3835,3830,3830,7191,LNBB,live,2026-06-10 18:08:20.322010
2026-06-09,3835,3835,3820,3835,3576,LNBB,live,2026-06-09 17:28:10.606493
2026-06-08,3815,3835,3810,3835,3147,LNBB,live,2026-06-08 18:06:57.312842
2026-06-05,3835,3835,3830,3830,2745,LNBB,live,2026-06-07 00:12:13.175727
2026-06-04,3835,3835,3820,3835,2394,LNBB,live,2026-06-04 17:49:38.996625
2026-06-03,0,3850,3805,3835,4029,LNBB,live,2026-06-03 18:54:19.798319
2026-06-02,3850,3850,3845,3845,11813,LNBB,live,2026-06-02 18:50:14.644437
2026-06-01,0,3850,3800,3850,2136,LNBB,live,2026-06-01 19:57:59.087149
2026-05-29,0,3845,3800,3845,2532,LNBB,live,2026-05-29 18:41:15.498803
2026-05-28,3800,3825,3825,3825,1155,LNBB,live,2026-05-28 20:32:24.516175
2026-05-26,3860,3860,3860,3860,155,LNBB,brvm_live,2026-05-26T00:45:21Z
2026-05-22,3860,3900,3860,3860,155,LNBB,github,2026-05-26T00:45:06Z
2026-05-21,3990,3990,3860,3860,846,LNBB,github,2026-05-26T00:45:06Z
2026-05-20,3990,3990,3890,3990,3805,LNBB,github,2026-05-26T00:45:06Z
2026-05-19,3900,3990,3890,3990,1236,LNBB,github,2026-05-26T00:45:06Z
2026-05-18,3900,3900,3890,3890,87,LNBB,github,2026-05-26T00:45:06Z
2026-05-15,3865,4000,3860,3900,2881,LNBB,github,2026-05-26T00:45:06Z
2026-05-13,3865,4000,3865,3900,6086,LNBB,github,2026-05-26T00:45:06Z
2026-05-12,3865,3865,3865,3865,2217,LNBB,github,2026-05-26T00:45:06Z
2026-05-11,3845,3945,3845,3865,978,LNBB,github,2026-05-26T00:45:06Z
2026-05-08,3860,3945,3800,3845,5802,LNBB,github,2026-05-26T00:45:06Z
2026-05-07,4000,4245,3900,3945,5636,LNBB,github,2026-05-26T00:45:06Z
2026-05-06,3950,4000,3855,3950,15521,LNBB,github,2026-05-26T00:45:06Z
2026-05-05,3900,3875,3875,3950,1312,LNBB,github,2026-05-26T00:45:06Z
2026-05-04,3900,3900,3850,3875,2084,LNBB,github,2026-05-26T00:45:06Z
2026-04-30,3850,3900,3850,3850,1016,LNBB,github,2026-05-26T00:45:06Z
2026-04-29,4000,4000,3805,3900,457,LNBB,github,2026-05-26T00:45:06Z
2026-04-28,3850,4000,3800,3975,3858,LNBB,github,2026-05-26T00:45:06Z
2026-04-27,3930,3930,3850,3900,2723,LNBB,github,2026-05-26T00:45:06Z
2026-04-24,3930,3935,3860,3930,345,LNBB,github,2026-05-26T00:45:06Z
2026-04-23,3850,3935,3850,3935,362,LNBB,github,2026-05-26T00:45:06Z
2026-04-22,3850,3860,3850,3860,412,LNBB,github,2026-05-26T00:45:06Z
2026-04-21,3860,3860,3850,3860,4749,LNBB,github,2026-05-26T00:45:06Z
2026-04-20,3850,3930,3830,3860,5042,LNBB,github,2026-05-26T00:45:06Z
2026-04-17,3855,3945,3805,3930,2521,LNBB,github,2026-05-26T00:45:06Z
2026-04-16,3860,3860,3855,3860,1421,LNBB,github,2026-05-26T00:45:06Z
2026-04-15,3895,3980,3855,3855,2124,LNBB,github,2026-05-26T00:45:06Z
2026-04-14,3895,3895,3855,3855,928,LNBB,github,2026-05-26T00:45:06Z
2026-04-13,3895,3895,3855,3855,365,LNBB,github,2026-05-26T00:45:06Z
2026-04-10,3855,3895,3855,3895,167,LNBB,github,2026-05-26T00:45:06Z
2026-04-09,3910,3910,3850,3855,140,LNBB,github,2026-05-26T00:45:06Z
2026-04-08,3850,3915,3850,3910,749,LNBB,github,2026-05-26T00:45:06Z
2026-04-07,3850,3920,3850,3915,277,LNBB,github,2026-05-26T00:45:06Z
2026-04-03,3850,3850,3850,3850,341,LNBB,github,2026-05-26T00:45:06Z
2026-04-02,3920,3920,3800,3850,239,LNBB,github,2026-05-26T00:45:06Z
2026-04-01,3850,3925,3850,3920,1822,LNBB,github,2026-05-26T00:45:06Z
2026-03-31,3895,3900,3800,3900,685,LNBB,github,2026-05-26T00:45:06Z
2026-03-30,3900,3900,3850,3900,39,LNBB,github,2026-05-26T00:45:06Z
2026-03-27,3805,3900,3800,3850,1422,LNBB,github,2026-05-26T00:45:06Z
2026-03-26,3755,3800,3755,3800,1217,LNBB,github,2026-05-26T00:45:06Z
2026-03-25,3805,3825,3755,3765,487,LNBB,github,2026-05-26T00:45:06Z
2026-03-24,3825,3825,3750,3825,3592,LNBB,github,2026-05-26T00:45:06Z
2026-03-23,3820,3850,3800,3825,639,LNBB,github,2026-05-26T00:45:06Z
2026-03-19,3855,3855,3800,3850,921,LNBB,github,2026-05-26T00:45:06Z
2026-03-18,3800,3945,3800,3850,702,LNBB,github,2026-05-26T00:45:06Z
2026-03-17,3850,3895,3800,3800,1700,LNBB,github,2026-05-26T00:45:06Z
2026-03-13,3900,3945,3810,3895,496,LNBB,github,2026-05-26T00:45:06Z
2026-03-12,3900,3950,3900,3945,564,LNBB,github,2026-05-26T00:45:06Z
2026-03-11,3900,4000,3800,3900,1822,LNBB,github,2026-05-26T00:45:06Z
2026-03-10,3880,3990,3800,3900,3183,LNBB,github,2026-05-26T00:45:06Z
2026-03-09,3810,3990,3800,3880,1131,LNBB,github,2026-05-26T00:45:06Z
2026-03-06,3810,4000,3805,3805,2272,LNBB,github,2026-05-26T00:45:06Z
2026-03-05,3900,3990,3895,3895,2539,LNBB,github,2026-05-26T00:45:06Z
2026-03-04,3865,3900,3865,3895,2662,LNBB,github,2026-05-26T00:45:06Z
2026-03-03,3880,3895,3805,3865,2074,LNBB,github,2026-05-26T00:45:06Z
