Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-08,1990,1995,1990,1995,3145,NEIC,live,2026-06-08 15:10:25.793726
2026-06-05,1990,1995,1985,1995,5535,NEIC,live,2026-06-07 00:12:13.182344
2026-06-04,1990,1990,1990,1990,1265,NEIC,live,2026-06-04 17:49:39.005816
2026-06-03,0,2000,1990,1990,3430,NEIC,live,2026-06-03 18:54:19.811111
2026-06-02,1990,1995,1960,1995,4482,NEIC,live,2026-06-02 18:50:14.653679
2026-06-01,0,2000,1950,1990,1661,NEIC,live,2026-06-01 19:57:59.095961
2026-05-29,0,1985,1900,1950,1247,NEIC,live,2026-05-29 18:41:15.508091
2026-05-28,1900,1900,1900,1900,527,NEIC,live,2026-05-28 20:32:24.520649
2026-05-26,1900,1900,1900,1990,4147,NEIC,brvm_live,2026-05-26T00:45:21Z
2026-05-22,1900,1995,1815,1990,4147,NEIC,github,2026-05-26T00:45:07Z
2026-05-21,1900,1940,1760,1935,3049,NEIC,github,2026-05-26T00:45:07Z
2026-05-20,1940,1945,1900,1900,1805,NEIC,github,2026-05-26T00:45:07Z
2026-05-19,1940,1945,1940,1940,5138,NEIC,github,2026-05-26T00:45:07Z
2026-05-18,1945,1945,1900,1940,1369,NEIC,github,2026-05-26T00:45:07Z
2026-05-15,1890,1990,1880,1920,2448,NEIC,github,2026-05-26T00:45:07Z
2026-05-13,1890,1990,1800,1990,11437,NEIC,github,2026-05-26T00:45:07Z
2026-05-12,1840,1900,1815,1890,12358,NEIC,github,2026-05-26T00:45:07Z
2026-05-11,1745,1850,1745,1850,5054,NEIC,github,2026-05-26T00:45:07Z
2026-05-08,1740,1745,1720,1745,5933,NEIC,github,2026-05-26T00:45:07Z
2026-05-07,1715,1750,1715,1745,8176,NEIC,github,2026-05-26T00:45:07Z
2026-05-06,1790,1880,1700,1715,6595,NEIC,github,2026-05-26T00:45:07Z
2026-05-05,1775,1760,1760,1790,6389,NEIC,github,2026-05-26T00:45:07Z
2026-05-04,1880,1900,1760,1760,8572,NEIC,github,2026-05-26T00:45:07Z
2026-04-30,1945,1900,1850,1900,2940,NEIC,github,2026-05-26T00:45:07Z
2026-04-29,1830,1955,1710,1890,30135,NEIC,github,2026-05-26T00:45:07Z
2026-04-28,1815,1820,1695,1820,34843,NEIC,github,2026-05-26T00:45:07Z
2026-04-27,1695,1695,1380,1695,34954,NEIC,github,2026-05-26T00:45:07Z
2026-04-24,1580,1580,1470,1580,5717,NEIC,github,2026-05-26T00:45:07Z
2026-04-23,1395,1470,1370,1470,125597,NEIC,github,2026-05-26T00:45:07Z
2026-04-22,1380,1390,1370,1370,3890,NEIC,github,2026-05-26T00:45:07Z
2026-04-21,1380,1380,1365,1380,3243,NEIC,github,2026-05-26T00:45:07Z
2026-04-20,1375,1380,1360,1380,8680,NEIC,github,2026-05-26T00:45:07Z
2026-04-17,1375,1380,1325,1370,818,NEIC,github,2026-05-26T00:45:07Z
2026-04-16,1385,1385,1385,1380,4334,NEIC,github,2026-05-26T00:45:07Z
2026-04-15,1390,1400,1375,1385,1560,NEIC,github,2026-05-26T00:45:07Z
2026-04-14,1400,1405,1390,1400,7228,NEIC,github,2026-05-26T00:45:07Z
2026-04-13,1370,1430,1370,1405,14443,NEIC,github,2026-05-26T00:45:07Z
2026-04-10,1365,1375,1365,1370,741,NEIC,github,2026-05-26T00:45:07Z
2026-04-09,1380,1380,1325,1365,9578,NEIC,github,2026-05-26T00:45:07Z
2026-04-08,1395,1395,1380,1380,1584,NEIC,github,2026-05-26T00:45:07Z
