Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-01,19655,20000,19655,19995,578,NSBC,live,2026-07-01 15:10:21.376348
2026-06-30,19750,20000,19400,19650,1403,NSBC,live,2026-06-30 17:10:25.380048
2026-06-29,19750,19935,19650,19650,518,NSBC,live,2026-06-29 17:46:00.689870
2026-06-26,19395,19750,19500,19750,940,NSBC,live,2026-06-26 17:05:14.437936
2026-06-24,19400,19490,19350,19400,1180,NSBC,live,2026-06-24 17:12:20.249022
2026-06-23,19330,19495,19300,19400,959,NSBC,live,2026-06-23 17:21:13.187571
2026-06-22,19200,19300,19175,19300,1094,NSBC,live,2026-06-22 18:52:01.969451
2026-06-19,19120,19155,19010,19155,1179,NSBC,live,2026-06-19 17:24:45.148883
2026-06-18,18900,19050,18900,19040,1098,NSBC,live,2026-06-18 18:10:36.465243
2026-06-17,19000,19075,18780,18950,1925,NSBC,live,2026-06-17 17:52:00.202181
2026-06-16,19120,19120,19000,19075,1760,NSBC,live,2026-06-16 18:56:59.373197
2026-06-15,19300,19150,19050,19120,1526,NSBC,live,2026-06-15 19:07:27.194172
2026-06-12,19500,19500,19000,19150,7790,NSBC,live,2026-06-12 17:40:44.169699
2026-06-11,19100,19500,19000,19500,2008,NSBC,live,2026-06-11 18:25:24.955958
2026-06-10,19150,19250,19000,19000,2514,NSBC,live,2026-06-10 18:08:20.356929
2026-06-09,19250,19300,19150,19250,1445,NSBC,live,2026-06-09 17:28:10.640659
2026-06-08,19150,19300,19140,19250,1219,NSBC,live,2026-06-08 18:06:57.344938
2026-06-05,19075,20000,18995,19150,7227,NSBC,live,2026-06-07 00:12:13.200655
2026-06-04,18645,19000,18645,18995,1613,NSBC,live,2026-06-04 17:49:39.030883
2026-06-03,0,18890,17990,18645,1754,NSBC,live,2026-06-03 18:54:19.839181
2026-06-02,18000,18000,17905,17990,2297,NSBC,live,2026-06-02 18:50:14.678182
2026-06-01,0,18000,17980,18000,2310,NSBC,live,2026-06-01 19:57:59.120096
2026-05-29,0,18000,17950,18000,2056,NSBC,live,2026-05-29 18:41:15.532362
2026-05-28,18000,17980,17980,17980,1397,NSBC,live,2026-05-28 20:32:24.535070
2026-05-26,18965,18965,18965,18000,2934,NSBC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,18965,18965,17990,18000,2934,NSBC,github,2026-05-26T00:45:16Z
2026-05-21,17900,19000,17900,18965,3238,NSBC,github,2026-05-26T00:45:16Z
2026-05-20,16805,17900,16700,17900,3567,NSBC,github,2026-05-26T00:45:16Z
2026-05-19,16820,16805,15650,16700,2469,NSBC,github,2026-05-26T00:45:16Z
2026-05-18,15100,15650,15000,15650,4875,NSBC,github,2026-05-26T00:45:16Z
2026-05-15,14385,15150,14100,15000,4679,NSBC,github,2026-05-26T00:45:16Z
2026-05-13,13810,13950,13810,14100,2554,NSBC,github,2026-05-26T00:45:16Z
2026-05-12,13850,13850,13780,13810,1964,NSBC,github,2026-05-26T00:45:16Z
2026-05-11,13990,14010,13805,13850,3440,NSBC,github,2026-05-26T00:45:16Z
2026-05-08,14000,14150,13860,14010,1323,NSBC,github,2026-05-26T00:45:16Z
2026-05-07,14010,14150,13800,14000,2216,NSBC,github,2026-05-26T00:45:16Z
2026-05-06,14300,14350,14000,14010,1993,NSBC,github,2026-05-26T00:45:16Z
2026-05-05,15000,14940,14940,14000,2991,NSBC,github,2026-05-26T00:45:16Z
