Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-02,2900,3100,2900,2900,14025,ONTBF,live,2026-06-02 15:10:28.854923
2026-06-01,0,2940,2890,2900,3983,ONTBF,live,2026-06-01 19:57:59.178622
2026-05-29,0,2900,2850,2900,9891,ONTBF,live,2026-05-29 18:41:15.591237
2026-05-28,2855,2850,2850,2850,1076,ONTBF,live,2026-05-28 20:32:24.567397
2026-05-26,2880,2880,2880,2850,666,ONTBF,brvm_live,2026-05-26T00:45:22Z
2026-05-22,2880,2880,2840,2850,666,ONTBF,github,2026-05-26T00:45:18Z
2026-05-21,2860,2895,2855,2855,823,ONTBF,github,2026-05-26T00:45:18Z
2026-05-20,2855,2855,2800,2855,1142,ONTBF,github,2026-05-26T00:45:18Z
2026-05-19,2840,2895,2800,2855,3048,ONTBF,github,2026-05-26T00:45:18Z
2026-05-18,2800,2800,2770,2800,1183,ONTBF,github,2026-05-26T00:45:18Z
2026-05-15,2760,2800,2750,2795,522,ONTBF,github,2026-05-26T00:45:18Z
2026-05-13,2680,2760,2680,2750,2816,ONTBF,github,2026-05-26T00:45:18Z
2026-05-12,2700,2700,2680,2680,592,ONTBF,github,2026-05-26T00:45:18Z
2026-05-11,2760,2760,2700,2700,2161,ONTBF,github,2026-05-26T00:45:18Z
2026-05-08,2710,2775,2700,2760,622,ONTBF,github,2026-05-26T00:45:18Z
2026-05-07,2710,2775,2710,2775,447,ONTBF,github,2026-05-26T00:45:18Z
2026-05-06,2775,2780,2590,2710,2185,ONTBF,github,2026-05-26T00:45:18Z
2026-05-05,2780,2780,2600,2780,3369,ONTBF,github,2026-05-26T00:45:18Z
2026-05-04,2795,2800,2705,2780,2105,ONTBF,github,2026-05-26T00:45:18Z
2026-04-30,2800,2800,2700,2795,221,ONTBF,github,2026-05-26T00:45:18Z
2026-04-29,2720,2795,2610,2795,1900,ONTBF,github,2026-05-26T00:45:18Z
2026-04-28,2620,2710,2610,2700,1150,ONTBF,github,2026-05-26T00:45:18Z
2026-04-27,2710,2720,2600,2610,1056,ONTBF,github,2026-05-26T00:45:18Z
2026-04-24,2720,2720,2700,2710,1624,ONTBF,github,2026-05-26T00:45:18Z
2026-04-23,2720,2720,2710,2720,4347,ONTBF,github,2026-05-26T00:45:18Z
2026-04-22,2705,2720,2515,2720,2008,ONTBF,github,2026-05-26T00:45:18Z
2026-04-21,2720,2720,2710,2710,3088,ONTBF,github,2026-05-26T00:45:18Z
2026-04-20,2705,2720,2705,2720,1963,ONTBF,github,2026-05-26T00:45:18Z
2026-04-17,2720,2790,2720,2720,1689,ONTBF,github,2026-05-26T00:45:18Z
2026-04-16,2800,2800,2795,2720,1587,ONTBF,github,2026-05-26T00:45:18Z
2026-04-15,2845,2900,2780,2795,903,ONTBF,github,2026-05-26T00:45:18Z
2026-04-14,2850,2900,2850,2900,2018,ONTBF,github,2026-05-26T00:45:18Z
2026-04-13,2790,2850,2785,2850,1709,ONTBF,github,2026-05-26T00:45:18Z
2026-04-10,2800,2850,2750,2790,10415,ONTBF,github,2026-05-26T00:45:18Z
2026-04-09,2850,2850,2800,2800,2142,ONTBF,github,2026-05-26T00:45:18Z
2026-04-08,2940,2940,2800,2850,3729,ONTBF,github,2026-05-26T00:45:18Z
2026-04-07,2920,2935,2850,2850,2758,ONTBF,github,2026-05-26T00:45:18Z
2026-04-03,2930,2935,2900,2935,419,ONTBF,github,2026-05-26T00:45:18Z
2026-04-02,2900,2940,2815,2900,592,ONTBF,github,2026-05-26T00:45:18Z
2026-04-01,2950,2950,2805,2940,1751,ONTBF,github,2026-05-26T00:45:18Z
2026-03-31,2935,2950,2875,2950,3626,ONTBF,github,2026-05-26T00:45:18Z
2026-03-30,2950,2950,2910,2940,531,ONTBF,github,2026-05-26T00:45:18Z
2026-03-27,2910,2990,2900,2950,1904,ONTBF,github,2026-05-26T00:45:18Z
2026-03-26,2900,2990,2835,2910,1507,ONTBF,github,2026-05-26T00:45:18Z
2026-03-25,2995,2995,2970,2990,970,ONTBF,github,2026-05-26T00:45:18Z
2026-03-24,3000,3010,2990,2995,1610,ONTBF,github,2026-05-26T00:45:18Z
2026-03-23,3000,3020,3000,3000,5910,ONTBF,github,2026-05-26T00:45:18Z
2026-03-19,2980,3000,2835,3000,5827,ONTBF,github,2026-05-26T00:45:18Z
2026-03-18,2980,2980,2800,2835,897,ONTBF,github,2026-05-26T00:45:18Z
2026-03-17,2900,2995,2850,2980,2825,ONTBF,github,2026-05-26T00:45:18Z
2026-03-13,3090,3095,2975,2995,97307,ONTBF,github,2026-05-26T00:45:18Z
2026-03-12,3020,3095,2900,3095,4421,ONTBF,github,2026-05-26T00:45:18Z
2026-03-11,2975,3020,2905,3020,3725,ONTBF,github,2026-05-26T00:45:18Z
2026-03-10,2900,3045,2890,3020,4285,ONTBF,github,2026-05-26T00:45:18Z
2026-03-09,2900,2910,2880,2910,21019,ONTBF,github,2026-05-26T00:45:18Z
2026-03-06,2850,2910,2840,2900,2888,ONTBF,github,2026-05-26T00:45:18Z
2026-03-05,2850,2850,2800,2850,2078,ONTBF,github,2026-05-26T00:45:18Z
2026-03-04,2885,2895,2850,2850,3438,ONTBF,github,2026-05-26T00:45:18Z
2026-03-03,2895,2895,2860,2885,3249,ONTBF,github,2026-05-26T00:45:18Z
2026-03-02,2790,2910,2750,2895,7634,ONTBF,github,2026-05-26T00:45:18Z
2026-02-27,2790,2790,2725,2790,1864,ONTBF,github,2026-05-26T00:45:18Z
2026-02-26,2715,2850,2715,2750,1947,ONTBF,github,2026-05-26T00:45:18Z
2026-02-25,2800,2800,2685,2715,7008,ONTBF,github,2026-05-26T00:45:18Z
2026-02-24,2800,2800,2650,2800,3969,ONTBF,github,2026-05-26T00:45:18Z
2026-02-23,2800,2800,2700,2700,20622,ONTBF,github,2026-05-26T00:45:18Z
2026-02-20,2890,3020,2705,2800,15943,ONTBF,github,2026-05-26T00:45:18Z
2026-02-19,2855,2890,2700,2890,30599,ONTBF,github,2026-05-26T00:45:18Z
2026-02-18,2900,2900,2700,2870,21764,ONTBF,github,2026-05-26T00:45:18Z
2026-02-17,2685,2710,2665,2700,6334,ONTBF,github,2026-05-26T00:45:18Z
2026-02-16,2630,2700,2630,2685,2344,ONTBF,github,2026-05-26T00:45:18Z
2026-02-13,2700,2710,2630,2630,732,ONTBF,github,2026-05-26T00:45:18Z
2026-02-12,2700,2710,2660,2710,3760,ONTBF,github,2026-05-26T00:45:18Z
