Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-09,16000,16000,15500,15950,967,ORAC,live,2026-06-09 15:10:25.716077
2026-06-08,16605,16605,16000,16000,2807,ORAC,live,2026-06-08 18:06:57.440769
2026-06-05,16950,16975,16400,16605,1408,ORAC,live,2026-06-07 00:12:13.276441
2026-06-04,16255,17100,16255,16975,1662,ORAC,live,2026-06-04 17:49:39.129923
2026-06-03,0,16200,15705,16200,2455,ORAC,live,2026-06-03 18:54:19.951001
2026-06-02,16000,16000,15700,15705,2233,ORAC,live,2026-06-02 18:50:14.771591
2026-06-01,0,16000,15900,16000,5151,ORAC,live,2026-06-01 19:57:59.216226
2026-05-29,0,16000,15900,16000,5331,ORAC,live,2026-05-29 18:41:15.627369
2026-05-28,15800,16000,16000,16000,2085,ORAC,live,2026-05-28 20:32:24.587543
2026-05-26,15650,15650,15650,15550,5614,ORAC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,15650,15650,15055,15550,5614,ORAC,github,2026-05-26T00:45:18Z
2026-05-21,15650,16000,15050,15650,3511,ORAC,github,2026-05-26T00:45:18Z
2026-05-20,15660,16000,15500,15505,2842,ORAC,github,2026-05-26T00:45:18Z
2026-05-19,15700,15900,15600,15650,3056,ORAC,github,2026-05-26T00:45:18Z
2026-05-18,15050,15600,15050,15600,3521,ORAC,github,2026-05-26T00:45:18Z
2026-05-15,15200,15200,15000,15150,618,ORAC,github,2026-05-26T00:45:18Z
2026-05-13,15100,15200,15000,15000,1336,ORAC,github,2026-05-26T00:45:18Z
2026-05-12,15100,15200,15000,15050,492,ORAC,github,2026-05-26T00:45:18Z
2026-05-11,14920,15200,14920,15100,899,ORAC,github,2026-05-26T00:45:18Z
2026-05-08,14920,15200,14900,14920,350,ORAC,github,2026-05-26T00:45:18Z
2026-05-07,15200,15200,14900,14900,260,ORAC,github,2026-05-26T00:45:18Z
2026-05-06,15000,15200,14800,15200,2240,ORAC,github,2026-05-26T00:45:18Z
2026-05-05,15470,15000,15000,15000,431,ORAC,github,2026-05-26T00:45:18Z
2026-05-04,15250,15500,15000,15000,1192,ORAC,github,2026-05-26T00:45:18Z
2026-04-30,14675,15200,14660,15200,85,ORAC,github,2026-05-26T00:45:18Z
2026-04-29,15250,15500,14650,14660,928,ORAC,github,2026-05-26T00:45:18Z
2026-04-28,14650,15250,14650,15250,753,ORAC,github,2026-05-26T00:45:18Z
2026-04-27,15000,15180,14650,14650,1458,ORAC,github,2026-05-26T00:45:18Z
2026-04-24,14950,14950,14900,14900,157,ORAC,github,2026-05-26T00:45:18Z
2026-04-23,15000,15000,14900,14900,1095,ORAC,github,2026-05-26T00:45:18Z
2026-04-22,14905,15000,14905,15000,1010,ORAC,github,2026-05-26T00:45:18Z
2026-04-21,14905,15000,14900,14905,644,ORAC,github,2026-05-26T00:45:18Z
2026-04-20,15100,15100,14700,14900,165,ORAC,github,2026-05-26T00:45:18Z
2026-04-17,15175,15180,15000,14700,1951,ORAC,github,2026-05-26T00:45:18Z
2026-04-16,15175,15175,15165,15000,1688,ORAC,github,2026-05-26T00:45:18Z
2026-04-15,15170,15170,15150,15165,1062,ORAC,github,2026-05-26T00:45:18Z
2026-04-14,15180,15175,14790,15170,219,ORAC,github,2026-05-26T00:45:18Z
2026-04-13,15200,15200,14790,14790,2356,ORAC,github,2026-05-26T00:45:18Z
2026-04-10,15100,15200,15005,15005,299,ORAC,github,2026-05-26T00:45:18Z
2026-04-09,15100,15100,15000,15100,531,ORAC,github,2026-05-26T00:45:18Z
2026-04-08,15200,15200,15000,15000,614,ORAC,github,2026-05-26T00:45:18Z
2026-04-07,15300,15300,15000,15200,1154,ORAC,github,2026-05-26T00:45:18Z
2026-04-03,15200,15200,14650,15000,1045,ORAC,github,2026-05-26T00:45:18Z
2026-04-02,15200,15200,15000,15200,946,ORAC,github,2026-05-26T00:45:18Z
2026-04-01,15200,15200,15000,15200,708,ORAC,github,2026-05-26T00:45:18Z
2026-03-31,14700,15295,14650,15200,499,ORAC,github,2026-05-26T00:45:18Z
2026-03-30,15200,15300,14600,14650,666,ORAC,github,2026-05-26T00:45:18Z
2026-03-27,14800,15300,14655,15300,2926,ORAC,github,2026-05-26T00:45:18Z
2026-03-26,15000,15195,14500,14655,441,ORAC,github,2026-05-26T00:45:18Z
2026-03-25,14605,15300,14300,14500,1208,ORAC,github,2026-05-26T00:45:18Z
2026-03-24,14500,15200,14200,14600,1115,ORAC,github,2026-05-26T00:45:18Z
2026-03-23,15000,15100,14000,14200,8259,ORAC,github,2026-05-26T00:45:18Z
2026-03-19,15050,15050,14550,14550,2032,ORAC,github,2026-05-26T00:45:18Z
2026-03-18,15025,15060,15025,15050,500,ORAC,github,2026-05-26T00:45:18Z
2026-03-17,15200,15200,15000,15050,642,ORAC,github,2026-05-26T00:45:18Z
2026-03-13,15205,15205,15000,15000,1667,ORAC,github,2026-05-26T00:45:18Z
2026-03-12,15300,15500,15200,15205,3705,ORAC,github,2026-05-26T00:45:18Z
2026-03-11,15505,15890,15300,15300,570,ORAC,github,2026-05-26T00:45:18Z
2026-03-10,15600,15600,15200,15300,1844,ORAC,github,2026-05-26T00:45:18Z
2026-03-09,15650,15900,15555,15555,1378,ORAC,github,2026-05-26T00:45:18Z
2026-03-06,15600,15890,15550,15650,3534,ORAC,github,2026-05-26T00:45:18Z
2026-03-05,15605,15900,15600,15600,747,ORAC,github,2026-05-26T00:45:18Z
2026-03-04,15900,16000,15605,15900,5352,ORAC,github,2026-05-26T00:45:18Z
2026-03-03,15600,15900,15600,15900,1927,ORAC,github,2026-05-26T00:45:18Z
2026-03-02,15555,15700,15525,15600,1665,ORAC,github,2026-05-26T00:45:18Z
2026-02-27,15690,15800,15555,15555,2583,ORAC,github,2026-05-26T00:45:18Z
2026-02-26,15550,15690,15550,15690,4150,ORAC,github,2026-05-26T00:45:18Z
2026-02-25,15445,15690,15445,15650,21429,ORAC,github,2026-05-26T00:45:18Z
2026-02-24,15205,15500,15200,15500,896,ORAC,github,2026-05-26T00:45:18Z
2026-02-23,15005,15595,15005,15200,2655,ORAC,github,2026-05-26T00:45:18Z
2026-02-20,15000,15250,14600,15005,7136,ORAC,github,2026-05-26T00:45:18Z
2026-02-19,14120,15000,14105,14600,4667,ORAC,github,2026-05-26T00:45:18Z
2026-02-18,15145,15155,14020,14105,11103,ORAC,github,2026-05-26T00:45:18Z
2026-02-17,15150,15200,15000,15155,4754,ORAC,github,2026-05-26T00:45:18Z
2026-02-16,15150,15250,15100,15150,3293,ORAC,github,2026-05-26T00:45:18Z
2026-02-13,15100,15100,15000,15100,1730,ORAC,github,2026-05-26T00:45:18Z
2026-02-12,15200,15200,15000,15100,4093,ORAC,github,2026-05-26T00:45:18Z
2026-02-11,15000,15200,15000,15200,4876,ORAC,github,2026-05-26T00:45:18Z
2026-02-10,15000,15100,15000,15100,1677,ORAC,github,2026-05-26T00:45:18Z
2026-02-09,15000,15100,14800,15100,1437,ORAC,github,2026-05-26T00:45:18Z
2026-02-06,14800,15000,14800,14995,820,ORAC,github,2026-05-26T00:45:18Z
2026-02-05,14800,15000,14795,14800,1973,ORAC,github,2026-05-26T00:45:18Z
2026-02-04,14550,14795,14550,14795,637,ORAC,github,2026-05-26T00:45:18Z
2026-02-03,14600,14700,14490,14650,264,ORAC,github,2026-05-26T00:45:18Z
2026-02-02,14450,14700,14400,14490,1325,ORAC,github,2026-05-26T00:45:18Z
2026-01-30,14450,14495,14450,14490,556,ORAC,github,2026-05-26T00:45:18Z
2026-01-29,14395,14500,14390,14450,1359,ORAC,github,2026-05-26T00:45:18Z
2026-01-28,14300,14400,14300,14390,768,ORAC,github,2026-05-26T00:45:18Z
2026-01-27,14400,14450,14300,14400,1134,ORAC,github,2026-05-26T00:45:18Z
2026-01-26,14300,14500,14220,14350,1045,ORAC,github,2026-05-26T00:45:18Z
2026-01-23,14400,14500,14205,14400,591,ORAC,github,2026-05-26T00:45:18Z
2026-01-22,14100,14500,14100,14400,1728,ORAC,github,2026-05-26T00:45:18Z
2026-01-21,14490,14500,14100,14500,1775,ORAC,github,2026-05-26T00:45:18Z
2026-01-20,14470,14470,14100,14205,734,ORAC,github,2026-05-26T00:45:18Z
2026-01-19,14450,14490,14050,14470,854,ORAC,github,2026-05-26T00:45:18Z
2026-01-16,14450,14450,14400,14450,1115,ORAC,github,2026-05-26T00:45:18Z
2026-01-15,14100,14450,14100,14450,811,ORAC,github,2026-05-26T00:45:18Z
2026-01-14,14020,14100,14000,14100,12148,ORAC,github,2026-05-26T00:45:18Z
2026-01-13,13800,14100,13900,14025,1636,ORAC,github,2026-05-26T00:45:18Z
2026-01-12,14130,14135,14000,14000,3757,ORAC,github,2026-05-26T00:45:18Z
2026-01-09,14100,14150,14025,14135,4530,ORAC,github,2026-05-26T00:45:18Z
2026-01-08,14190,14190,14025,14100,1270,ORAC,github,2026-05-26T00:45:18Z
2026-01-07,14190,14190,14000,14190,1514,ORAC,github,2026-05-26T00:45:18Z
2026-01-06,14030,14200,14020,14190,1429,ORAC,github,2026-05-26T00:45:18Z
2026-01-05,14200,14200,14020,14020,1646,ORAC,github,2026-05-26T00:45:18Z
2026-01-02,14250,14395,14100,14055,2639,ORAC,github,2026-05-26T00:45:18Z
2025-12-31,14290,14400,14050,14250,1783,ORAC,github,2026-05-26T00:45:18Z
2025-12-30,14000,14480,14000,14300,6686,ORAC,github,2026-05-26T00:45:18Z
