Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-05,0,2940,2865,2900,4863,ORGT,live,2026-06-05 15:10:23.526126
2026-06-04,2870,2900,2865,2865,7766,ORGT,live,2026-06-04 17:49:39.144115
2026-06-03,0,2855,2800,2855,6460,ORGT,live,2026-06-03 18:54:19.968174
2026-06-02,2655,2800,2645,2800,8634,ORGT,live,2026-06-02 18:50:14.784237
2026-06-01,0,2650,2600,2630,3014,ORGT,live,2026-06-01 19:57:59.230511
2026-05-29,0,2735,2600,2600,4092,ORGT,live,2026-05-29 18:41:15.640744
2026-05-28,2750,2735,2735,2735,5020,ORGT,live,2026-05-28 20:32:24.594072
2026-05-26,2590,2590,2590,2700,5237,ORGT,brvm_live,2026-05-26T00:45:22Z
2026-05-22,2590,2730,2590,2700,5237,ORGT,github,2026-05-26T00:45:16Z
2026-05-21,2500,2590,2500,2590,3658,ORGT,github,2026-05-26T00:45:16Z
2026-05-20,2500,2510,2480,2500,5890,ORGT,github,2026-05-26T00:45:16Z
2026-05-19,2495,2525,2480,2500,9392,ORGT,github,2026-05-26T00:45:16Z
2026-05-18,2440,2500,2435,2495,13526,ORGT,github,2026-05-26T00:45:16Z
2026-05-15,2560,2575,2430,2435,24717,ORGT,github,2026-05-26T00:45:16Z
2026-05-13,2700,2740,2600,2575,11184,ORGT,github,2026-05-26T00:45:16Z
2026-05-12,2940,2850,2700,2740,10458,ORGT,github,2026-05-26T00:45:16Z
2026-05-11,2740,2740,2550,2740,21596,ORGT,github,2026-05-26T00:45:16Z
2026-05-08,2550,2755,2550,2550,17676,ORGT,github,2026-05-26T00:45:16Z
2026-05-07,2755,2975,2755,2755,6423,ORGT,github,2026-05-26T00:45:16Z
2026-05-06,2975,3215,2975,2975,11099,ORGT,github,2026-05-26T00:45:16Z
2026-05-05,3215,3475,3475,3215,2601,ORGT,github,2026-05-26T00:45:16Z
2026-05-04,3295,3490,3250,3475,9422,ORGT,github,2026-05-26T00:45:16Z
2026-04-30,3260,3280,3250,3250,1373,ORGT,github,2026-05-26T00:45:16Z
2026-04-29,3270,3295,3260,3280,5771,ORGT,github,2026-05-26T00:45:16Z
2026-04-28,3230,3340,3210,3295,9341,ORGT,github,2026-05-26T00:45:16Z
2026-04-27,3295,3350,3200,3340,3620,ORGT,github,2026-05-26T00:45:16Z
2026-04-24,3185,3350,3200,3295,14550,ORGT,github,2026-05-26T00:45:16Z
2026-04-23,3215,3285,3200,3250,7107,ORGT,github,2026-05-26T00:45:16Z
2026-04-22,3295,3300,3200,3205,10818,ORGT,github,2026-05-26T00:45:16Z
2026-04-21,3200,3300,3180,3295,10127,ORGT,github,2026-05-26T00:45:16Z
2026-04-20,3360,3410,3160,3205,5519,ORGT,github,2026-05-26T00:45:16Z
2026-04-17,3400,3410,3350,3360,4358,ORGT,github,2026-05-26T00:45:16Z
2026-04-16,3435,3435,3435,3410,1631,ORGT,github,2026-05-26T00:45:16Z
2026-04-15,3360,3435,3365,3435,3384,ORGT,github,2026-05-26T00:45:16Z
2026-04-14,3500,3555,3450,3435,5036,ORGT,github,2026-05-26T00:45:16Z
2026-04-13,3630,3650,3550,3555,2169,ORGT,github,2026-05-26T00:45:16Z
2026-04-10,3650,3660,3620,3650,2473,ORGT,github,2026-05-26T00:45:16Z
2026-04-09,3600,3650,3600,3650,1290,ORGT,github,2026-05-26T00:45:16Z
2026-04-08,3650,3650,3500,3600,7049,ORGT,github,2026-05-26T00:45:16Z
2026-04-07,3660,3660,3630,3650,3019,ORGT,github,2026-05-26T00:45:16Z
2026-04-03,3660,3660,3600,3660,1465,ORGT,github,2026-05-26T00:45:16Z
2026-04-02,3660,3665,3660,3660,2296,ORGT,github,2026-05-26T00:45:16Z
2026-04-01,3695,3695,3600,3660,5011,ORGT,github,2026-05-26T00:45:16Z
2026-03-31,3660,3720,3655,3655,2219,ORGT,github,2026-05-26T00:45:16Z
2026-03-30,3650,3715,3650,3655,13614,ORGT,github,2026-05-26T00:45:16Z
2026-03-27,3700,3700,3650,3650,13430,ORGT,github,2026-05-26T00:45:16Z
2026-03-26,3700,3725,3680,3680,3833,ORGT,github,2026-05-26T00:45:16Z
2026-03-25,3815,3870,3680,3700,14594,ORGT,github,2026-05-26T00:45:16Z
2026-03-24,3885,3880,3615,3780,10095,ORGT,github,2026-05-26T00:45:16Z
