Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-01,4700,4750,4600,4600,3118,SAFC,live,2026-07-01 17:21:42.170487
2026-06-30,4680,4795,4640,4700,3428,SAFC,live,2026-06-30 17:10:25.579065
2026-06-29,4680,4700,4510,4690,5906,SAFC,live,2026-06-29 17:46:00.894889
2026-06-26,4485,4510,4480,4510,2637,SAFC,live,2026-06-26 17:05:14.645811
2026-06-24,4835,4925,4700,4700,8183,SAFC,live,2026-06-24 17:12:20.617533
2026-06-23,4490,4835,4500,4805,6060,SAFC,live,2026-06-23 17:21:13.342074
2026-06-22,4400,4590,4400,4500,7311,SAFC,live,2026-06-22 18:52:02.195735
2026-06-19,4275,4400,3900,4400,42847,SAFC,live,2026-06-19 17:24:45.347236
2026-06-18,3960,4175,3960,4095,1837,SAFC,live,2026-06-18 18:10:36.687118
2026-06-17,3950,3950,3900,3940,5964,SAFC,live,2026-06-17 17:52:00.383472
2026-06-16,3900,3945,3700,3945,4922,SAFC,live,2026-06-16 18:56:59.614773
2026-06-15,3700,3705,3695,3700,11696,SAFC,live,2026-06-15 19:07:27.423561
2026-06-12,3900,3960,3700,3700,37997,SAFC,live,2026-06-12 17:40:44.379340
2026-06-11,3700,3700,3700,3700,22045,SAFC,live,2026-06-11 18:25:25.173362
2026-06-10,3700,3975,3700,3700,24069,SAFC,live,2026-06-10 18:08:20.570441
2026-06-09,3750,3710,3605,3700,4253,SAFC,live,2026-06-09 17:28:10.881057
2026-06-08,3700,3710,3650,3710,5422,SAFC,live,2026-06-08 18:06:57.543738
2026-06-05,3800,4000,3700,3700,17656,SAFC,live,2026-06-07 00:12:13.355857
2026-06-04,3900,3950,3800,3800,8802,SAFC,live,2026-06-04 17:49:39.236681
2026-06-03,0,3900,3860,3890,13782,SAFC,live,2026-06-03 18:54:20.071379
2026-06-02,3600,3860,3595,3860,8007,SAFC,live,2026-06-02 18:50:14.867228
2026-06-01,0,3800,3595,3595,3732,SAFC,live,2026-06-01 19:57:59.319775
2026-05-29,0,3600,3595,3595,1895,SAFC,live,2026-05-29 18:41:15.730511
2026-05-28,3590,3600,3600,3600,1527,SAFC,live,2026-05-28 20:32:24.641274
2026-05-26,3710,3710,3710,3700,5455,SAFC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,3710,3790,3510,3700,5455,SAFC,github,2026-05-26T00:45:16Z
2026-05-21,3800,3850,3700,3790,2415,SAFC,github,2026-05-26T00:45:16Z
2026-05-20,3985,3990,3800,3800,1357,SAFC,github,2026-05-26T00:45:16Z
2026-05-19,4050,4050,3990,3990,1077,SAFC,github,2026-05-26T00:45:16Z
2026-05-18,3990,4065,3950,4000,5043,SAFC,github,2026-05-26T00:45:16Z
2026-05-15,3995,3995,3950,3990,23344,SAFC,github,2026-05-26T00:45:16Z
2026-05-13,3985,3995,3745,3995,36914,SAFC,github,2026-05-26T00:45:16Z
2026-05-12,3745,3745,3485,3745,33876,SAFC,github,2026-05-26T00:45:16Z
2026-05-11,3500,3500,3405,3485,3178,SAFC,github,2026-05-26T00:45:16Z
2026-05-08,3500,3500,3400,3500,7960,SAFC,github,2026-05-26T00:45:16Z
2026-05-07,3500,3500,3500,3500,1127,SAFC,github,2026-05-26T00:45:16Z
2026-05-06,3355,3500,3400,3500,5796,SAFC,github,2026-05-26T00:45:16Z
2026-05-05,3335,3590,3250,3500,17411,SAFC,github,2026-05-26T00:45:16Z
2026-05-04,3500,3610,3340,3340,5644,SAFC,github,2026-05-26T00:45:16Z
2026-04-30,3615,3900,3610,3610,3947,SAFC,github,2026-05-26T00:45:16Z
2026-04-29,4170,4170,3900,3900,2571,SAFC,github,2026-05-26T00:45:16Z
2026-04-28,4170,4170,4165,4170,5765,SAFC,github,2026-05-26T00:45:16Z
2026-04-27,4175,5860,4160,4170,4496,SAFC,github,2026-05-26T00:45:16Z
2026-04-24,4180,5505,4170,4175,15996,SAFC,github,2026-05-26T00:45:16Z
2026-04-23,3922,4063,3890,3890,6920,SAFC,github,2026-05-26T00:45:16Z
2026-04-22,4378,4473,4053,4063,15669,SAFC,github,2026-05-26T00:45:16Z
2026-04-21,4427,4427,4120,4381,4180,SAFC,github,2026-05-26T00:45:16Z
2026-04-20,3745,4120,3745,4120,12939,SAFC,github,2026-05-26T00:45:16Z
2026-04-17,3833,4141,3833,3833,5276,SAFC,github,2026-05-26T00:45:16Z
2026-04-16,4141,4477,4141,4141,5530,SAFC,github,2026-05-26T00:45:16Z
2026-04-15,4480,4837,4477,4477,1882,SAFC,github,2026-05-26T00:45:16Z
2026-04-14,5229,5226,4918,4837,9159,SAFC,github,2026-05-26T00:45:16Z
