Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-03,11990,12060,11990,12045,479,SDCC,live,2026-07-03 16:42:25.468874
2026-07-02,12060,12100,11210,12045,643,SDCC,live,2026-07-02 16:58:42.731771
2026-07-01,12120,12100,11110,12100,1667,SDCC,live,2026-07-01 17:21:42.216054
2026-06-30,11900,12100,11305,12000,760,SDCC,live,2026-06-30 17:10:25.624055
2026-06-29,11900,12120,11100,12000,6430,SDCC,live,2026-06-29 17:46:00.940977
2026-06-26,12000,12120,11900,11900,843,SDCC,live,2026-06-26 17:05:14.691031
2026-06-24,12150,12150,12100,12120,588,SDCC,live,2026-06-24 17:12:20.667575
2026-06-23,11950,12125,11055,12120,2697,SDCC,live,2026-06-23 17:21:13.376764
2026-06-22,11990,11990,11900,11950,652,SDCC,live,2026-06-22 18:52:02.247998
2026-06-19,11100,12100,11900,11990,582,SDCC,live,2026-06-19 17:24:45.392768
2026-06-18,11900,12125,11100,11990,758,SDCC,live,2026-06-18 18:10:36.737442
2026-06-17,12005,12050,11900,11900,922,SDCC,live,2026-06-17 17:52:00.422958
2026-06-16,12050,12200,12000,12005,1559,SDCC,live,2026-06-16 18:56:59.661466
2026-06-15,12000,12195,12000,12050,194,SDCC,live,2026-06-15 19:07:27.468833
2026-06-12,12100,12195,12000,12195,398,SDCC,live,2026-06-12 17:40:44.426350
2026-06-11,11950,12100,11900,12100,522,SDCC,live,2026-06-11 18:25:25.222663
2026-06-10,12000,12000,11810,11950,377,SDCC,live,2026-06-10 18:08:20.616550
2026-06-09,12275,12275,11700,12000,1204,SDCC,live,2026-06-09 17:28:10.927321
2026-06-08,11100,11700,11100,11700,961,SDCC,live,2026-06-08 18:06:57.588597
2026-06-05,11095,11100,11050,11100,628,SDCC,live,2026-06-07 00:12:13.389950
2026-06-04,11050,11090,11000,11050,897,SDCC,live,2026-06-04 17:49:39.282262
2026-06-03,0,11050,11000,11000,572,SDCC,live,2026-06-03 18:54:20.124951
2026-06-02,11025,11050,11000,11000,1450,SDCC,live,2026-06-02 18:50:14.910824
2026-06-01,0,11050,11025,11025,380,SDCC,live,2026-06-01 19:57:59.363848
2026-05-29,0,11050,10500,11025,575,SDCC,live,2026-05-29 18:41:15.775245
2026-05-28,11095,11050,11050,11050,741,SDCC,live,2026-05-28 20:32:24.664031
2026-05-26,11200,11200,11200,11095,654,SDCC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,11200,11100,11000,11095,654,SDCC,github,2026-05-26T00:45:18Z
2026-05-21,11200,11200,11000,11100,838,SDCC,github,2026-05-26T00:45:18Z
2026-05-20,11150,11200,11000,11200,1510,SDCC,github,2026-05-26T00:45:18Z
2026-05-19,10640,11435,10640,11000,863,SDCC,github,2026-05-26T00:45:18Z
2026-05-18,10640,10640,9900,10640,454,SDCC,github,2026-05-26T00:45:18Z
2026-05-15,9515,10100,9505,9900,770,SDCC,github,2026-05-26T00:45:18Z
2026-05-13,9395,10000,9395,9505,821,SDCC,github,2026-05-26T00:45:18Z
2026-05-12,9100,9400,9095,9395,1414,SDCC,github,2026-05-26T00:45:18Z
2026-05-11,9095,9100,9095,9095,527,SDCC,github,2026-05-26T00:45:18Z
2026-05-08,8900,9095,8750,9095,582,SDCC,github,2026-05-26T00:45:18Z
2026-05-07,9000,9000,8800,8900,1124,SDCC,github,2026-05-26T00:45:18Z
2026-05-06,8950,9400,8900,9000,1087,SDCC,github,2026-05-26T00:45:18Z
2026-05-05,9400,9400,9400,9090,1131,SDCC,github,2026-05-26T00:45:18Z
2026-05-04,9665,9665,8995,9400,2465,SDCC,github,2026-05-26T00:45:18Z
