Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-19,2320,2380,2310,2320,31011,SDSC,live,2026-06-19 15:10:23.266834
2026-06-18,2325,2350,2310,2310,22556,SDSC,live,2026-06-18 18:10:36.781458
2026-06-17,2325,2320,2280,2310,32581,SDSC,live,2026-06-17 17:52:00.455773
2026-06-16,2280,2280,2125,2280,13038,SDSC,live,2026-06-16 18:56:59.703939
2026-06-15,2100,2125,1980,2125,21161,SDSC,live,2026-06-15 19:07:27.510018
2026-06-12,1980,2000,1980,1980,32057,SDSC,live,2026-06-12 17:40:44.468057
2026-06-11,1980,2000,1975,1990,9855,SDSC,live,2026-06-11 18:25:25.265947
2026-06-10,2000,2000,1980,1980,16659,SDSC,live,2026-06-10 18:08:20.658326
2026-06-09,2050,2030,1970,2000,9550,SDSC,live,2026-06-09 17:28:10.971364
2026-06-08,2075,2080,1990,2030,33711,SDSC,live,2026-06-08 18:06:57.629922
2026-06-05,2085,2100,2050,2055,32866,SDSC,live,2026-06-07 00:12:13.422001
2026-06-04,0,2090,1950,2080,36309,SDSC,live,2026-06-04 17:49:39.323481
2026-06-03,0,1965,1920,1950,11565,SDSC,live,2026-06-03 18:54:20.170586
2026-06-02,1890,1920,1875,1920,13953,SDSC,live,2026-06-02 18:50:14.949592
2026-06-01,0,1890,1810,1880,7636,SDSC,live,2026-06-01 19:57:59.403615
2026-05-29,0,1810,1750,1810,18204,SDSC,live,2026-05-29 18:41:15.814938
2026-05-28,1690,1750,1750,1750,15541,SDSC,live,2026-05-28 20:32:24.686287
2026-05-26,1700,1700,1700,1700,2957,SDSC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,1700,1750,1690,1700,2957,SDSC,github,2026-05-26T00:45:09Z
2026-05-21,1745,1730,1550,1690,60305,SDSC,github,2026-05-26T00:45:09Z
2026-05-20,1700,1750,1650,1650,12802,SDSC,github,2026-05-26T00:45:09Z
2026-05-19,1695,1710,1695,1710,2698,SDSC,github,2026-05-26T00:45:09Z
2026-05-18,1750,1750,1685,1695,7260,SDSC,github,2026-05-26T00:45:09Z
2026-05-15,1780,1785,1725,1750,6580,SDSC,github,2026-05-26T00:45:09Z
2026-05-13,1750,1800,1735,1785,4814,SDSC,github,2026-05-26T00:45:09Z
2026-05-12,1710,1745,1695,1745,12445,SDSC,github,2026-05-26T00:45:09Z
2026-05-11,1750,1745,1695,1700,14252,SDSC,github,2026-05-26T00:45:09Z
2026-05-08,1800,1805,1680,1745,109506,SDSC,github,2026-05-26T00:45:09Z
2026-05-07,1685,1800,1650,1800,12180,SDSC,github,2026-05-26T00:45:09Z
2026-05-06,1725,1725,1650,1685,3111,SDSC,github,2026-05-26T00:45:09Z
2026-05-05,1680,1725,1600,1725,24115,SDSC,github,2026-05-26T00:45:09Z
2026-05-04,1775,1775,1680,1680,16001,SDSC,github,2026-05-26T00:45:09Z
2026-04-30,1780,1800,1775,1775,4838,SDSC,github,2026-05-26T00:45:09Z
2026-04-29,1790,1790,1755,1775,2747,SDSC,github,2026-05-26T00:45:09Z
2026-04-28,1800,1800,1780,1790,1550,SDSC,github,2026-05-26T00:45:09Z
2026-04-27,1840,1840,1800,1800,5390,SDSC,github,2026-05-26T00:45:09Z
2026-04-24,1870,1870,1785,1840,21051,SDSC,github,2026-05-26T00:45:09Z
2026-04-23,1825,1900,1800,1870,19593,SDSC,github,2026-05-26T00:45:09Z
2026-04-22,1850,1900,1805,1810,4775,SDSC,github,2026-05-26T00:45:09Z
2026-04-21,1775,1840,1700,1805,23600,SDSC,github,2026-05-26T00:45:09Z
2026-04-20,1780,1795,1750,1775,11135,SDSC,github,2026-05-26T00:45:09Z
2026-04-17,1820,1840,1790,1785,6094,SDSC,github,2026-05-26T00:45:09Z
2026-04-16,1875,1875,1850,1840,6019,SDSC,github,2026-05-26T00:45:09Z
2026-04-15,1870,1890,1850,1875,5634,SDSC,github,2026-05-26T00:45:09Z
2026-04-14,1890,1900,1855,1890,4456,SDSC,github,2026-05-26T00:45:09Z
2026-04-13,1870,1900,1890,1900,6363,SDSC,github,2026-05-26T00:45:09Z
2026-04-10,1920,1920,1895,1895,3470,SDSC,github,2026-05-26T00:45:09Z
2026-04-09,1920,1920,1865,1900,41005,SDSC,github,2026-05-26T00:45:09Z
2026-04-08,1900,1920,1870,1920,5192,SDSC,github,2026-05-26T00:45:09Z
2026-04-07,1865,1920,1860,1900,7418,SDSC,github,2026-05-26T00:45:09Z
2026-04-03,1855,1880,1855,1860,2225,SDSC,github,2026-05-26T00:45:09Z
2026-04-02,1925,1950,1850,1855,6807,SDSC,github,2026-05-26T00:45:09Z
2026-04-01,1920,1945,1915,1925,3767,SDSC,github,2026-05-26T00:45:09Z
2026-03-31,1945,1945,1870,1920,4642,SDSC,github,2026-05-26T00:45:09Z
2026-03-30,1990,1995,1860,1945,2649,SDSC,github,2026-05-26T00:45:09Z
2026-03-27,2000,2000,1900,1995,9373,SDSC,github,2026-05-26T00:45:09Z
2026-03-26,2060,2060,1910,1970,8824,SDSC,github,2026-05-26T00:45:09Z
2026-03-25,2000,2060,1920,2060,22727,SDSC,github,2026-05-26T00:45:09Z
2026-03-24,1960,1960,1825,1920,14866,SDSC,github,2026-05-26T00:45:09Z
2026-03-23,1800,1825,1700,1825,4188,SDSC,github,2026-05-26T00:45:09Z
2026-03-19,1820,1820,1700,1700,11729,SDSC,github,2026-05-26T00:45:09Z
2026-03-18,1965,1985,1820,1820,12470,SDSC,github,2026-05-26T00:45:09Z
2026-03-17,1985,1995,1955,1965,6815,SDSC,github,2026-05-26T00:45:09Z
2026-03-13,1990,1995,1975,1985,4737,SDSC,github,2026-05-26T00:45:09Z
2026-03-12,1970,1990,1940,1990,14679,SDSC,github,2026-05-26T00:45:09Z
2026-03-11,2100,2100,1940,1980,12125,SDSC,github,2026-05-26T00:45:09Z
2026-03-10,1940,2080,1940,2080,9887,SDSC,github,2026-05-26T00:45:09Z
2026-03-09,2100,2150,1940,1940,30843,SDSC,github,2026-05-26T00:45:09Z
2026-03-06,2095,2095,1950,2095,10137,SDSC,github,2026-05-26T00:45:09Z
2026-03-05,2000,2000,1940,1950,10954,SDSC,github,2026-05-26T00:45:09Z
2026-03-04,2150,2170,1980,2000,9425,SDSC,github,2026-05-26T00:45:09Z
2026-03-03,2160,2160,2060,2140,8056,SDSC,github,2026-05-26T00:45:09Z
2026-03-02,2185,2185,2100,2100,7183,SDSC,github,2026-05-26T00:45:09Z
2026-02-27,2200,2200,2125,2160,5951,SDSC,github,2026-05-26T00:45:09Z
2026-02-26,2290,2300,2180,2200,10850,SDSC,github,2026-05-26T00:45:09Z
2026-02-25,2325,2325,2200,2290,22425,SDSC,github,2026-05-26T00:45:09Z
2026-02-24,2230,2325,2230,2300,18151,SDSC,github,2026-05-26T00:45:09Z
2026-02-23,2105,2230,2090,2230,20625,SDSC,github,2026-05-26T00:45:09Z
2026-02-20,2105,2245,2005,2090,23750,SDSC,github,2026-05-26T00:45:09Z
2026-02-19,2000,2150,1990,2100,18791,SDSC,github,2026-05-26T00:45:09Z
2026-02-18,1900,2000,1900,2000,32688,SDSC,github,2026-05-26T00:45:09Z
2026-02-17,1810,1925,1800,1900,18198,SDSC,github,2026-05-26T00:45:09Z
2026-02-16,1745,1825,1725,1800,10067,SDSC,github,2026-05-26T00:45:09Z
2026-02-13,1705,1750,1705,1725,9667,SDSC,github,2026-05-26T00:45:09Z
2026-02-12,1680,1740,1700,1720,18987,SDSC,github,2026-05-26T00:45:09Z
2026-02-11,1745,1750,1700,1705,13569,SDSC,github,2026-05-26T00:45:09Z
2026-02-10,1700,1745,1680,1745,14970,SDSC,github,2026-05-26T00:45:09Z
2026-02-09,1690,1700,1680,1680,2676,SDSC,github,2026-05-26T00:45:09Z
2026-02-06,1640,1700,1630,1700,9739,SDSC,github,2026-05-26T00:45:09Z
2026-02-05,1635,1655,1630,1640,6272,SDSC,github,2026-05-26T00:45:09Z
2026-02-04,1600,1640,1590,1630,6063,SDSC,github,2026-05-26T00:45:09Z
2026-02-03,1635,1645,1535,1590,17318,SDSC,github,2026-05-26T00:45:09Z
2026-02-02,1655,1655,1640,1645,7835,SDSC,github,2026-05-26T00:45:09Z
2026-01-30,1630,1730,1650,1655,14310,SDSC,github,2026-05-26T00:45:09Z
2026-01-29,1695,1745,1660,1730,13748,SDSC,github,2026-05-26T00:45:09Z
2026-01-28,1605,1660,1590,1660,13036,SDSC,github,2026-05-26T00:45:09Z
2026-01-27,1575,1625,1550,1590,21576,SDSC,github,2026-05-26T00:45:09Z
2026-01-26,1555,1575,1550,1550,9010,SDSC,github,2026-05-26T00:45:09Z
2026-01-23,1540,1550,1500,1550,9658,SDSC,github,2026-05-26T00:45:09Z
2026-01-22,1545,1550,1525,1540,3030,SDSC,github,2026-05-26T00:45:09Z
2026-01-21,1545,1550,1520,1545,5096,SDSC,github,2026-05-26T00:45:09Z
2026-01-20,1515,1580,1505,1550,4474,SDSC,github,2026-05-26T00:45:09Z
2026-01-19,1565,1590,1505,1510,9811,SDSC,github,2026-05-26T00:45:09Z
2026-01-16,1600,1625,1540,1555,11815,SDSC,github,2026-05-26T00:45:09Z
