Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-14,8990,9100,8750,8900,20226,SIBC,live,2026-07-14 16:22:43.985828
2026-07-13,8900,9100,8895,8990,17916,SIBC,live,2026-07-13 17:20:29.051514
2026-07-10,9000,9000,8950,8950,5513,SIBC,live,2026-07-10 17:04:07.793977
2026-07-09,8980,9000,8800,9000,10267,SIBC,live,2026-07-09 17:24:36.830872
2026-07-08,9000,9000,8970,8975,3353,SIBC,live,2026-07-08 16:46:12.701607
2026-07-07,9000,9000,8815,9000,11043,SIBC,live,2026-07-07 17:24:12.560094
2026-07-06,8810,9000,8820,9000,8302,SIBC,live,2026-07-06 17:48:55.222228
2026-07-03,8890,9000,8860,8860,10995,SIBC,live,2026-07-03 16:42:25.657285
2026-07-02,9405,9300,8900,9000,11531,SIBC,live,2026-07-02 16:58:42.927755
2026-07-01,8890,9285,8850,9015,3484,SIBC,live,2026-07-01 17:21:42.402957
2026-06-30,8890,8900,8760,8890,8326,SIBC,live,2026-06-30 17:10:25.810465
2026-06-29,8890,9000,8855,8895,5464,SIBC,live,2026-06-29 17:46:01.130520
2026-06-26,8895,8895,8840,8890,3940,SIBC,live,2026-06-26 17:05:14.883393
2026-06-24,8860,8900,8765,8845,16346,SIBC,live,2026-06-24 17:12:20.861134
2026-06-23,8840,8900,8820,8845,20643,SIBC,live,2026-06-23 17:21:13.523406
2026-06-22,8850,8900,8650,8840,9635,SIBC,live,2026-06-22 18:52:02.455636
2026-06-19,8800,8885,8600,8845,10633,SIBC,live,2026-06-19 17:24:45.578856
2026-06-18,8700,8850,8600,8650,26184,SIBC,live,2026-06-18 18:10:36.945189
2026-06-17,8650,8800,8650,8650,32068,SIBC,live,2026-06-17 17:52:00.577963
2026-06-16,8790,8955,8650,8650,7217,SIBC,live,2026-06-16 18:56:59.860897
2026-06-15,8820,8870,8800,8800,4834,SIBC,live,2026-06-15 19:07:27.661218
2026-06-12,8850,8850,8800,8820,9109,SIBC,live,2026-06-12 17:40:44.624511
2026-06-11,8670,8800,8670,8800,9985,SIBC,live,2026-06-11 18:25:25.427694
2026-06-10,8690,8750,8510,8670,10431,SIBC,live,2026-06-10 18:08:20.810950
2026-06-09,8850,8875,8500,8510,33157,SIBC,live,2026-06-09 17:28:11.123804
2026-06-08,8900,9000,8800,8875,5283,SIBC,live,2026-06-08 18:06:57.783648
2026-06-05,9300,9050,8920,9000,9533,SIBC,live,2026-06-07 00:12:13.539119
2026-06-04,8890,8920,8825,8920,10256,SIBC,live,2026-06-04 17:49:39.475056
2026-06-03,0,8850,8770,8830,10954,SIBC,live,2026-06-03 18:54:20.348094
2026-06-02,0,8790,8450,8770,17786,SIBC,live,2026-06-02 18:50:15.092109
2026-06-01,0,8500,8195,8500,4556,SIBC,live,2026-06-01 19:57:59.555785
2026-05-29,0,8195,7805,8195,2161,SIBC,live,2026-05-29 18:41:15.962736
2026-05-28,7750,7805,7805,7805,8923,SIBC,live,2026-05-28 20:32:24.765534
2026-05-26,8000,8000,8000,8160,2428,SIBC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,8000,8325,7845,8160,2428,SIBC,github,2026-05-26T00:45:17Z
2026-05-21,7995,8000,7795,7845,2631,SIBC,github,2026-05-26T00:45:17Z
2026-05-20,7520,7800,7505,7795,3141,SIBC,github,2026-05-26T00:45:17Z
2026-05-19,7495,7650,7480,7505,3375,SIBC,github,2026-05-26T00:45:17Z
2026-05-18,8060,8060,7500,7500,11053,SIBC,github,2026-05-26T00:45:17Z
2026-05-15,7300,7700,7300,7500,5141,SIBC,github,2026-05-26T00:45:17Z
2026-05-13,7150,7300,7140,7300,5392,SIBC,github,2026-05-26T00:45:17Z
2026-05-12,7100,7295,7100,7295,4674,SIBC,github,2026-05-26T00:45:17Z
