Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-11,16250,16500,16250,16250,2095,SMBC,live,2026-06-11 15:10:27.749481
2026-06-10,15500,16530,15380,16250,2132,SMBC,live,2026-06-10 18:08:20.928146
2026-06-09,14300,15380,14325,15380,3643,SMBC,live,2026-06-09 17:28:11.243233
2026-06-08,14000,14325,13330,14325,3832,SMBC,live,2026-06-08 18:06:57.899388
2026-06-05,12900,13500,12900,13330,677,SMBC,live,2026-06-07 00:12:13.628983
2026-06-04,13500,13500,13150,13500,794,SMBC,live,2026-06-04 17:49:39.639981
2026-06-03,0,13800,13255,13500,559,SMBC,live,2026-06-03 18:54:20.481748
2026-06-02,13325,13690,13100,13690,876,SMBC,live,2026-06-02 18:50:15.205581
2026-06-01,0,13500,13300,13300,874,SMBC,live,2026-06-01 19:57:59.685521
2026-05-29,0,13350,13000,13350,1204,SMBC,live,2026-05-29 18:41:16.076198
2026-05-28,13000,13350,13350,13350,8170,SMBC,live,2026-05-28 20:32:24.823421
2026-05-26,12895,12895,12895,12895,2880,SMBC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,12895,12995,12640,12895,2880,SMBC,github,2026-05-26T00:45:08Z
2026-05-21,12200,12800,12110,12895,2466,SMBC,github,2026-05-26T00:45:08Z
2026-05-20,12100,12600,12100,12500,466,SMBC,github,2026-05-26T00:45:08Z
2026-05-19,12800,12800,12350,12600,516,SMBC,github,2026-05-26T00:45:08Z
2026-05-18,12900,12900,12360,12800,1298,SMBC,github,2026-05-26T00:45:08Z
2026-05-15,12600,13205,12295,12895,450,SMBC,github,2026-05-26T00:45:08Z
2026-05-13,12685,12700,12005,12295,1256,SMBC,github,2026-05-26T00:45:08Z
2026-05-12,12100,12690,12100,12685,375,SMBC,github,2026-05-26T00:45:08Z
2026-05-11,11995,12200,11995,12100,1456,SMBC,github,2026-05-26T00:45:08Z
2026-05-08,11905,12495,11900,11995,1319,SMBC,github,2026-05-26T00:45:08Z
2026-05-07,12000,12360,11500,11900,638,SMBC,github,2026-05-26T00:45:08Z
2026-05-06,11550,11550,11450,11500,616,SMBC,github,2026-05-26T00:45:08Z
2026-05-05,11405,11600,11450,11550,1077,SMBC,github,2026-05-26T00:45:08Z
2026-05-04,11700,11700,11500,11595,533,SMBC,github,2026-05-26T00:45:08Z
2026-04-30,11650,11700,11510,11700,442,SMBC,github,2026-05-26T00:45:08Z
2026-04-29,11630,11690,11510,11510,273,SMBC,github,2026-05-26T00:45:08Z
2026-04-28,11520,11650,11510,11650,364,SMBC,github,2026-05-26T00:45:08Z
2026-04-27,11500,11700,11450,11510,412,SMBC,github,2026-05-26T00:45:08Z
2026-04-24,11500,11535,11450,11450,538,SMBC,github,2026-05-26T00:45:08Z
2026-04-23,11535,11535,11435,11535,420,SMBC,github,2026-05-26T00:45:08Z
2026-04-22,11535,11700,11535,11535,549,SMBC,github,2026-05-26T00:45:08Z
2026-04-21,11500,11700,11535,11700,799,SMBC,github,2026-05-26T00:45:08Z
2026-04-20,11535,11800,11500,11535,701,SMBC,github,2026-05-26T00:45:08Z
2026-04-17,11600,11700,11535,11535,339,SMBC,github,2026-05-26T00:45:08Z
2026-04-16,11800,11800,11650,11535,560,SMBC,github,2026-05-26T00:45:08Z
2026-04-15,11900,11900,11500,11650,659,SMBC,github,2026-05-26T00:45:08Z
2026-04-14,11900,11900,11700,11850,611,SMBC,github,2026-05-26T00:45:08Z
2026-04-13,11600,12000,11600,11900,1645,SMBC,github,2026-05-26T00:45:08Z
2026-04-10,11700,11750,11580,11600,551,SMBC,github,2026-05-26T00:45:08Z
2026-04-09,11800,11850,11565,11750,738,SMBC,github,2026-05-26T00:45:08Z
2026-04-08,12000,12000,11550,11850,89,SMBC,github,2026-05-26T00:45:08Z
2026-04-07,11150,12000,11500,11900,627,SMBC,github,2026-05-26T00:45:08Z
2026-04-03,12300,12450,11800,12000,1846,SMBC,github,2026-05-26T00:45:08Z
2026-04-02,12500,12500,12450,12450,160,SMBC,github,2026-05-26T00:45:08Z
2026-04-01,12500,12500,12250,12500,523,SMBC,github,2026-05-26T00:45:08Z
2026-03-31,12500,12500,12100,12500,683,SMBC,github,2026-05-26T00:45:08Z
2026-03-30,12260,12500,12250,12500,748,SMBC,github,2026-05-26T00:45:08Z
2026-03-27,12900,12980,12250,12250,1036,SMBC,github,2026-05-26T00:45:08Z
2026-03-26,12505,12995,12505,12975,249,SMBC,github,2026-05-26T00:45:08Z
2026-03-25,12740,12995,12500,12995,513,SMBC,github,2026-05-26T00:45:08Z
2026-03-24,12740,13295,12500,12740,1176,SMBC,github,2026-05-26T00:45:08Z
