Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-14,8200,8200,8000,8200,3965,SOGC,live,2026-07-14 16:22:44.204350
2026-07-13,8360,8360,8195,8195,1388,SOGC,live,2026-07-13 17:20:29.186609
2026-07-10,8565,8565,8200,8360,2769,SOGC,live,2026-07-10 17:04:08.010968
2026-07-09,8390,8600,8200,8600,6283,SOGC,live,2026-07-09 17:24:37.043301
2026-07-08,8495,8500,8390,8390,1233,SOGC,live,2026-07-08 16:46:12.916526
2026-07-07,8550,8600,8300,8495,3718,SOGC,live,2026-07-07 17:24:12.771178
2026-07-06,8450,8600,8350,8600,2947,SOGC,live,2026-07-06 17:48:55.446440
2026-07-03,8440,8450,8300,8450,2238,SOGC,live,2026-07-03 16:42:25.866619
2026-07-02,8400,8450,8390,8450,1109,SOGC,live,2026-07-02 16:58:43.145890
2026-07-01,8395,8400,8300,8395,627,SOGC,live,2026-07-01 17:21:42.611271
2026-06-30,8400,8400,8395,8395,554,SOGC,live,2026-06-30 17:10:26.017119
2026-06-29,8400,8400,8280,8400,2607,SOGC,live,2026-06-29 17:46:01.344055
2026-06-26,8335,8525,8335,8400,2729,SOGC,live,2026-06-26 17:05:15.095871
2026-06-24,8275,8285,8270,8280,879,SOGC,live,2026-06-24 17:12:21.079832
2026-06-23,8295,8295,8175,8275,708,SOGC,live,2026-06-23 17:21:13.684125
2026-06-22,8020,8295,8020,8295,3006,SOGC,live,2026-06-22 18:52:02.687728
2026-06-19,8280,8280,8000,8010,3930,SOGC,live,2026-06-19 17:24:45.795935
2026-06-18,8270,8300,8000,8300,7866,SOGC,live,2026-06-18 18:10:37.181183
2026-06-17,8300,8395,8200,8280,4138,SOGC,live,2026-06-17 17:52:00.749399
2026-06-16,8115,8485,8200,8395,2132,SOGC,live,2026-06-16 18:57:00.078029
2026-06-15,8495,8495,8200,8485,3173,SOGC,live,2026-06-15 19:07:27.877448
2026-06-12,8450,8525,8400,8495,1551,SOGC,live,2026-06-12 17:40:44.841134
2026-06-11,8450,8600,8015,8525,7348,SOGC,live,2026-06-11 18:25:25.654932
2026-06-10,8300,8490,8005,8450,4435,SOGC,live,2026-06-10 18:08:21.026548
2026-06-09,8300,8550,8200,8490,12539,SOGC,live,2026-06-09 17:28:11.340474
2026-06-08,8300,8445,8010,8300,9017,SOGC,live,2026-06-08 18:06:57.993137
2026-06-05,8500,8550,8200,8305,2076,SOGC,live,2026-06-07 00:12:13.705092
2026-06-04,0,8550,8105,8550,9370,SOGC,live,2026-06-04 17:49:39.737731
2026-06-03,0,8400,7990,8285,2648,SOGC,live,2026-06-03 18:54:20.587533
2026-06-02,7500,7995,7495,7990,6384,SOGC,live,2026-06-02 18:50:15.297149
2026-06-01,0,7495,7300,7490,3273,SOGC,live,2026-06-01 19:57:59.779742
2026-05-29,0,7390,7300,7300,5438,SOGC,live,2026-05-29 18:41:16.170140
2026-05-28,7395,7380,7380,7380,2170,SOGC,live,2026-05-28 20:32:24.890715
2026-05-26,7500,7500,7500,7390,4296,SOGC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,7500,7600,7030,7390,4296,SOGC,github,2026-05-26T00:45:04Z
2026-05-21,7675,7675,7200,7600,4945,SOGC,github,2026-05-26T00:45:04Z
2026-05-20,7400,7475,7000,7200,35633,SOGC,github,2026-05-26T00:45:04Z
2026-05-19,7110,7500,7390,7450,1833,SOGC,github,2026-05-26T00:45:04Z
2026-05-18,7485,7500,7390,7390,5136,SOGC,github,2026-05-26T00:45:04Z
2026-05-15,7490,7490,7450,7485,1111,SOGC,github,2026-05-26T00:45:04Z
2026-05-13,7395,7400,7390,7450,646,SOGC,github,2026-05-26T00:45:04Z
2026-05-12,7100,7400,7100,7400,2237,SOGC,github,2026-05-26T00:45:04Z
2026-05-11,7390,7395,7000,7395,5804,SOGC,github,2026-05-26T00:45:04Z
2026-05-08,7400,7400,7315,7390,1124,SOGC,github,2026-05-26T00:45:04Z
2026-05-07,7500,7500,7000,7400,5728,SOGC,github,2026-05-26T00:45:04Z
2026-05-06,7500,7600,7205,7500,857,SOGC,github,2026-05-26T00:45:04Z
2026-05-05,7100,7600,7075,7600,5813,SOGC,github,2026-05-26T00:45:04Z
2026-05-04,7000,7200,6645,7200,3253,SOGC,github,2026-05-26T00:45:04Z
2026-04-30,7100,7675,7100,7100,6510,SOGC,github,2026-05-26T00:45:04Z
2026-04-29,7700,7700,7675,7675,770,SOGC,github,2026-05-26T00:45:04Z
2026-04-28,7650,7800,7450,7700,1485,SOGC,github,2026-05-26T00:45:04Z
2026-04-27,7700,7995,7410,7650,1967,SOGC,github,2026-05-26T00:45:04Z
2026-04-24,7650,7700,7400,7700,1212,SOGC,github,2026-05-26T00:45:04Z
2026-04-23,7400,7700,7400,7650,29325,SOGC,github,2026-05-26T00:45:04Z
2026-04-22,7700,7700,7680,7700,2505,SOGC,github,2026-05-26T00:45:04Z
2026-04-21,7700,7700,7400,7680,51080,SOGC,github,2026-05-26T00:45:04Z
2026-04-20,7870,7870,7700,7700,4754,SOGC,github,2026-05-26T00:45:04Z
2026-04-17,7920,7920,7850,7870,295,SOGC,github,2026-05-26T00:45:04Z
2026-04-16,7920,7920,7920,7920,1212,SOGC,github,2026-05-26T00:45:04Z
2026-04-15,7890,7920,7850,7920,1635,SOGC,github,2026-05-26T00:45:04Z
2026-04-14,7935,7940,7850,7850,1110,SOGC,github,2026-05-26T00:45:04Z
2026-04-13,7995,7995,7900,7900,1033,SOGC,github,2026-05-26T00:45:04Z
2026-04-10,7940,7990,7940,7970,386,SOGC,github,2026-05-26T00:45:04Z
2026-04-09,7810,7950,7800,7950,2201,SOGC,github,2026-05-26T00:45:04Z
2026-04-08,7720,7800,7700,7800,2260,SOGC,github,2026-05-26T00:45:04Z
2026-04-07,7710,7800,7700,7800,2699,SOGC,github,2026-05-26T00:45:04Z
2026-04-03,7600,7780,7690,7710,1544,SOGC,github,2026-05-26T00:45:04Z
2026-04-02,7690,7800,7670,7690,3566,SOGC,github,2026-05-26T00:45:04Z
2026-04-01,7980,8010,7800,7800,4775,SOGC,github,2026-05-26T00:45:04Z
2026-03-31,7930,8050,7900,8010,5008,SOGC,github,2026-05-26T00:45:04Z
2026-03-30,7980,8200,7805,7900,4999,SOGC,github,2026-05-26T00:45:04Z
2026-03-27,7970,8200,7970,8200,1869,SOGC,github,2026-05-26T00:45:04Z
2026-03-26,7710,7990,7700,7970,2497,SOGC,github,2026-05-26T00:45:04Z
2026-03-25,7990,8000,7690,7700,2977,SOGC,github,2026-05-26T00:45:04Z
2026-03-24,8400,8500,7935,7990,3480,SOGC,github,2026-05-26T00:45:04Z
2026-03-23,8700,8700,8100,8500,5921,SOGC,github,2026-05-26T00:45:04Z
2026-03-19,8800,8880,8700,8700,10291,SOGC,github,2026-05-26T00:45:04Z
2026-03-18,8900,8930,8755,8880,489,SOGC,github,2026-05-26T00:45:04Z
2026-03-17,8980,8985,8755,8900,2017,SOGC,github,2026-05-26T00:45:04Z
2026-03-13,8900,9000,8900,8985,1370,SOGC,github,2026-05-26T00:45:04Z
2026-03-12,8810,9000,8700,9000,4734,SOGC,github,2026-05-26T00:45:04Z
2026-03-11,8900,8900,8680,8810,2567,SOGC,github,2026-05-26T00:45:04Z
2026-03-10,8735,8810,8700,8810,2731,SOGC,github,2026-05-26T00:45:04Z
2026-03-09,8750,8750,8675,8740,2219,SOGC,github,2026-05-26T00:45:04Z
2026-03-06,8715,8800,8710,8750,1967,SOGC,github,2026-05-26T00:45:04Z
2026-03-05,8700,8890,8705,8710,2654,SOGC,github,2026-05-26T00:45:04Z
2026-03-04,8900,8905,8700,8890,2418,SOGC,github,2026-05-26T00:45:04Z
2026-03-03,8900,8950,8850,8905,6332,SOGC,github,2026-05-26T00:45:04Z
2026-03-02,8750,8850,8725,8850,4657,SOGC,github,2026-05-26T00:45:04Z
2026-02-27,8670,8725,8670,8725,3223,SOGC,github,2026-05-26T00:45:04Z
2026-02-26,8595,8690,8595,8680,1412,SOGC,github,2026-05-26T00:45:04Z
2026-02-25,8565,8600,8490,8595,3233,SOGC,github,2026-05-26T00:45:04Z
2026-02-24,8495,8565,8465,8490,3795,SOGC,github,2026-05-26T00:45:04Z
2026-02-23,8300,8500,8300,8500,7022,SOGC,github,2026-05-26T00:45:04Z
2026-02-20,8400,8400,8265,8300,1945,SOGC,github,2026-05-26T00:45:04Z
2026-02-19,8495,8550,8395,8395,9279,SOGC,github,2026-05-26T00:45:04Z
2026-02-18,8340,8465,8400,8465,576,SOGC,github,2026-05-26T00:45:04Z
2026-02-17,8345,8465,8255,8465,1924,SOGC,github,2026-05-26T00:45:04Z
2026-02-16,8300,8300,8250,8300,1270,SOGC,github,2026-05-26T00:45:04Z
2026-02-13,8300,8300,8260,8300,1066,SOGC,github,2026-05-26T00:45:04Z
2026-02-12,8250,8300,8250,8295,3914,SOGC,github,2026-05-26T00:45:04Z
2026-02-11,8215,8300,8100,8250,1312,SOGC,github,2026-05-26T00:45:04Z
2026-02-10,7935,8245,7930,8220,12394,SOGC,github,2026-05-26T00:45:04Z
2026-02-09,7940,7940,7850,7935,6529,SOGC,github,2026-05-26T00:45:04Z
2026-02-06,8350,8350,7940,7940,5133,SOGC,github,2026-05-26T00:45:04Z
2026-02-05,8285,8300,8285,8300,1362,SOGC,github,2026-05-26T00:45:04Z
2026-02-04,8100,8300,8000,8285,3459,SOGC,github,2026-05-26T00:45:04Z
2026-02-03,7950,8100,7910,8100,3162,SOGC,github,2026-05-26T00:45:04Z
2026-02-02,7960,7960,7950,7950,1717,SOGC,github,2026-05-26T00:45:04Z
2026-01-30,7950,7980,7940,7960,669,SOGC,github,2026-05-26T00:45:04Z
2026-01-29,7890,7950,7880,7950,2196,SOGC,github,2026-05-26T00:45:04Z
2026-01-28,7855,7900,7850,7890,1219,SOGC,github,2026-05-26T00:45:04Z
2026-01-27,7850,7950,7850,7900,4097,SOGC,github,2026-05-26T00:45:04Z
2026-01-26,7800,7890,7800,7850,2083,SOGC,github,2026-05-26T00:45:04Z
2026-01-23,7800,7800,7780,7800,1642,SOGC,github,2026-05-26T00:45:04Z
2026-01-22,7695,7800,7690,7800,364,SOGC,github,2026-05-26T00:45:04Z
2026-01-21,7850,7890,7690,7690,4540,SOGC,github,2026-05-26T00:45:04Z
2026-01-20,7900,7900,7700,7850,1229,SOGC,github,2026-05-26T00:45:04Z
2026-01-19,7695,7970,7690,7890,3638,SOGC,github,2026-05-26T00:45:04Z
2026-01-16,7695,7695,7650,7695,675,SOGC,github,2026-05-26T00:45:04Z
2026-01-15,7610,7695,7585,7690,2642,SOGC,github,2026-05-26T00:45:04Z
2026-01-14,7645,7700,7600,7600,3053,SOGC,github,2026-05-26T00:45:04Z
2026-01-13,7600,7710,7600,7645,874,SOGC,github,2026-05-26T00:45:04Z
2026-01-12,7785,7785,7555,7710,1106,SOGC,github,2026-05-26T00:45:04Z
2026-01-09,7770,7800,7550,7785,1177,SOGC,github,2026-05-26T00:45:04Z
2026-01-08,7780,7790,7750,7790,755,SOGC,github,2026-05-26T00:45:04Z
2026-01-07,7790,7800,7550,7750,2611,SOGC,github,2026-05-26T00:45:04Z
2026-01-06,7700,7800,7550,7800,1239,SOGC,github,2026-05-26T00:45:04Z
2026-01-05,7795,7795,7520,7555,439,SOGC,github,2026-05-26T00:45:04Z
2026-01-02,7505,7900,7660,7795,290,SOGC,github,2026-05-26T00:45:04Z
2025-12-31,7660,7900,7645,7900,8949,SOGC,github,2026-05-26T00:45:04Z
2025-12-30,7740,7745,7650,7675,1898,SOGC,github,2026-05-26T00:45:04Z
2025-12-29,7785,7790,7500,7745,2536,SOGC,github,2026-05-26T00:45:04Z
2025-12-26,7820,7820,7740,7790,1078,SOGC,github,2026-05-26T00:45:04Z
2025-12-24,7840,7840,7785,7820,6459,SOGC,github,2026-05-26T00:45:04Z
2025-12-23,7750,7795,7670,7785,2840,SOGC,github,2026-05-26T00:45:04Z
2025-12-22,7790,7800,7700,7740,1246,SOGC,github,2026-05-26T00:45:04Z
2025-12-19,7760,7835,7750,7795,1467,SOGC,github,2026-05-26T00:45:04Z
2025-12-18,7750,7795,7700,7750,3023,SOGC,github,2026-05-26T00:45:04Z
2025-12-17,7800,7840,7795,7795,1350,SOGC,github,2026-05-26T00:45:04Z
