Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-22,7400,7400,7305,7350,454,SPHC,live,2026-07-22 15:10:26.873075
2026-07-21,7305,7350,7305,7350,451,SPHC,live,2026-07-21 16:37:29.796372
2026-07-20,7505,7505,7300,7300,1366,SPHC,live,2026-07-20 16:40:37.356895
2026-07-17,7400,7595,7495,7500,309,SPHC,live,2026-07-17 16:22:20.712297
2026-07-16,7400,7600,7000,7495,8263,SPHC,live,2026-07-16 16:25:48.630211
2026-07-15,7500,7600,7400,7400,3650,SPHC,live,2026-07-15 16:40:41.121828
2026-07-14,7580,7750,7500,7500,3133,SPHC,live,2026-07-14 16:22:44.251101
2026-07-13,7555,7700,7555,7580,972,SPHC,live,2026-07-13 17:20:29.215651
2026-07-10,7850,7850,7525,7550,491,SPHC,live,2026-07-10 17:04:08.057129
2026-07-09,7520,7850,7510,7850,1778,SPHC,live,2026-07-09 17:24:37.088915
2026-07-08,7900,7905,7500,7505,1626,SPHC,live,2026-07-08 16:46:12.962865
2026-07-07,7940,7990,7500,7900,2277,SPHC,live,2026-07-07 17:24:12.817216
2026-07-06,7960,7980,7665,7945,1738,SPHC,live,2026-07-06 17:48:55.493894
2026-07-03,7950,7990,7675,7675,2645,SPHC,live,2026-07-03 16:42:25.911267
2026-07-02,7985,7995,7960,7960,1288,SPHC,live,2026-07-02 16:58:43.191819
2026-07-01,7670,7995,7670,7995,1761,SPHC,live,2026-07-01 17:21:42.656153
2026-06-30,7665,7685,7670,7675,957,SPHC,live,2026-06-30 17:10:26.061198
2026-06-29,7665,7700,7645,7685,1993,SPHC,live,2026-06-29 17:46:01.390312
2026-06-26,7600,7695,7600,7670,3408,SPHC,live,2026-06-26 17:05:15.140678
2026-06-24,7645,7645,7550,7645,1856,SPHC,live,2026-06-24 17:12:21.126346
2026-06-23,7700,7685,7575,7645,688,SPHC,live,2026-06-23 17:21:13.718737
2026-06-22,7565,7700,7505,7650,2261,SPHC,live,2026-06-22 18:52:02.743704
2026-06-19,7575,7595,7565,7565,2852,SPHC,live,2026-06-19 17:24:45.842966
2026-06-18,7590,7590,7570,7575,1563,SPHC,live,2026-06-18 18:10:37.229796
2026-06-17,7595,7595,7455,7590,1294,SPHC,live,2026-06-17 17:52:00.787350
2026-06-16,7500,7600,7490,7590,474,SPHC,live,2026-06-16 18:57:00.124230
2026-06-15,7685,7690,7150,7600,6301,SPHC,live,2026-06-15 19:07:27.923206
2026-06-12,7515,7690,7500,7685,4855,SPHC,live,2026-06-12 17:40:44.888222
2026-06-11,7300,7500,7300,7500,3547,SPHC,live,2026-06-11 18:25:25.703494
2026-06-10,7300,7575,7300,7300,2726,SPHC,live,2026-06-10 18:08:21.073992
2026-06-09,7570,7580,7280,7550,2533,SPHC,live,2026-06-09 17:28:11.421642
2026-06-08,7700,7700,7500,7580,2277,SPHC,live,2026-06-08 18:06:58.038041
2026-06-05,7600,7750,7600,7720,1167,SPHC,live,2026-06-07 00:12:13.740132
