Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-06-12,3600,3700,3510,3550,9259,STAC,live,2026-06-12 17:40:44.939097
2026-06-11,3395,3550,3340,3550,8908,STAC,live,2026-06-11 18:25:25.754841
2026-06-10,3200,3340,3115,3340,7377,STAC,live,2026-06-10 18:08:21.122630
2026-06-09,2900,3115,2900,3115,8502,STAC,live,2026-06-09 17:28:11.475754
2026-06-08,2960,2960,2810,2900,4828,STAC,live,2026-06-08 18:06:58.085004
2026-06-05,2800,2970,2800,2960,3782,STAC,live,2026-06-07 00:12:13.778638
2026-06-04,0,2980,2570,2800,111344,STAC,live,2026-06-04 17:49:39.833658
2026-06-03,0,3150,2775,2775,11680,STAC,live,2026-06-03 18:54:20.692510
2026-06-02,0,3025,2815,3000,1292,STAC,live,2026-06-02 18:50:15.387211
2026-06-01,0,3115,2815,2815,26632,STAC,live,2026-06-01 19:57:59.871173
2026-05-29,0,3050,2670,3000,16155,STAC,live,2026-05-29 18:41:16.276635
2026-05-28,3345,2885,2885,2885,19572,STAC,live,2026-05-28 20:32:24.941579
2026-05-26,2840,2840,2840,2900,2501,STAC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,2840,2900,2700,2900,2501,STAC,github,2026-05-26T00:45:11Z
2026-05-21,2970,2995,2830,2840,3646,STAC,github,2026-05-26T00:45:11Z
2026-05-20,3000,3000,2680,2980,4251,STAC,github,2026-05-26T00:45:11Z
2026-05-19,2680,2850,2680,2820,166,STAC,github,2026-05-26T00:45:11Z
2026-05-18,2660,2850,2650,2680,595,STAC,github,2026-05-26T00:45:11Z
2026-05-15,2845,2850,2660,2660,1815,STAC,github,2026-05-26T00:45:11Z
2026-05-13,2600,2795,2575,2795,3322,STAC,github,2026-05-26T00:45:11Z
2026-05-12,2515,2600,2510,2600,2364,STAC,github,2026-05-26T00:45:11Z
2026-05-11,2695,2700,2500,2515,5731,STAC,github,2026-05-26T00:45:11Z
2026-05-08,2855,2845,2655,2660,3203,STAC,github,2026-05-26T00:45:11Z
2026-05-07,2850,2900,2640,2845,2061,STAC,github,2026-05-26T00:45:11Z
2026-05-06,2800,2950,2800,2850,4532,STAC,github,2026-05-26T00:45:11Z
2026-05-05,2955,2955,2900,2950,1502,STAC,github,2026-05-26T00:45:11Z
2026-05-04,3030,3050,2850,2955,1208,STAC,github,2026-05-26T00:45:11Z
2026-04-30,3195,3195,3050,3050,240,STAC,github,2026-05-26T00:45:11Z
2026-04-29,3100,3150,3000,3050,485,STAC,github,2026-05-26T00:45:11Z
2026-04-28,3000,3100,2900,3000,903,STAC,github,2026-05-26T00:45:11Z
2026-04-27,2805,3155,2775,2990,944,STAC,github,2026-05-26T00:45:11Z
2026-04-24,2935,3155,2920,3000,3519,STAC,github,2026-05-26T00:45:11Z
2026-04-23,2995,3210,2990,3155,6467,STAC,github,2026-05-26T00:45:11Z
2026-04-22,2850,3000,2850,2990,4421,STAC,github,2026-05-26T00:45:11Z
2026-04-21,2895,2900,2760,2850,1670,STAC,github,2026-05-26T00:45:11Z
2026-04-20,2700,2755,2680,2760,5773,STAC,github,2026-05-26T00:45:11Z
2026-04-17,2950,2950,2755,2755,4278,STAC,github,2026-05-26T00:45:11Z
2026-04-16,2775,3000,2910,2950,10435,STAC,github,2026-05-26T00:45:11Z
2026-04-15,3000,3240,3000,3000,1572,STAC,github,2026-05-26T00:45:11Z
2026-04-14,3250,3500,3240,3240,6473,STAC,github,2026-05-26T00:45:11Z
2026-04-13,3450,3500,3450,3500,3950,STAC,github,2026-05-26T00:45:11Z
2026-04-10,3600,3605,3335,3450,4868,STAC,github,2026-05-26T00:45:11Z
2026-04-09,4000,4185,3605,3605,11327,STAC,github,2026-05-26T00:45:11Z
2026-04-08,3645,3895,3625,3895,4363,STAC,github,2026-05-26T00:45:11Z
2026-04-07,3500,3625,3375,3625,12189,STAC,github,2026-05-26T00:45:11Z
2026-04-03,3200,3375,3140,3375,1912,STAC,github,2026-05-26T00:45:11Z
2026-04-02,3000,3140,2925,3140,7133,STAC,github,2026-05-26T00:45:11Z
2026-04-01,2735,2925,2725,2925,5824,STAC,github,2026-05-26T00:45:11Z
2026-03-31,2690,2725,2640,2725,6336,STAC,github,2026-05-26T00:45:11Z
2026-03-30,2520,2680,2525,2670,5434,STAC,github,2026-05-26T00:45:11Z
2026-03-27,2390,2525,2350,2525,7547,STAC,github,2026-05-26T00:45:11Z
2026-03-26,2310,2390,2310,2350,1308,STAC,github,2026-05-26T00:45:11Z
2026-03-25,2300,2420,2300,2310,1504,STAC,github,2026-05-26T00:45:11Z
2026-03-24,2445,2450,2355,2360,752,STAC,github,2026-05-26T00:45:11Z
2026-03-23,2300,2450,2300,2450,4973,STAC,github,2026-05-26T00:45:11Z
2026-03-19,2250,2355,2240,2355,3780,STAC,github,2026-05-26T00:45:11Z
2026-03-18,2445,2465,2285,2285,6264,STAC,github,2026-05-26T00:45:11Z
2026-03-17,2660,2660,2465,2465,5644,STAC,github,2026-05-26T00:45:11Z
2026-03-13,2700,2710,2525,2660,12699,STAC,github,2026-05-26T00:45:11Z
