Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-03,24550,24650,24020,24350,1570,STBC,live,2026-07-03 15:10:26.682073
2026-07-02,24500,24550,24300,24550,3141,STBC,live,2026-07-02 16:58:43.264941
2026-07-01,24850,25000,24450,24450,3596,STBC,live,2026-07-01 17:21:42.726915
2026-06-30,24995,25000,24305,25000,2761,STBC,live,2026-06-30 17:10:26.131621
2026-06-29,24995,24500,23800,24500,7247,STBC,live,2026-06-29 17:46:01.462986
2026-06-26,22500,23980,22500,23980,3989,STBC,live,2026-06-26 17:05:15.211752
2026-06-24,22010,22300,22000,22300,10830,STBC,live,2026-06-24 17:12:21.199645
2026-06-23,22400,22350,22000,22000,32517,STBC,live,2026-06-23 17:21:13.773818
2026-06-22,22100,22400,22100,22300,1087,STBC,live,2026-06-22 18:52:02.821219
2026-06-19,22450,22500,22100,22100,4192,STBC,live,2026-06-19 17:24:45.915878
2026-06-18,22500,22500,22400,22450,1858,STBC,live,2026-06-18 18:10:37.307962
2026-06-17,22200,22500,22095,22500,3769,STBC,live,2026-06-17 17:52:00.844696
2026-06-16,22000,22100,21960,22095,5587,STBC,live,2026-06-16 18:57:00.199143
2026-06-15,21900,22000,21900,22000,1036,STBC,live,2026-06-15 19:07:27.995237
2026-06-12,21920,22000,21895,21900,13423,STBC,live,2026-06-12 17:40:44.963603
2026-06-11,21895,21950,21895,21900,1549,STBC,live,2026-06-11 18:25:25.780783
2026-06-10,21900,21900,21870,21895,1374,STBC,live,2026-06-10 18:08:21.147153
2026-06-09,21995,21995,21860,21900,5961,STBC,live,2026-06-09 17:28:11.500606
2026-06-08,21870,22000,21870,21995,1588,STBC,live,2026-06-08 18:06:58.108158
2026-06-05,22000,22000,21860,21860,2359,STBC,live,2026-06-07 00:12:13.796469
2026-06-04,21600,22000,21600,21860,2118,STBC,live,2026-06-04 17:49:39.857456
2026-06-03,0,21995,21315,21500,3462,STBC,live,2026-06-03 18:54:20.719649
2026-06-02,21300,21500,21290,21315,4241,STBC,live,2026-06-02 18:50:15.410788
2026-06-01,0,21300,21000,21300,1462,STBC,live,2026-06-01 19:57:59.894458
2026-05-29,0,21290,21000,21000,4448,STBC,live,2026-05-29 18:41:16.302759
2026-05-28,21290,21000,21000,21000,2029,STBC,live,2026-05-28 20:32:24.953922
2026-05-26,21250,21250,21250,21275,610,STBC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,21250,21300,21250,21275,610,STBC,github,2026-05-26T00:45:04Z
2026-05-21,21000,21250,20560,21250,2128,STBC,github,2026-05-26T00:45:04Z
2026-05-20,21200,21200,20900,21000,2873,STBC,github,2026-05-26T00:45:04Z
2026-05-19,21300,21250,21000,21200,2294,STBC,github,2026-05-26T00:45:04Z
2026-05-18,21100,21200,21000,21000,986,STBC,github,2026-05-26T00:45:04Z
2026-05-15,21000,21300,20800,21200,1601,STBC,github,2026-05-26T00:45:04Z
2026-05-13,21230,21300,21000,21000,2081,STBC,github,2026-05-26T00:45:04Z
2026-05-12,21290,21290,21000,21050,3004,STBC,github,2026-05-26T00:45:04Z
2026-05-11,21500,21500,21100,21290,3888,STBC,github,2026-05-26T00:45:04Z
2026-05-08,21000,21500,20510,21500,3796,STBC,github,2026-05-26T00:45:04Z
2026-05-07,20800,21200,20605,21000,8894,STBC,github,2026-05-26T00:45:04Z
2026-05-06,20500,21200,20250,20800,9217,STBC,github,2026-05-26T00:45:04Z
2026-05-05,20500,20500,20500,20250,1298,STBC,github,2026-05-26T00:45:04Z
2026-05-04,20000,21000,19705,20500,9846,STBC,github,2026-05-26T00:45:04Z
2026-04-30,20000,20400,19705,19705,2388,STBC,github,2026-05-26T00:45:04Z
2026-04-29,20400,20400,20000,20000,1517,STBC,github,2026-05-26T00:45:04Z
2026-04-28,20395,20400,20000,20000,2471,STBC,github,2026-05-26T00:45:04Z
2026-04-27,19420,20995,19500,20350,4253,STBC,github,2026-05-26T00:45:04Z
2026-04-24,20900,20900,20500,20500,2205,STBC,github,2026-05-26T00:45:04Z
2026-04-23,20900,20995,20500,20900,3299,STBC,github,2026-05-26T00:45:04Z
2026-04-22,20900,20900,20700,20900,664,STBC,github,2026-05-26T00:45:04Z
2026-04-21,20900,20995,20200,20900,2910,STBC,github,2026-05-26T00:45:04Z
2026-04-20,20800,20800,20490,20900,687,STBC,github,2026-05-26T00:45:04Z
2026-04-17,20000,20500,20050,20500,734,STBC,github,2026-05-26T00:45:04Z
2026-04-16,20800,20800,20750,20050,1863,STBC,github,2026-05-26T00:45:04Z
2026-04-15,21050,21050,19820,20800,1077,STBC,github,2026-05-26T00:45:04Z
2026-04-14,20800,21000,19705,21050,3418,STBC,github,2026-05-26T00:45:04Z
2026-04-13,21375,21375,20800,21000,2137,STBC,github,2026-05-26T00:45:04Z
2026-04-10,21225,21350,21030,21225,881,STBC,github,2026-05-26T00:45:04Z
2026-04-09,21330,21340,21010,21225,1447,STBC,github,2026-05-26T00:45:04Z
2026-04-08,21400,21400,21000,21340,4649,STBC,github,2026-05-26T00:45:04Z
2026-04-07,21500,21500,21305,21400,2102,STBC,github,2026-05-26T00:45:04Z
2026-04-03,21550,21550,21500,21500,778,STBC,github,2026-05-26T00:45:04Z
2026-04-02,21005,21795,21000,21500,602,STBC,github,2026-05-26T00:45:04Z
2026-04-01,21500,21795,21000,21000,2341,STBC,github,2026-05-26T00:45:04Z
2026-03-31,21500,21900,21500,21500,1378,STBC,github,2026-05-26T00:45:04Z
2026-03-30,21500,21900,21500,21900,1748,STBC,github,2026-05-26T00:45:04Z
2026-03-27,21500,21900,21500,21700,4954,STBC,github,2026-05-26T00:45:04Z
2026-03-26,21500,21890,21500,21500,1316,STBC,github,2026-05-26T00:45:04Z
2026-03-25,21990,22000,21500,21500,2250,STBC,github,2026-05-26T00:45:04Z
2026-03-24,21750,21990,21600,21990,870,STBC,github,2026-05-26T00:45:04Z
2026-03-23,21985,22000,21600,21985,1277,STBC,github,2026-05-26T00:45:04Z
2026-03-19,22000,22000,21500,21985,3550,STBC,github,2026-05-26T00:45:04Z
2026-03-18,21690,21895,21550,21895,1575,STBC,github,2026-05-26T00:45:04Z
