Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-03,2940,2945,2800,2925,2230,TTLC,live,2026-07-03 16:42:26.020538
2026-07-02,2950,2970,2800,2945,9103,TTLC,live,2026-07-02 16:58:43.305730
2026-07-01,2800,2950,2795,2950,3683,TTLC,live,2026-07-01 17:21:42.765380
2026-06-30,2900,2890,2795,2870,9833,TTLC,live,2026-06-30 17:10:26.169743
2026-06-29,2900,2900,2785,2795,14389,TTLC,live,2026-06-29 17:46:01.503817
2026-06-26,2855,2855,2780,2855,8664,TTLC,live,2026-06-26 17:05:15.251021
2026-06-24,2895,2900,2800,2855,4282,TTLC,live,2026-06-24 17:12:21.240089
2026-06-23,2900,2900,2850,2895,6940,TTLC,live,2026-06-23 17:21:13.805042
2026-06-22,2760,2940,2850,2900,10671,TTLC,live,2026-06-22 18:52:02.864546
2026-06-19,2850,2900,2800,2900,2795,TTLC,live,2026-06-19 17:24:45.953876
2026-06-18,2870,2870,2760,2845,4111,TTLC,live,2026-06-18 18:10:37.350287
2026-06-17,2800,2990,2800,2850,12519,TTLC,live,2026-06-17 17:52:00.876352
2026-06-16,2870,2870,2750,2800,9162,TTLC,live,2026-06-16 18:57:00.239360
2026-06-15,2870,2870,2795,2870,2350,TTLC,live,2026-06-15 19:07:28.034212
2026-06-12,2850,2900,2850,2870,1859,TTLC,live,2026-06-12 17:40:45.003604
2026-06-11,2890,2900,2800,2850,9974,TTLC,live,2026-06-11 18:25:25.824426
2026-06-10,2850,2890,2800,2890,8815,TTLC,live,2026-06-10 18:08:21.187247
2026-06-09,2890,2890,2805,2805,8839,TTLC,live,2026-06-09 17:28:11.541336
2026-06-08,2805,2890,2825,2825,6584,TTLC,live,2026-06-08 18:06:58.146431
2026-06-05,2890,2895,2800,2890,5222,TTLC,live,2026-06-07 00:12:13.827513
2026-06-04,2900,2905,2845,2890,2330,TTLC,live,2026-06-04 17:49:39.897653
2026-06-03,0,2905,2855,2905,8390,TTLC,live,2026-06-03 18:54:20.763469
2026-06-02,2850,2900,2825,2900,2304,TTLC,live,2026-06-02 18:50:15.450085
2026-06-01,0,2900,2850,2850,4518,TTLC,live,2026-06-01 19:57:59.933586
2026-05-29,0,2885,2850,2850,1082,TTLC,live,2026-05-29 18:41:16.341277
2026-05-28,2870,2880,2880,2880,3356,TTLC,live,2026-05-28 20:32:24.975105
2026-05-26,2895,2895,2895,2875,705,TTLC,brvm_live,2026-05-26T00:45:22Z
2026-05-22,2895,2895,2845,2875,705,TTLC,github,2026-05-26T00:45:08Z
2026-05-21,2850,2900,2850,2880,4018,TTLC,github,2026-05-26T00:45:08Z
2026-05-20,2900,2900,2790,2900,2103,TTLC,github,2026-05-26T00:45:08Z
2026-05-19,2905,2905,2800,2900,3221,TTLC,github,2026-05-26T00:45:08Z
2026-05-18,2995,2995,2800,2905,934,TTLC,github,2026-05-26T00:45:08Z
2026-05-15,3000,2995,2785,2910,4805,TTLC,github,2026-05-26T00:45:08Z
2026-05-13,2850,3060,2900,2995,10912,TTLC,github,2026-05-26T00:45:08Z
2026-05-12,2850,3060,2795,3060,19254,TTLC,github,2026-05-26T00:45:08Z
2026-05-11,2750,2900,2745,2850,9699,TTLC,github,2026-05-26T00:45:08Z
2026-05-08,2705,2750,2705,2750,4953,TTLC,github,2026-05-26T00:45:08Z
2026-05-07,2740,2740,2700,2720,6470,TTLC,github,2026-05-26T00:45:08Z
2026-05-06,2740,2745,2700,2740,4177,TTLC,github,2026-05-26T00:45:08Z
2026-05-05,2740,2750,2750,2745,6789,TTLC,github,2026-05-26T00:45:08Z
2026-05-04,2700,2750,2700,2750,10095,TTLC,github,2026-05-26T00:45:08Z
2026-04-30,2750,2750,2705,2740,1147,TTLC,github,2026-05-26T00:45:08Z
2026-04-29,2750,2750,2700,2750,7425,TTLC,github,2026-05-26T00:45:08Z
2026-04-28,2700,2750,2700,2700,2813,TTLC,github,2026-05-26T00:45:08Z
2026-04-27,2750,2750,2630,2705,7688,TTLC,github,2026-05-26T00:45:08Z
2026-04-24,2700,2750,2700,2700,2004,TTLC,github,2026-05-26T00:45:08Z
2026-04-23,2650,2700,2650,2700,2347,TTLC,github,2026-05-26T00:45:08Z
2026-04-22,2700,2700,2640,2650,3469,TTLC,github,2026-05-26T00:45:08Z
2026-04-21,2700,2800,2630,2700,10612,TTLC,github,2026-05-26T00:45:08Z
2026-04-20,2800,2800,2700,2750,1371,TTLC,github,2026-05-26T00:45:08Z
2026-04-17,2795,2800,2795,2795,885,TTLC,github,2026-05-26T00:45:08Z
2026-04-16,2800,2840,2795,2795,12503,TTLC,github,2026-05-26T00:45:08Z
2026-04-15,2840,2840,2740,2795,912,TTLC,github,2026-05-26T00:45:08Z
2026-04-14,2795,2850,2795,2840,2957,TTLC,github,2026-05-26T00:45:08Z
2026-04-13,2800,2800,2700,2795,1469,TTLC,github,2026-05-26T00:45:08Z
2026-04-10,2650,2850,2700,2800,58126,TTLC,github,2026-05-26T00:45:08Z
2026-04-09,2650,2700,2610,2700,10764,TTLC,github,2026-05-26T00:45:08Z
2026-04-08,2700,2700,2650,2650,2843,TTLC,github,2026-05-26T00:45:08Z
2026-04-07,2705,2750,2650,2650,9877,TTLC,github,2026-05-26T00:45:08Z
2026-04-03,2705,2725,2705,2705,23774,TTLC,github,2026-05-26T00:45:08Z
2026-04-02,2710,2720,2705,2705,26390,TTLC,github,2026-05-26T00:45:08Z
2026-04-01,2750,2880,2705,2720,38621,TTLC,github,2026-05-26T00:45:08Z
2026-03-31,2885,2895,2805,2880,11807,TTLC,github,2026-05-26T00:45:08Z
2026-03-30,2975,2975,2890,2895,8947,TTLC,github,2026-05-26T00:45:08Z
2026-03-27,2975,2975,2870,2975,3260,TTLC,github,2026-05-26T00:45:08Z
2026-03-26,3025,3000,2815,2870,18826,TTLC,github,2026-05-26T00:45:08Z
2026-03-25,2810,2920,2810,2815,33317,TTLC,github,2026-05-26T00:45:08Z
2026-03-24,3000,3000,2810,2810,27668,TTLC,github,2026-05-26T00:45:08Z
2026-03-23,2950,3000,2945,2995,19837,TTLC,github,2026-05-26T00:45:08Z
2026-03-19,2905,3005,2900,2950,49250,TTLC,github,2026-05-26T00:45:08Z
2026-03-18,2770,2900,2760,2900,7707,TTLC,github,2026-05-26T00:45:08Z
2026-03-17,2750,2790,2740,2760,6545,TTLC,github,2026-05-26T00:45:08Z
2026-03-13,2810,2810,2740,2740,2027,TTLC,github,2026-05-26T00:45:08Z
2026-03-12,2800,2850,2715,2810,16601,TTLC,github,2026-05-26T00:45:08Z
2026-03-11,2855,2880,2800,2800,65735,TTLC,github,2026-05-26T00:45:08Z
2026-03-10,2900,2900,2850,2850,7812,TTLC,github,2026-05-26T00:45:08Z
2026-03-09,2850,2950,2850,2855,16324,TTLC,github,2026-05-26T00:45:08Z
2026-03-06,2905,2930,2715,2850,28889,TTLC,github,2026-05-26T00:45:08Z
2026-03-05,3150,3160,2930,2930,17292,TTLC,github,2026-05-26T00:45:08Z
2026-03-04,3300,3275,3090,3160,13125,TTLC,github,2026-05-26T00:45:08Z
2026-03-03,3025,3225,3000,3125,22053,TTLC,github,2026-05-26T00:45:08Z
2026-03-02,2850,3000,2800,3000,29198,TTLC,github,2026-05-26T00:45:08Z
2026-02-27,2740,2820,2745,2800,5513,TTLC,github,2026-05-26T00:45:08Z
2026-02-26,2750,2750,2745,2745,3509,TTLC,github,2026-05-26T00:45:08Z
2026-02-25,2705,2750,2705,2750,15534,TTLC,github,2026-05-26T00:45:08Z
2026-02-24,2725,2725,2705,2705,3111,TTLC,github,2026-05-26T00:45:08Z
2026-02-23,2690,2820,2690,2725,5462,TTLC,github,2026-05-26T00:45:08Z
2026-02-20,2890,2880,2690,2820,8046,TTLC,github,2026-05-26T00:45:08Z
2026-02-19,2520,2700,2520,2690,11223,TTLC,github,2026-05-26T00:45:08Z
2026-02-18,2495,2550,2495,2520,6906,TTLC,github,2026-05-26T00:45:08Z
2026-02-17,2455,2495,2440,2495,3324,TTLC,github,2026-05-26T00:45:08Z
2026-02-16,2470,2470,2435,2450,3534,TTLC,github,2026-05-26T00:45:08Z
2026-02-13,2450,2470,2445,2470,3677,TTLC,github,2026-05-26T00:45:08Z
2026-02-12,2405,2450,2405,2450,4805,TTLC,github,2026-05-26T00:45:08Z
2026-02-11,2445,2450,2405,2450,5020,TTLC,github,2026-05-26T00:45:08Z
2026-02-10,2440,2445,2400,2405,11777,TTLC,github,2026-05-26T00:45:08Z
2026-02-09,2400,2450,2400,2445,3701,TTLC,github,2026-05-26T00:45:08Z
2026-02-06,2395,2405,2390,2400,1507,TTLC,github,2026-05-26T00:45:08Z
2026-02-05,2400,2400,2350,2395,2908,TTLC,github,2026-05-26T00:45:08Z
2026-02-04,2350,2400,2320,2400,477,TTLC,github,2026-05-26T00:45:08Z
2026-02-03,2350,2350,2305,2320,2072,TTLC,github,2026-05-26T00:45:08Z
2026-02-02,2400,2400,2305,2350,3339,TTLC,github,2026-05-26T00:45:08Z
2026-01-30,2400,2400,2350,2350,2334,TTLC,github,2026-05-26T00:45:08Z
2026-01-29,2410,2475,2390,2400,4915,TTLC,github,2026-05-26T00:45:08Z
2026-01-28,2400,2425,2400,2410,1264,TTLC,github,2026-05-26T00:45:08Z
2026-01-27,2450,2450,2400,2400,1758,TTLC,github,2026-05-26T00:45:08Z
2026-01-26,2415,2470,2300,2420,3956,TTLC,github,2026-05-26T00:45:08Z
2026-01-23,2390,2400,2390,2400,1935,TTLC,github,2026-05-26T00:45:08Z
2026-01-22,2400,2400,2385,2390,2021,TTLC,github,2026-05-26T00:45:08Z
2026-01-21,2395,2395,2305,2385,3543,TTLC,github,2026-05-26T00:45:08Z
2026-01-20,2340,2385,2340,2380,2488,TTLC,github,2026-05-26T00:45:08Z
2026-01-19,2350,2385,2350,2385,5462,TTLC,github,2026-05-26T00:45:08Z
2026-01-16,2395,2395,2350,2350,908,TTLC,github,2026-05-26T00:45:08Z
