Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-07-15,4110,4440,4110,4110,2770,TTLS,live,2026-07-15 16:40:41.218412
2026-07-14,4300,4450,4300,4440,1371,TTLS,live,2026-07-14 16:22:44.407300
2026-07-13,4250,4430,4060,4295,4233,TTLS,live,2026-07-13 17:20:29.312629
2026-07-10,4250,4410,4200,4260,2525,TTLS,live,2026-07-10 17:04:08.211680
2026-07-09,4350,4400,4045,4250,7352,TTLS,live,2026-07-09 17:24:37.241423
2026-07-08,4510,4500,4300,4300,4585,TTLS,live,2026-07-08 16:46:13.116970
2026-07-07,4205,4500,4200,4500,5744,TTLS,live,2026-07-07 17:24:12.967897
2026-07-06,4045,4200,4045,4200,2537,TTLS,live,2026-07-06 17:48:55.652320
2026-07-03,4045,4100,3900,4045,4785,TTLS,live,2026-07-03 16:42:26.059151
2026-07-02,4050,4050,3800,4050,3784,TTLS,live,2026-07-02 16:58:43.346220
2026-07-01,3800,4000,3800,4000,3398,TTLS,live,2026-07-01 17:21:42.804228
2026-06-30,3600,3900,3750,3895,2280,TTLS,live,2026-06-30 17:10:26.208345
2026-06-29,3600,3755,3500,3750,1124,TTLS,live,2026-06-29 17:46:01.543971
2026-06-26,3450,3500,3455,3500,11973,TTLS,live,2026-06-26 17:05:15.290231
2026-06-24,3450,3455,3450,3450,315,TTLS,live,2026-06-24 17:12:21.280980
2026-06-23,3455,3455,3400,3450,971,TTLS,live,2026-06-23 17:21:13.835867
2026-06-22,3500,3500,3455,3455,2166,TTLS,live,2026-06-22 18:52:02.908144
2026-06-19,3495,3500,3450,3500,1490,TTLS,live,2026-06-19 17:24:45.994765
2026-06-18,3500,3500,3400,3495,1176,TTLS,live,2026-06-18 18:10:37.394149
2026-06-17,3395,3500,3395,3460,2069,TTLS,live,2026-06-17 17:52:00.909658
2026-06-16,3310,3425,3340,3395,1490,TTLS,live,2026-06-16 18:57:00.280414
2026-06-15,3430,3480,3310,3350,2872,TTLS,live,2026-06-15 19:07:28.073787
2026-06-12,3440,3445,3400,3425,2019,TTLS,live,2026-06-12 17:40:45.044624
2026-06-11,3440,3440,3380,3400,1362,TTLS,live,2026-06-11 18:25:25.867111
2026-06-10,3480,3480,3440,3440,840,TTLS,live,2026-06-10 18:08:21.227778
2026-06-09,3490,3490,3390,3475,5531,TTLS,live,2026-06-09 17:28:11.582716
2026-06-08,3495,3495,3370,3490,1757,TTLS,live,2026-06-08 18:06:58.186780
2026-06-05,3490,3495,3390,3495,1051,TTLS,live,2026-06-07 00:12:13.858830
2026-06-04,3365,3490,3365,3490,1602,TTLS,live,2026-06-04 17:49:39.937878
2026-06-03,0,3400,3365,3365,2016,TTLS,live,2026-06-03 18:54:20.809589
2026-06-02,3370,3430,3310,3365,4685,TTLS,live,2026-06-02 18:50:15.488744
2026-06-01,0,3440,3350,3365,941,TTLS,live,2026-06-01 19:57:59.974061
2026-05-29,0,3350,3300,3350,5011,TTLS,live,2026-05-29 18:41:16.380856
2026-05-28,3300,3300,3300,3300,4503,TTLS,live,2026-05-28 20:32:24.997332
2026-05-26,3300,3300,3300,3195,2247,TTLS,brvm_live,2026-05-26T00:45:22Z
2026-05-22,3300,3300,3155,3195,2247,TTLS,github,2026-05-26T00:45:09Z
2026-05-21,3050,3250,3050,3240,1104,TTLS,github,2026-05-26T00:45:09Z
